rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,The Hills,The Weeknd,19,19,0,2015-10-17,2015,42
2,What Do You Mean?,Justin Bieber,1,5,1,2015-10-17,2015,42
3,Hotline Bling,Drake,4,9,4,2015-10-17,2015,42
4,Can't Feel My Face,The Weeknd,3,1,17,2015-10-17,2015,42
5,679,Fetty Wap Featuring Remy Boyz,6,14,6,2015-10-17,2015,42
6,Locked Away,R. City Featuring Adam Levine,7,11,7,2015-10-17,2015,42
7,Watch Me,Silento,5,3,32,2015-10-17,2015,42
8,Wildest Dreams,Taylor Swift,10,6,10,2015-10-17,2015,42
9,Stitches,Shawn Mendes,11,19,11,2015-10-17,2015,42
10,Good For You,Selena Gomez Featuring A$AP Rocky,8,5,15,2015-10-17,2015,42
11,Cheerleader,OMI,9,1,24,2015-10-17,2015,42
12,Lean On,Major Lazer X DJ Snake Featuring MO,4,26,4,2015-10-17,2015,42
13,Photograph,Ed Sheeran,10,21,10,2015-10-17,2015,42
14,Trap Queen,Fetty Wap,18,2,37,2015-10-17,2015,42
15,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",16,6,16,2015-10-17,2015,42
16,My Way,Fetty Wap Featuring Monty,15,7,13,2015-10-17,2015,42
17,Hit The Quan,iLoveMemphis,20,7,20,2015-10-17,2015,42
18,Renegades,X Ambassadors,27,25,27,2015-10-17,2015,42
19,Cool For The Summer,Demi Lovato,17,11,14,2015-10-17,2015,42
20,Drag Me Down,One Direction,25,3,9,2015-10-17,2015,42
21,Jumpman,Drake & Future,52,2,52,2015-10-17,2015,42
22,Ex's & Oh's,Elle King,30,13,30,2015-10-17,2015,42
23,See You Again,Wiz Khalifa Featuring Charlie Puth,1,30,1,2015-10-17,2015,42
24,Where Are U Now,Skrillex & Diplo With Justin Bieber,8,31,8,2015-10-17,2015,42
25,Shut Up And Dance,WALK THE MOON,26,4,47,2015-10-17,2015,42
26,Fight Song,Rachel Platten,19,6,25,2015-10-17,2015,42
27,Uptown Funk!,Mark Ronson Featuring Bruno Mars,14,1,47,2015-10-17,2015,42
28,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,21,21,16,2015-10-17,2015,42
29,On My Mind,Ellie Goulding,22,22,2,2015-10-17,2015,42
30,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,28,21,15,2015-10-17,2015,42
31,Love Myself,Hailee Steinfeld,30,8,30,2015-10-17,2015,42
32,Where Ya At,Future Featuring Drake,33,11,33,2015-10-17,2015,42
