rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Like Crazy,Jimin,-,-,0,2023-04-08,2023,14
2,Flowers,Miley Cyrus,1,1,11,2023-04-08,2023,14
3,Last Night,Morgan Wallen,2,1,9,2023-04-08,2023,14
4,Kill Bill,SZA,3,2,16,2023-04-08,2023,14
5,Creepin',"Metro Boomin, The Weeknd & 21 Savage",4,3,17,2023-04-08,2023,14
6,Die For You,The Weeknd & Ariana Grande,5,1,35,2023-04-08,2023,14
7,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,6,3,8,2023-04-08,2023,14
8,Calm Down,Rema & Selena Gomez,30,30,0,2023-04-08,2023,14
9,Anti-Hero,Taylor Swift,7,1,23,2023-04-08,2023,14
10,Players,Coi Leray,9,9,13,2023-04-08,2023,14
11,You Proof,Morgan Wallen,13,5,46,2023-04-08,2023,14
12,As It Was,Harry Styles,15,1,52,2023-04-08,2023,14
13,Rock And A Hard Place,Bailey Zimmerman,10,10,42,2023-04-08,2023,14
14,Under The Influence,Chris Brown,12,29,12,2023-04-08,2023,14
15,I'm Good (Blue),David Guetta & Bebe Rexha,16,4,31,2023-04-08,2023,14
16,Lavender Haze,Taylor Swift,17,2,23,2023-04-08,2023,14
17,Favorite Song,Toosii,21,6,21,2023-04-08,2023,14
18,Sure Thing,Miguel,23,35,23,2023-04-08,2023,14
19,Thought You Should Know,Morgan Wallen,11,7,33,2023-04-08,2023,14
20,Thinkin' Bout Me,Morgan Wallen,9,4,9,2023-04-08,2023,14
21,Just Wanna Rock,Lil Uzi Vert,19,10,24,2023-04-08,2023,14
22,Escapism,RAYE Featuring 070 Shake,24,17,24,2023-04-08,2023,14
23,Unholy,Sam Smith & Kim Petras,18,1,27,2023-04-08,2023,14
24,Love You Anyway,Luke Combs,49,15,7,2023-04-08,2023,14
25,One Thing At A Time,Morgan Wallen,10,17,10,2023-04-08,2023,14
26,Eyes Closed,Ed Sheeran,-,1,-,2023-04-08,2023,14
27,Something In The Orange,Zach Bryan,33,10,49,2023-04-08,2023,14
28,TQG,Karol G x Shakira,22,7,5,2023-04-08,2023,14
29,Thank God,Kane Brown With Katelyn Brown,28,13,28,2023-04-08,2023,14
30,Rich Flex,Drake & 21 Savage,27,2,21,2023-04-08,2023,14
31,Ella Baila Sola,Eslabon Armado X Peso Pluma,26,26,2,2023-04-08,2023,14
32,Heart Like A Truck,Lainey Wilson,35,29,20,2023-04-08,2023,14
33,5 Leaf Clover,Luke Combs,45,2,45,2023-04-08,2023,14
34,La Bebe,Yng Lvcas x Peso Pluma,77,2,77,2023-04-08,2023,14
35,Until I Found You,Stephen Sanchez,29,23,39,2023-04-08,2023,14
36,Cuff It,Beyonce,31,6,33,2023-04-08,2023,14
37,Snooze,SZA,36,29,16,2023-04-08,2023,14
38,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",34,8,17,2023-04-08,2023,14
39,All Of The Girls You Loved Before,Taylor Swift,12,12,2,2023-04-08,2023,14
40,Wait In The Truck,HARDY Featuring Lainey Wilson,43,23,30,2023-04-08,2023,14
41,Spin Bout U,Drake & 21 Savage,40,5,21,2023-04-08,2023,14
42,"Going, Going, Gone",Luke Combs,32,23,20,2023-04-08,2023,14
43,Bloody Mary,Lady Gaga,41,41,13,2023-04-08,2023,14
44,Fast Car,Luke Combs,-,1,-,2023-04-08,2023,14
45,Shirt,SZA,44,11,22,2023-04-08,2023,14
46,Golden Hour,JVKE,42,10,31,2023-04-08,2023,14
47,What He Didn't Do,Carly Pearce,37,37,15,2023-04-08,2023,14
48,Everything I Love,Morgan Wallen,38,14,9,2023-04-08,2023,14
49,Ain't That Some,Morgan Wallen,39,11,4,2023-04-08,2023,14
50,Low Down,Lil Baby,-,2,-,2023-04-08,2023,14
51,Red Ruby Da Sleeze,Nicki Minaj,47,13,4,2023-04-08,2023,14
52,Beso,Rosalia & Rauw Alejandro,-,1,-,2023-04-08,2023,14
53,Handle On You,Parker McCollum,58,13,58,2023-04-08,2023,14
54,Growin' Up And Gettin' Old,Luke Combs,-,4,-,2023-04-08,2023,14
55,I Wrote The Book,Morgan Wallen,46,18,9,2023-04-08,2023,14
56,Painting Pictures,Superstar Pride,48,25,7,2023-04-08,2023,14
57,Bebe Dame,Fuerza Regida X Grupo Frontera,50,25,14,2023-04-08,2023,14
58,Wild As Her,Corey Kent,57,57,25,2023-04-08,2023,14
59,Man Made A Bar,Morgan Wallen Featuring Eric Church,51,15,4,2023-04-08,2023,14
