rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,The Box,Roddy Ricch,13,13,0,2020-03-14,2020,11
2,Life Is Good,Future Featuring Drake,8,8,0,2020-03-14,2020,11
3,Don't Start Now,Dua Lipa,5,18,5,2020-03-14,2020,11
4,Circles,Post Malone,3,1,27,2020-03-14,2020,11
5,Stupid Love,Lady Gaga,-,1,-,2020-03-14,2020,11
6,Roxanne,Arizona Zervas,4,18,4,2020-03-14,2020,11
7,Blinding Lights,The Weeknd,8,14,8,2020-03-14,2020,11
8,Dance Monkey,Tones And I,7,4,22,2020-03-14,2020,11
9,Memories,Maroon 5,2,24,2,2020-03-14,2020,11
10,Intentions,Justin Bieber Featuring Quavo,11,9,4,2020-03-14,2020,11
11,Someone You Loved,Lewis Capaldi,10,1,43,2020-03-14,2020,11
12,Everything I Wanted,Billie Eilish,8,17,8,2020-03-14,2020,11
13,Hot Girl Bummer,blackbear,14,25,14,2020-03-14,2020,11
14,Adore You,Harry Styles,15,13,15,2020-03-14,2020,11
15,Woah,Lil Baby,24,17,24,2020-03-14,2020,11
16,Say So,Doja Cat Featuring Nicki Minaj,33,9,33,2020-03-14,2020,11
17,Heartless,The Weeknd,13,1,15,2020-03-14,2020,11
18,Heatin Up,Lil Baby & Gunna,-,1,-,2020-03-14,2020,11
19,The Bones,Maren Morris,18,24,18,2020-03-14,2020,11
20,"10,000 Hours",Dan + Shay & Justin Bieber,16,4,22,2020-03-14,2020,11
21,That Way,Lil Uzi Vert,-,1,-,2020-03-14,2020,11
22,Ballin',Mustard & Roddy Ricch,17,11,33,2020-03-14,2020,11
23,Commercial,Lil Baby Featuring Lil Uzi Vert,-,1,-,2020-03-14,2020,11
24,BOP,DaBaby,18,11,23,2020-03-14,2020,11
25,My Oh My,Camila Cabello Featuring DaBaby,22,22,13,2020-03-14,2020,11
26,Sum 2 Prove,Lil Baby,46,16,8,2020-03-14,2020,11
27,Lose You To Love Me,Selena Gomez,21,1,20,2020-03-14,2020,11
28,Live Off My Closet,Lil Baby Featuring Future,-,1,-,2020-03-14,2020,11
29,You Should Be Sad,Halsey,26,26,8,2020-03-14,2020,11
30,High Fashion,Roddy Ricch Featuring Mustard,25,20,10,2020-03-14,2020,11
31,Emotionally Scarred,Lil Baby,-,1,-,2020-03-14,2020,11
32,Si Veo A Tu Mama,Bad Bunny,-,1,-,2020-03-14,2020,11
33,La Dificil,Bad Bunny,-,1,-,2020-03-14,2020,11
34,Falling,Trevor Daniel,29,25,16,2020-03-14,2020,11
35,Good As Hell,Lizzo,27,3,28,2020-03-14,2020,11
36,Vete,Bad Bunny,99,33,14,2020-03-14,2020,11
37,No Guidance,Chris Brown Featuring Drake,31,5,39,2020-03-14,2020,11
38,PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",-,1,-,2020-03-14,2020,11
39,Homesick,Kane Brown,16,16,0,2020-03-14,2020,11
40,Yummy,Justin Bieber,23,2,9,2020-03-14,2020,11
41,What A Man Gotta Do,Jonas Brothers,32,16,7,2020-03-14,2020,11
42,Godzilla,Eminem Featuring Juice WRLD,37,3,7,2020-03-14,2020,11
43,Senorita,Shawn Mendes & Camila Cabello,35,1,37,2020-03-14,2020,11
44,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,38,36,15,2020-03-14,2020,11
45,Bad Guy,Billie Eilish,36,1,49,2020-03-14,2020,11
46,Kinfolks,Sam Hunt,34,34,21,2020-03-14,2020,11
47,Dior,Pop Smoke,30,30,3,2020-03-14,2020,11
48,Grace,Lil Baby & 42 Dugg,-,1,-,2020-03-14,2020,11
