rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Last Night,Morgan Wallen,19,19,0,2023-06-17,2023,24
2,Flowers,Miley Cyrus,3,1,21,2023-06-17,2023,24
3,Calm Down,Rema & Selena Gomez,5,40,5,2023-06-17,2023,24
4,Fast Car,Luke Combs,8,11,8,2023-06-17,2023,24
5,All My Life,Lil Durk Featuring J. Cole,4,2,4,2023-06-17,2023,24
6,Kill Bill,SZA,1,26,1,2023-06-17,2023,24
7,Favorite Song,Toosii,9,5,16,2023-06-17,2023,24
8,Ella Baila Sola,Eslabon Armado X Peso Pluma,7,4,12,2023-06-17,2023,24
9,Creepin',"Metro Boomin, The Weeknd & 21 Savage",10,3,27,2023-06-17,2023,24
10,Karma,Taylor Swift Featuring Ice Spice,2,2,13,2023-06-17,2023,24
11,Anti-Hero,Taylor Swift,1,33,1,2023-06-17,2023,24
12,Sure Thing,Miguel,13,45,13,2023-06-17,2023,24
13,Put It On Da Floor Again,Latto Featuring Cardi B,-,1,-,2023-06-17,2023,24
14,Die For You,The Weeknd & Ariana Grande,12,1,45,2023-06-17,2023,24
15,Something In The Orange,Zach Bryan,10,59,10,2023-06-17,2023,24
16,Where She Goes,Bad Bunny,14,8,3,2023-06-17,2023,24
17,Un x100to,Grupo Frontera X Bad Bunny,16,5,8,2023-06-17,2023,24
18,Search & Rescue,Drake,19,2,9,2023-06-17,2023,24
19,Snooze,SZA,28,26,28,2023-06-17,2023,24
20,Need A Favor,Jelly Roll,31,10,31,2023-06-17,2023,24
21,Cupid,Fifty Fifty,23,17,12,2023-06-17,2023,24
22,You Proof,Morgan Wallen,21,5,56,2023-06-17,2023,24
23,La Bebe,Yng Lvcas x Peso Pluma,20,11,12,2023-06-17,2023,24
24,Thinkin' Bout Me,Morgan Wallen,25,9,14,2023-06-17,2023,24
25,Chemical,Post Malone,26,13,8,2023-06-17,2023,24
26,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,17,3,18,2023-06-17,2023,24
27,Rock And A Hard Place,Bailey Zimmerman,18,10,52,2023-06-17,2023,24
28,Stand By Me,Lil Durk Featuring Morgan Wallen,22,22,2,2023-06-17,2023,24
29,I'm Good (Blue),David Guetta & Bebe Rexha,4,41,4,2023-06-17,2023,24
30,One Thing At A Time,Morgan Wallen,32,10,27,2023-06-17,2023,24
31,"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,-,1,-,2023-06-17,2023,24
32,Thought You Should Know,Morgan Wallen,33,7,43,2023-06-17,2023,24
33,Eyes Closed,Ed Sheeran,34,19,11,2023-06-17,2023,24
34,TQM,Fuerza Regida,39,3,39,2023-06-17,2023,24
35,Dance The Night,Dua Lipa,43,2,43,2023-06-17,2023,24
36,Dancin' In The Country,Tyler Hubbard,37,23,16,2023-06-17,2023,24
37,Area Codes,Kaliii,38,33,5,2023-06-17,2023,24
38,Next Thing You Know,Jordan Davis,42,37,20,2023-06-17,2023,24
39,Players,Coi Leray,36,9,23,2023-06-17,2023,24
40,Thank God,Kane Brown With Katelyn Brown,13,39,13,2023-06-17,2023,24
41,Calling,"Metro Boomin, Swae Lee & NAV Featuring A Boogie Wit da Hoodie",-,1,-,2023-06-17,2023,24
42,Memory Lane,Old Dominion,50,10,50,2023-06-17,2023,24
43,Popular,"The Weeknd, Playboi Carti & Madonna",-,1,-,2023-06-17,2023,24
44,Annihilate,"Metro Boomin, Swae Lee, Lil Wayne & Offset",-,1,-,2023-06-17,2023,24
45,Tennessee Orange,Megan Moroney,44,30,26,2023-06-17,2023,24
46,Under The Influence,Chris Brown,12,39,12,2023-06-17,2023,24
47,Cruel Summer,Taylor Swift,45,29,5,2023-06-17,2023,24
48,Bread & Butter,Gunna,-,1,-,2023-06-17,2023,24
49,It Matters To Her,Scotty McCreery,60,8,60,2023-06-17,2023,24
