rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,3,12,3,2019-01-19,2019,3
2,Without Me,Halsey,1,1,14,2019-01-19,2019,3
3,"Thank U, Next",Ariana Grande,2,1,10,2019-01-19,2019,3
4,Sicko Mode,Travis Scott,1,23,1,2019-01-19,2019,3
5,High Hopes,Panic! At The Disco,23,23,0,2019-01-19,2019,3
6,Happier,Marshmello & Bastille,3,21,3,2019-01-19,2019,3
7,Girls Like You,Maroon 5 Featuring Cardi B,1,33,1,2019-01-19,2019,3
8,Drip Too Hard,Lil Baby & Gunna,4,17,4,2019-01-19,2019,3
9,Eastside,"benny blanco, Halsey & Khalid",11,26,11,2019-01-19,2019,3
10,ZEZE,Kodak Black Featuring Travis Scott & Offset,9,2,13,2019-01-19,2019,3
11,Wow.,Post Malone,13,3,13,2019-01-19,2019,3
12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,17,11,2019-01-19,2019,3
13,Better Now,Post Malone,10,3,37,2019-01-19,2019,3
14,Mo Bamba,Sheck Wes,15,6,20,2019-01-19,2019,3
15,Breathin,Ariana Grande,16,12,21,2019-01-19,2019,3
16,Youngblood,5 Seconds Of Summer,14,7,32,2019-01-19,2019,3
17,Money,Cardi B,13,12,13,2019-01-19,2019,3
18,Going Bad,Meek Mill Featuring Drake,21,6,6,2019-01-19,2019,3
19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,15,11,2019-01-19,2019,3
20,MIA,Bad Bunny Featuring Drake,5,13,5,2019-01-19,2019,3
21,Leave Me Alone,Flipp Dinero,22,17,22,2019-01-19,2019,3
22,Lucid Dreams,Juice WRLD,18,2,35,2019-01-19,2019,3
23,Shallow,Lady Gaga & Bradley Cooper,29,5,15,2019-01-19,2019,3
24,Better,Khalid,30,17,30,2019-01-19,2019,3
25,Speechless,Dan + Shay,24,24,18,2019-01-19,2019,3
26,Trip,Ella Mai,23,11,23,2019-01-19,2019,3
27,Beautiful,Bazzi Featuring Camila Cabello,28,23,28,2019-01-19,2019,3
28,Love Lies,Khalid & Normani,27,9,47,2019-01-19,2019,3
29,Natural,Imagine Dragons,25,13,25,2019-01-19,2019,3
30,I Like It,"Cardi B, Bad Bunny & J Balvin",26,1,40,2019-01-19,2019,3
31,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,33,8,33,2019-01-19,2019,3
32,She Got The Best Of Me,Luke Combs,31,31,22,2019-01-19,2019,3
33,A Lot,21 Savage,36,3,36,2019-01-19,2019,3
34,You Say,Lauren Daigle,26,26,0,2019-01-19,2019,3
35,Undecided,Chris Brown,-,1,-,2019-01-19,2019,3
36,Uproar,Lil Wayne,35,7,15,2019-01-19,2019,3
37,Sweet But Psycho,Ava Max,41,4,41,2019-01-19,2019,3
38,Baby Shark,Pinkfong,32,32,2,2019-01-19,2019,3
39,Best Shot,Jimmie Allen,37,37,17,2019-01-19,2019,3
40,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,38,38,3,2019-01-19,2019,3
41,Beautiful Crazy,Luke Combs,48,9,48,2019-01-19,2019,3
42,Be Alright,Dean Lewis,40,40,11,2019-01-19,2019,3
43,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,49,6,49,2019-01-19,2019,3
44,Good Girl,Dustin Lynch,47,9,47,2019-01-19,2019,3
45,Sixteen,Thomas Rhett,42,42,9,2019-01-19,2019,3
46,Crushed Up,Future,-,1,-,2019-01-19,2019,3
47,Burning Man,Dierks Bentley Featuring Brothers Osborne,45,45,12,2019-01-19,2019,3
48,Backin' It Up,Pardison Fontaine Featuring Cardi B,44,44,13,2019-01-19,2019,3
49,Look Back At It,A Boogie Wit da Hoodie,54,5,54,2019-01-19,2019,3
50,Girl Like You,Jason Aldean,52,7,52,2019-01-19,2019,3
51,This Feeling,The Chainsmokers Featuring Kelsea Ballerini,50,50,13,2019-01-19,2019,3
52,Consequences,Camila Cabello,51,51,10,2019-01-19,2019,3
53,This Is It,Scotty McCreery,57,5,57,2019-01-19,2019,3
54,Armed And Dangerous,Juice WRLD,56,44,9,2019-01-19,2019,3
55,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,28,11,28,2019-01-19,2019,3
56,Calling My Spirit,Kodak Black,58,46,6,2019-01-19,2019,3
57,Talk To Me,Tory Lanez & Rich The Kid,43,43,11,2019-01-19,2019,3
58,You,Jacquees,59,7,59,2019-01-19,2019,3
59,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,61,3,61,2019-01-19,2019,3
60,Last Shot,Kip Moore,53,53,8,2019-01-19,2019,3
61,No Stylist,French Montana Featuring Drake,60,47,16,2019-01-19,2019,3
62,Electricity,Silk City x Dua Lipa,8,8,0,2019-01-19,2019,3
63,Envy Me,Calboy,66,4,66,2019-01-19,2019,3
64,Ella Quiere Beber,Anuel AA & Romeo Santos,10,10,0,2019-01-19,2019,3
65,Lovely,Billie Eilish & Khalid,73,11,73,2019-01-19,2019,3
66,Pure Cocaine,Lil Baby,72,46,5,2019-01-19,2019,3
67,Millionaire,Chris Stapleton,69,5,69,2019-01-19,2019,3
68,When The Party's Over,Billie Eilish,52,12,52,2019-01-19,2019,3
69,Take It From Me,Jordan Davis,75,2,75,2019-01-19,2019,3
70,Can't Leave Without It,21 Savage,65,58,3,2019-01-19,2019,3
71,Yosemite,Travis Scott,77,25,12,2019-01-19,2019,3
72,Fine China,Future & Juice WRLD,74,26,12,2019-01-19,2019,3
73,Imagine,Ariana Grande,63,24,4,2019-01-19,2019,3
74,What Makes You Country,Luke Bryan,76,2,76,2019-01-19,2019,3
75,Down To The Honkytonk,Jake Owen,80,2,80,2019-01-19,2019,3
76,Ruin My Life,Zara Larsson,86,2,86,2019-01-19,2019,3
77,BAD!,XXXTENTACION,70,16,9,2019-01-19,2019,3
78,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,67,56,19,2019-01-19,2019,3
79,Blue Tacoma,Russell Dickerson,52,17,52,2019-01-19,2019,3
80,Body,Loud Luxury Featuring Brando,87,2,87,2019-01-19,2019,3
81,Butterfly Doors,Lil Pump,-,1,-,2019-01-19,2019,3
82,Love Someone,Lukas Graham,2,2,0,2019-01-19,2019,3
83,Space Cadet,Metro Boomin Featuring Gunna,-,51,5,2019-01-19,2019,3
84,Lost In Japan,Shawn Mendes X Zedd,71,48,16,2019-01-19,2019,3
85,Love Wins,Carrie Underwood,83,83,2,2019-01-19,2019,3
86,Nuketown,Ski Mask The Slump God Featuring Juice WRLD,85,63,5,2019-01-19,2019,3
87,Valuable Pain,YoungBoy Never Broke Again,-,1,-,2019-01-19,2019,3
88,Here Tonight,Brett Young,91,2,91,2019-01-19,2019,3
89,Close Friends,Lil Baby,81,28,13,2019-01-19,2019,3
90,Monster,21 Savage,78,73,3,2019-01-19,2019,3
91,Roses,benny blanco & Juice WRLD Featuring Brendon Urie,95,2,95,2019-01-19,2019,3
92,Make It Sweet,Old Dominion,98,2,98,2019-01-19,2019,3
93,Burn Out,Midland,92,92,2,2019-01-19,2019,3
94,Good Form,Nicki Minaj Featuring Lil Wayne,89,60,5,2019-01-19,2019,3
95,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,90,90,3,2019-01-19,2019,3
96,KIKA,6ix9ine Featuring Tory Lanez,84,44,6,2019-01-19,2019,3
97,Ocean Eyes,Billie Eilish,99,96,4,2019-01-19,2019,3
98,idontwannabeyouanymore,Billie Eilish,100,2,100,2019-01-19,2019,3
99,Dip,Tyga & Nicki Minaj,88,63,8,2019-01-19,2019,3
100,Lucky You,Eminem Featuring Joyner Lucas,94,6,14,2019-01-19,2019,3
1,Without Me,Halsey,2,15,2,2019-01-26,2019,4
2,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,1,1,13,2019-01-26,2019,4
3,Sicko Mode,Travis Scott,4,1,24,2019-01-26,2019,4
4,High Hopes,Panic! At The Disco,5,24,5,2019-01-26,2019,4
5,"Thank U, Next",Ariana Grande,3,1,11,2019-01-26,2019,4
6,Happier,Marshmello & Bastille,3,22,3,2019-01-26,2019,4
7,Girls Like You,Maroon 5 Featuring Cardi B,1,34,1,2019-01-26,2019,4
8,Drip Too Hard,Lil Baby & Gunna,4,18,4,2019-01-26,2019,4
9,Wow.,Post Malone,11,4,11,2019-01-26,2019,4
10,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,14,2,2019-01-26,2019,4
11,Eastside,"benny blanco, Halsey & Khalid",9,9,27,2019-01-26,2019,4
12,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,11,18,11,2019-01-26,2019,4
13,Money,Cardi B,17,17,0,2019-01-26,2019,4
14,Mo Bamba,Sheck Wes,6,21,6,2019-01-26,2019,4
15,Better Now,Post Malone,13,3,38,2019-01-26,2019,4
16,Youngblood,5 Seconds Of Summer,7,33,7,2019-01-26,2019,4
17,Going Bad,Meek Mill Featuring Drake,18,6,7,2019-01-26,2019,4
18,Breathin,Ariana Grande,15,12,22,2019-01-26,2019,4
19,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,16,11,2019-01-26,2019,4
20,MIA,Bad Bunny Featuring Drake,5,14,5,2019-01-26,2019,4
21,Leave Me Alone,Flipp Dinero,18,18,0,2019-01-26,2019,4
22,Better,Khalid,24,18,24,2019-01-26,2019,4
23,Lucid Dreams,Juice WRLD,22,2,36,2019-01-26,2019,4
24,Shallow,Lady Gaga & Bradley Cooper,23,5,16,2019-01-26,2019,4
25,Speechless,Dan + Shay,24,19,24,2019-01-26,2019,4
26,Beautiful,Bazzi Featuring Camila Cabello,27,24,27,2019-01-26,2019,4
27,Lost In The Fire,Gesaffelstein & The Weeknd,-,1,-,2019-01-26,2019,4
28,Love Lies,Khalid & Normani,9,48,9,2019-01-26,2019,4
29,Trip,Ella Mai,26,11,24,2019-01-26,2019,4
30,I Like It,"Cardi B, Bad Bunny & J Balvin",1,41,1,2019-01-26,2019,4
31,Natural,Imagine Dragons,29,13,26,2019-01-26,2019,4
32,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,31,31,9,2019-01-26,2019,4
33,Dancing With A Stranger,Sam Smith & Normani,-,1,-,2019-01-26,2019,4
