rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Easy On Me,Adele,2,7,2,2021-12-04,2021,48
2,Stay,The Kid LAROI & Justin Bieber,3,1,20,2021-12-04,2021,48
3,Industry Baby,Lil Nas X & Jack Harlow,4,1,18,2021-12-04,2021,48
4,All Too Well (Taylor's Version),Taylor Swift,1,1,2,2021-12-04,2021,48
5,Oh My God,Adele,-,1,-,2021-12-04,2021,48
6,Shivers,Ed Sheeran,7,5,11,2021-12-04,2021,48
7,Heat Waves,Glass Animals,8,45,8,2021-12-04,2021,48
8,Bad Habits,Ed Sheeran,6,2,22,2021-12-04,2021,48
9,Need To Know,Doja Cat,8,24,8,2021-12-04,2021,48
10,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),5,5,3,2021-12-04,2021,48
11,Cold Heart (PNAU Remix),Elton John & Dua Lipa,12,12,0,2021-12-04,2021,48
12,All I Want For Christmas Is You,Mariah Carey,36,1,46,2021-12-04,2021,48
13,Fancy Like,Walker Hayes,10,3,23,2021-12-04,2021,48
14,Rockin' Around The Christmas Tree,Brenda Lee,-,2,40,2021-12-04,2021,48
15,Good 4 U,Olivia Rodrigo,13,1,28,2021-12-04,2021,48
16,Essence,Wizkid Featuring Justin Bieber & Tems,15,9,21,2021-12-04,2021,48
17,Way 2 Sexy,Drake Featuring Future & Young Thug,12,1,12,2021-12-04,2021,48
18,I Drink Wine,Adele,-,1,-,2021-12-04,2021,48
19,You Right,Doja Cat & The Weeknd,14,11,22,2021-12-04,2021,48
20,Jingle Bell Rock,Bobby Helms,-,3,37,2021-12-04,2021,48
21,One Right Now,Post Malone & The Weeknd,19,6,3,2021-12-04,2021,48
22,Beggin',Maneskin,16,13,16,2021-12-04,2021,48
23,My Little Love,Adele,-,1,-,2021-12-04,2021,48
24,Levitating,Dua Lipa,17,2,60,2021-12-04,2021,48
25,Kiss Me More,Doja Cat Featuring SZA,21,3,33,2021-12-04,2021,48
26,Can I Get It,Adele,-,1,-,2021-12-04,2021,48
27,A Holly Jolly Christmas,Burl Ives,-,4,21,2021-12-04,2021,48
28,If I Didn't Love You,Jason Aldean & Carrie Underwood,24,15,18,2021-12-04,2021,48
29,My Universe,Coldplay x BTS,37,1,9,2021-12-04,2021,48
30,It's The Most Wonderful Time Of The Year,Andy Williams,-,5,22,2021-12-04,2021,48
31,Save Your Tears,The Weeknd & Ariana Grande,26,1,50,2021-12-04,2021,48
32,To Be Loved,Adele,-,1,-,2021-12-04,2021,48
33,Knife Talk,Drake Featuring 21 Savage & Project Pat,27,4,12,2021-12-04,2021,48
34,Better Days,NEIKED X Mae Muller X Polo G,29,29,6,2021-12-04,2021,48
35,Buy Dirt,Jordan Davis Featuring Luke Bryan,38,30,16,2021-12-04,2021,48
36,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,30,30,15,2021-12-04,2021,48
37,Love Nwantiti (Ah Ah Ah),CKay,34,31,10,2021-12-04,2021,48
38,Ghost,Justin Bieber,33,32,9,2021-12-04,2021,48
39,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,28,21,11,2021-12-04,2021,48
40,Last Christmas,Wham!,-,9,20,2021-12-04,2021,48
41,Strangers By Nature,Adele,-,1,-,2021-12-04,2021,48
42,Thats What I Want,Lil Nas X,39,10,10,2021-12-04,2021,48
43,Girls Want Girls,Drake Featuring Lil Baby,31,2,12,2021-12-04,2021,48
44,Cry Your Heart Out,Adele,-,1,-,2021-12-04,2021,48
45,Happier Than Ever,Billie Eilish,40,11,17,2021-12-04,2021,48
46,Cold As You,Luke Combs,32,32,17,2021-12-04,2021,48
47,Pepas,Farruko,41,25,18,2021-12-04,2021,48
48,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",44,17,7,2021-12-04,2021,48
49,Hold On,Adele,-,1,-,2021-12-04,2021,48
