rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,A Bar Song (Tipsy),Shaboozey,26,26,0,2024-10-19,2024,42
2,Birds Of A Feather,Billie Eilish,21,21,0,2024-10-19,2024,42
3,I Had Some Help,Post Malone Featuring Morgan Wallen,4,1,22,2024-10-19,2024,42
4,Espresso,Sabrina Carpenter,5,3,26,2024-10-19,2024,42
5,Die With A Smile,Lady Gaga & Bruno Mars,6,3,8,2024-10-19,2024,42
6,"Good Luck, Babe!",Chappell Roan,7,4,27,2024-10-19,2024,42
7,Taste,Sabrina Carpenter,9,2,9,2024-10-19,2024,42
8,Lose Control,Teddy Swims,1,61,1,2024-10-19,2024,42
9,Please Please Please,Sabrina Carpenter,10,1,18,2024-10-19,2024,42
10,Beautiful Things,Benson Boone,12,2,38,2024-10-19,2024,42
11,Not Like Us,Kendrick Lamar,1,23,1,2024-10-19,2024,42
12,Timeless,The Weeknd & Playboi Carti,3,3,2,2024-10-19,2024,42
13,Too Sweet,Hozier,1,29,1,2024-10-19,2024,42
14,Million Dollar Baby,Tommy Richman,2,24,2,2024-10-19,2024,42
15,Hot To Go!,Chappell Roan,19,19,0,2024-10-19,2024,42
16,Lies Lies Lies,Morgan Wallen,7,14,7,2024-10-19,2024,42
17,I Am Not Okay,Jelly Roll,18,18,0,2024-10-19,2024,42
18,Miles On It,Marshmello & Kane Brown,19,15,23,2024-10-19,2024,42
19,Ain't No Love In Oklahoma,Luke Combs,17,13,21,2024-10-19,2024,42
20,Cowgirls,Morgan Wallen Featuring ERNEST,22,12,43,2024-10-19,2024,42
21,Bed Chem,Sabrina Carpenter,14,7,14,2024-10-19,2024,42
22,Austin,Dasha,20,18,31,2024-10-19,2024,42
23,Pink Skies,Zach Bryan,6,20,6,2024-10-19,2024,42
24,The Door,Teddy Swims,19,19,0,2024-10-19,2024,42
25,Who,Jimin,26,12,12,2024-10-19,2024,42
26,Kehlani,Jordan Adetunji,25,24,16,2024-10-19,2024,42
27,Stargazing,Myles Smith,34,22,34,2024-10-19,2024,42
28,Wildflower,Billie Eilish,35,17,21,2024-10-19,2024,42
29,Pour Me A Drink,Post Malone Featuring Blake Shelton,12,16,12,2024-10-19,2024,42
30,You Look Like You Love Me,Ella Langley Featuring Riley Green,33,16,33,2024-10-19,2024,42
31,"I Love You, I'm Sorry",Gracie Abrams,53,10,53,2024-10-19,2024,42
32,TGIF,GloRilla,28,28,16,2024-10-19,2024,42
33,Sailor Song,Gigi Perez,45,8,45,2024-10-19,2024,42
34,I Can Do It With A Broken Heart,Taylor Swift,27,3,25,2024-10-19,2024,42
35,Saturn,SZA,32,6,33,2024-10-19,2024,42
36,It's Ok I'm Ok,Tate McRae,30,20,4,2024-10-19,2024,42
37,Pink Pony Club,Chappell Roan,31,26,17,2024-10-19,2024,42
38,Like That,"Future, Metro Boomin & Kendrick Lamar",36,1,29,2024-10-19,2024,42
39,Si Antes Te Hubiera Conocido,Karol G,38,32,16,2024-10-19,2024,42
40,High Road,Koe Wetzel & Jessie Murph,43,22,18,2024-10-19,2024,42
41,Dancing In The Flames,The Weeknd,37,14,4,2024-10-19,2024,42
42,28,Zach Bryan,40,14,14,2024-10-19,2024,42
43,Wind Up Missin' You,Tucker Wetmore,64,28,64,2024-10-19,2024,42
44,Good Graces,Sabrina Carpenter,41,15,7,2024-10-19,2024,42
45,Juno,Sabrina Carpenter,47,22,7,2024-10-19,2024,42
46,Slow It Down,Benson Boone,32,29,32,2024-10-19,2024,42
47,La Patrulla,Peso Pluma & Neton Vega,48,12,48,2024-10-19,2024,42
48,Mamushi,Megan Thee Stallion Featuring Yuki Chiba,54,36,15,2024-10-19,2024,42
49,"Love You, Miss You, Mean It",Luke Bryan,39,39,10,2024-10-19,2024,42
50,360,Charli xcx,51,41,18,2024-10-19,2024,42
51,Dos Dias,Tito Double P & Peso Pluma,61,5,61,2024-10-19,2024,42
52,Or What?,NLE Choppa & 41,91,2,91,2024-10-19,2024,42
53,Help Me,Real Boston Richey,56,12,56,2024-10-19,2024,42
54,Diet Pepsi,Addison Rae,70,5,70,2024-10-19,2024,42
55,Big Dawgs,Hanumankind X Kalmi,50,23,11,2024-10-19,2024,42
56,Beautiful As You,Thomas Rhett,52,52,18,2024-10-19,2024,42
57,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen,21,17,21,2024-10-19,2024,42
58,Houdini,Eminem,59,2,19,2024-10-19,2024,42
59,Guess,Charli xcx Featuring Billie Eilish,60,12,10,2024-10-19,2024,42
60,Lonely Road,mgk & Jelly Roll,67,33,11,2024-10-19,2024,42
61,Guy For That,Post Malone Featuring Luke Combs,44,17,11,2024-10-19,2024,42
62,Nights Like This,The Kid LAROI,63,47,16,2024-10-19,2024,42
63,Am I Okay?,Megan Moroney,77,9,77,2024-10-19,2024,42
64,Lil Demon,Future,49,25,3,2024-10-19,2024,42
65,I'm Gonna Love You,Cody Johnson & Carrie Underwood,42,42,2,2024-10-19,2024,42
66,Shake Dat Ass (Twerk Song),BossMan Dlow,75,5,75,2024-10-19,2024,42
67,Red Wine Supernova,Chappell Roan,66,41,19,2024-10-19,2024,42
68,I Never Lie,Zach Top,78,3,78,2024-10-19,2024,42
