rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Butter,BTS,7,7,0,2021-07-17,2021,28
2,Good 4 U,Olivia Rodrigo,1,8,1,2021-07-17,2021,28
3,Levitating,Dua Lipa,4,2,40,2021-07-17,2021,28
4,Kiss Me More,Doja Cat Featuring SZA,3,3,13,2021-07-17,2021,28
5,Montero (Call Me By Your Name),Lil Nas X,8,1,15,2021-07-17,2021,28
6,Bad Habits,Ed Sheeran,5,5,2,2021-07-17,2021,28
7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),6,1,18,2021-07-17,2021,28
8,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,7,1,16,2021-07-17,2021,28
9,Save Your Tears,The Weeknd & Ariana Grande,1,30,1,2021-07-17,2021,28
10,Deja Vu,Olivia Rodrigo,3,14,3,2021-07-17,2021,28
11,Astronaut In The Ocean,Masked Wolf,12,6,21,2021-07-17,2021,28
12,Rapstar,Polo G,13,1,13,2021-07-17,2021,28
13,You Right,Doja Cat & The Weeknd,11,11,2,2021-07-17,2021,28
14,Am I The Only One,Aaron Lewis,-,1,-,2021-07-17,2021,28
15,Blinding Lights,The Weeknd,18,1,83,2021-07-17,2021,28
16,Without You,The Kid LAROI,15,8,31,2021-07-17,2021,28
17,Thot Shit,Megan Thee Stallion,16,16,4,2021-07-17,2021,28
18,Forever After All,Luke Combs,19,2,37,2021-07-17,2021,28
19,Heartbreak Anniversary,Giveon,20,16,21,2021-07-17,2021,28
20,Fancy Like,Walker Hayes,34,3,34,2021-07-17,2021,28
21,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,28,20,10,2021-07-17,2021,28
22,Famous Friends,Chris Young + Kane Brown,21,21,15,2021-07-17,2021,28
23,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,17,13,18,2021-07-17,2021,28
24,Best Friend,Saweetie Featuring Doja Cat,22,14,26,2021-07-17,2021,28
25,Lil Bit,Nelly & Florida Georgia Line,23,23,16,2021-07-17,2021,28
26,Single Saturday Night,Cole Swindell,53,10,53,2021-07-17,2021,28
27,Heat Waves,Glass Animals,25,19,25,2021-07-17,2021,28
28,Leave Before You Love Me,Marshmello X Jonas Brothers,31,7,31,2021-07-17,2021,28
29,Wants And Needs,Drake Featuring Lil Baby,26,2,18,2021-07-17,2021,28
30,Yonaguni,Bad Bunny,27,10,5,2021-07-17,2021,28
31,Blame It On You,Jason Aldean,35,11,35,2021-07-17,2021,28
32,Late At Night,Roddy Ricch,33,20,5,2021-07-17,2021,28
33,Drivers License,Olivia Rodrigo,29,1,26,2021-07-17,2021,28
34,Telepatia,Kali Uchis,30,25,20,2021-07-17,2021,28
35,Glad You Exist,Dan + Shay,54,22,54,2021-07-17,2021,28
36,Mood,24kGoldn Featuring iann dior,37,1,48,2021-07-17,2021,28
37,Wockesha,Moneybagg Yo,44,33,11,2021-07-17,2021,28
38,Traitor,Olivia Rodrigo,39,9,7,2021-07-17,2021,28
39,Todo de Ti,Rauw Alejandro,32,32,6,2021-07-17,2021,28
40,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,50,6,50,2021-07-17,2021,28
41,Ain't Shit,Doja Cat,24,24,2,2021-07-17,2021,28
42,pov,Ariana Grande,36,27,18,2021-07-17,2021,28
43,My Ex's Best Friend,Machine Gun Kelly X blackbear,20,47,20,2021-07-17,2021,28
44,WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",14,14,2,2021-07-17,2021,28
45,Calling My Phone,Lil Tjay Featuring 6LACK,46,3,21,2021-07-17,2021,28
46,Beggin',Maneskin,78,2,78,2021-07-17,2021,28
47,Ball If I Want To,DaBaby,56,39,3,2021-07-17,2021,28
48,Gone,Dierks Bentley,38,26,17,2021-07-17,2021,28
49,Wasting Time,Brent Faiyaz Featuring Drake,-,1,-,2021-07-17,2021,28
50,Red Light Green Light,DaBaby,51,2,51,2021-07-17,2021,28
51,Things A Man Oughta Know,Lainey Wilson,70,8,70,2021-07-17,2021,28
