rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,A Bar Song (Tipsy),Shaboozey,16,16,0,2024-08-10,2024,32
2,I Had Some Help,Post Malone Featuring Morgan Wallen,1,12,1,2024-08-10,2024,32
3,Not Like Us,Kendrick Lamar,1,13,1,2024-08-10,2024,32
4,Espresso,Sabrina Carpenter,5,3,16,2024-08-10,2024,32
5,Million Dollar Baby,Tommy Richman,4,2,14,2024-08-10,2024,32
6,Lose Control,Teddy Swims,8,1,51,2024-08-10,2024,32
7,Too Sweet,Hozier,6,1,19,2024-08-10,2024,32
8,"Good Luck, Babe!",Chappell Roan,10,17,10,2024-08-10,2024,32
9,Please Please Please,Sabrina Carpenter,7,1,8,2024-08-10,2024,32
10,Birds Of A Feather,Billie Eilish,11,9,11,2024-08-10,2024,32
11,Beautiful Things,Benson Boone,9,2,28,2024-08-10,2024,32
12,Who,Jimin,14,2,14,2024-08-10,2024,32
13,Lies Lies Lies,Morgan Wallen,12,7,4,2024-08-10,2024,32
14,Ain't No Love In Oklahoma,Luke Combs,13,13,11,2024-08-10,2024,32
15,Cowgirls,Morgan Wallen Featuring ERNEST,12,33,12,2024-08-10,2024,32
16,Pink Skies,Zach Bryan,6,10,6,2024-08-10,2024,32
17,Guy For That,Post Malone Featuring Luke Combs,-,1,-,2024-08-10,2024,32
18,Like That,"Future, Metro Boomin & Kendrick Lamar",19,1,19,2024-08-10,2024,32
19,Houdini,Eminem,17,2,9,2024-08-10,2024,32
20,Miles On It,Marshmello & Kane Brown,13,13,0,2024-08-10,2024,32
21,Saturn,SZA,6,23,6,2024-08-10,2024,32
22,28,Zach Bryan,18,14,4,2024-08-10,2024,32
23,Austin,Dasha,19,21,19,2024-08-10,2024,32
24,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,1,49,1,2024-08-10,2024,32
25,High Road,Koe Wetzel & Jessie Murph,22,22,8,2024-08-10,2024,32
26,Hot To Go!,Chappell Roan,9,9,0,2024-08-10,2024,32
27,Wanna Be,GloRilla & Megan Thee Stallion,11,17,11,2024-08-10,2024,32
28,Fortnight,Taylor Swift Featuring Post Malone,25,1,15,2024-08-10,2024,32
29,Pour Me A Drink,Post Malone Featuring Blake Shelton,38,12,6,2024-08-10,2024,32
30,Stick Season,Noah Kahan,29,9,44,2024-08-10,2024,32
31,We Can't Be Friends (Wait For Your Love),Ariana Grande,28,1,21,2024-08-10,2024,32
32,Lunch,Billie Eilish,30,5,11,2024-08-10,2024,32
33,Lonely Road,mgk & Jelly Roll,-,1,-,2024-08-10,2024,32
34,Si Antes Te Hubiera Conocido,Karol G,35,6,35,2024-08-10,2024,32
35,Slow It Down,Benson Boone,34,34,19,2024-08-10,2024,32
36,I Am Not Okay,Jelly Roll,33,29,7,2024-08-10,2024,32
37,I Can Do It With A Broken Heart,Taylor Swift,31,3,15,2024-08-10,2024,32
38,Feather,Sabrina Carpenter,32,21,35,2024-08-10,2024,32
39,Lovin On Me,Jack Harlow,37,1,38,2024-08-10,2024,32
40,Stargazing,Myles Smith,44,12,44,2024-08-10,2024,32
41,Bulletproof,Nate Smith,42,37,17,2024-08-10,2024,32
42,Pink Pony Club,Chappell Roan,50,7,50,2024-08-10,2024,32
43,Yeah Glo!,GloRilla,40,28,25,2024-08-10,2024,32
