rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Save Your Tears,The Weeknd & Ariana Grande,6,20,6,2021-05-08,2021,18
2,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1,8,1,2021-05-08,2021,18
3,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,1,6,1,2021-05-08,2021,18
4,Rapstar,Polo G,1,1,3,2021-05-08,2021,18
5,Levitating,Dua Lipa,30,30,0,2021-05-08,2021,18
6,Kiss Me More,Doja Cat Featuring SZA,8,3,8,2021-05-08,2021,18
7,Montero (Call Me By Your Name),Lil Nas X,4,1,5,2021-05-08,2021,18
8,Astronaut In The Ocean,Masked Wolf,7,7,11,2021-05-08,2021,18
9,Up,Cardi B,1,12,1,2021-05-08,2021,18
10,Drivers License,Olivia Rodrigo,1,16,1,2021-05-08,2021,18
11,Blinding Lights,The Weeknd,13,1,73,2021-05-08,2021,18
12,Deja Vu,Olivia Rodrigo,11,8,4,2021-05-08,2021,18
13,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,14,12,15,2021-05-08,2021,18
14,Calling My Phone,Lil Tjay Featuring 6LACK,16,3,11,2021-05-08,2021,18
15,On Me,Lil Baby,32,21,32,2021-05-08,2021,18
16,Best Friend,Saweetie Featuring Doja Cat,15,14,15,2021-05-08,2021,18
17,Heartbreak Anniversary,Giveon,20,11,20,2021-05-08,2021,18
18,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,22,8,22,2021-05-08,2021,18
19,What You Know Bout Love,Pop Smoke,17,9,34,2021-05-08,2021,18
20,Mood,24kGoldn Featuring iann dior,19,1,38,2021-05-08,2021,18
21,My Ex's Best Friend,Machine Gun Kelly X blackbear,27,37,27,2021-05-08,2021,18
22,Back In Blood,Pooh Shiesty Featuring Lil Durk,23,13,17,2021-05-08,2021,18
23,Without You,The Kid LAROI,31,21,31,2021-05-08,2021,18
24,The Good Ones,Gabby Barrett,21,19,18,2021-05-08,2021,18
25,Go Crazy,Chris Brown & Young Thug,24,3,51,2021-05-08,2021,18
26,You Broke Me First.,Tate McRae,25,17,36,2021-05-08,2021,18
27,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,26,2,26,2021-05-08,2021,18
28,Hell Of A View,Eric Church,41,16,41,2021-05-08,2021,18
29,Forever After All,Luke Combs,35,2,27,2021-05-08,2021,18
30,What's Next,Drake,28,1,8,2021-05-08,2021,18
31,Time Today,Moneybagg Yo,53,12,53,2021-05-08,2021,18
32,Therefore I Am,Billie Eilish,30,2,25,2021-05-08,2021,18
33,Dakiti,Bad Bunny & Jhay Cortez,29,5,26,2021-05-08,2021,18
34,Positions,Ariana Grande,33,1,27,2021-05-08,2021,18
35,Shottas (Lala),Moneybagg Yo,-,1,-,2021-05-08,2021,18
36,Solid,Young Thug & Gunna Featuring Drake,12,12,2,2021-05-08,2021,18
37,Track Star,Mooski,35,10,35,2021-05-08,2021,18
38,Ski,Young Thug & Gunna,18,18,2,2021-05-08,2021,18
39,Wants And Needs,Drake Featuring Lil Baby,36,2,8,2021-05-08,2021,18
40,You're Mines Still,Yung Bleu Featuring Drake,34,18,21,2021-05-08,2021,18
41,We're Good,Dua Lipa,38,38,11,2021-05-08,2021,18
42,Heat Waves,Glass Animals,39,39,15,2021-05-08,2021,18
43,Made For You,Jake Owen,42,42,10,2021-05-08,2021,18
44,Good Days,SZA,9,18,9,2021-05-08,2021,18
45,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,40,6,43,2021-05-08,2021,18
46,Breaking Up Was Easy In The 90's,Sam Hunt,49,9,49,2021-05-08,2021,18
47,No More Parties,Coi Leray Featuring Lil Durk,43,26,12,2021-05-08,2021,18
48,Goosebumps,Travis Scott & HVME,47,47,15,2021-05-08,2021,18
49,Telepatia,Kali Uchis,54,39,10,2021-05-08,2021,18
50,Tombstone,Rod Wave,48,11,6,2021-05-08,2021,18
51,Streets,Doja Cat,16,16,16,2021-05-08,2021,18
52,Go!,Moneybagg Yo Featuring BIG30,96,2,96,2021-05-08,2021,18
