rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,11,11,0,2016-12-10,2016,49
2,Closer,The Chainsmokers Featuring Halsey,1,17,1,2016-12-10,2016,49
3,Starboy,The Weeknd Featuring Daft Punk,2,10,2,2016-12-10,2016,49
4,24K Magic,Bruno Mars,6,7,6,2016-12-10,2016,49
5,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,8,9,8,2016-12-10,2016,49
6,Side To Side,Ariana Grande Featuring Nicki Minaj,4,4,13,2016-12-10,2016,49
7,Heathens,Twenty One Pilots,5,2,23,2016-12-10,2016,49
8,Let Me Love You,DJ Snake Featuring Justin Bieber,7,4,16,2016-12-10,2016,49
9,Broccoli,D.R.A.M. Featuring Lil Yachty,5,24,5,2016-12-10,2016,49
10,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,9,7,9,2016-12-10,2016,49
11,Fake Love,Drake,14,10,5,2016-12-10,2016,49
12,Caroline,Amine,N/A,N/A,0,2016-12-10,2016,49
13,Starving,Hailee Steinfeld & Grey Featuring Zedd,15,17,15,2016-12-10,2016,49
14,I Hate U I Love U,gnash Featuring Olivia O'Brien,11,10,32,2016-12-10,2016,49
15,Scars To Your Beautiful,Alessia Cara,17,13,17,2016-12-10,2016,49
16,Cold Water,Major Lazer Featuring Justin Bieber & MO,13,2,18,2016-12-10,2016,49
17,Treat You Better,Shawn Mendes,16,6,25,2016-12-10,2016,49
18,The Greatest,Sia Featuring Kendrick Lamar,20,12,20,2016-12-10,2016,49
19,Can't Stop The Feeling!,Justin Timberlake,18,1,29,2016-12-10,2016,49
20,Unsteady,X Ambassadors,21,28,21,2016-12-10,2016,49
21,Cheap Thrills,Sia Featuring Sean Paul,19,1,41,2016-12-10,2016,49
22,OOOUUU,Young M.A,19,13,19,2016-12-10,2016,49
23,Don't Let Me Down,The Chainsmokers Featuring Daya,3,41,3,2016-12-10,2016,49
24,In The Name Of Love,Martin Garrix & Bebe Rexha,26,15,26,2016-12-10,2016,49
25,Blue Ain't Your Color,Keith Urban,24,24,11,2016-12-10,2016,49
26,This Is What You Came For,Calvin Harris Featuring Rihanna,25,3,30,2016-12-10,2016,49
27,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",34,16,34,2016-12-10,2016,49
28,Bad Things,Machine Gun Kelly x Camila Cabello,46,4,46,2016-12-10,2016,49
29,This Town,Niall Horan,61,25,9,2016-12-10,2016,49
30,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,29,29,17,2016-12-10,2016,49
31,Ride,Twenty One Pilots,28,5,37,2016-12-10,2016,49
32,All Time Low,Jon Bellion,35,7,35,2016-12-10,2016,49
33,May We All,Florida Georgia Line Featuring Tim McGraw,30,30,13,2016-12-10,2016,49
34,Love On The Brain,Rihanna,50,6,50,2016-12-10,2016,49
35,Mercy,Shawn Mendes,47,10,47,2016-12-10,2016,49
36,X,21 Savage & Metro Boomin Featuring Future,11,11,0,2016-12-10,2016,49
37,One Dance,Drake Featuring WizKid & Kyla,33,1,34,2016-12-10,2016,49
38,Needed Me,Rihanna,32,7,43,2016-12-10,2016,49
39,Party Monster,The Weeknd,-,1,-,2016-12-10,2016,49
40,Used To This,Future Featuring Drake,31,14,3,2016-12-10,2016,49
41,Gold,Kiiara,27,13,27,2016-12-10,2016,49
42,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",37,15,22,2016-12-10,2016,49
43,Love Me Now,John Legend,41,41,5,2016-12-10,2016,49
44,Panda,Desiigner,42,1,40,2016-12-10,2016,49
45,Tiimmy Turner,Desiigner,38,34,18,2016-12-10,2016,49
46,Luv,Tory Lanez,40,19,22,2016-12-10,2016,49
47,Sleep Without You,Brett Young,51,11,51,2016-12-10,2016,49
48,I Feel It Coming,The Weeknd Featuring Daft Punk,-,1,-,2016-12-10,2016,49
49,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,45,43,15,2016-12-10,2016,49
50,Sneakin',Drake Featuring 21 Savage,44,28,5,2016-12-10,2016,49
51,Bounce Back,Big Sean,60,3,60,2016-12-10,2016,49
52,You Was Right,Lil Uzi Vert,57,20,57,2016-12-10,2016,49
53,Love On The Weekend,John Mayer,-,1,-,2016-12-10,2016,49
54,Bad And Boujee,Migos Featuring Lil Uzi Vert,76,2,76,2016-12-10,2016,49
55,1 Night,Lil Yachty,53,49,16,2016-12-10,2016,49
56,Come And See Me,PARTYNEXTDOOR Featuring Drake,55,55,21,2016-12-10,2016,49
57,Wanna Be That Song,Brett Eldredge,64,8,64,2016-12-10,2016,49
58,Middle Of A Memory,Cole Swindell,52,46,18,2016-12-10,2016,49
59,Fresh Eyes,Andy Grammer,67,8,67,2016-12-10,2016,49
60,Song For Another Time,Old Dominion,62,9,62,2016-12-10,2016,49
61,No Heart,21 Savage & Metro Boomin,65,57,5,2016-12-10,2016,49
62,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,63,61,14,2016-12-10,2016,49
63,HandClap,Fitz And The Tantrums,78,9,78,2016-12-10,2016,49
64,A Little More Summertime,Jason Aldean,54,52,12,2016-12-10,2016,49
65,Hallelujah,Pentatonix,56,32,5,2016-12-10,2016,49
66,All We Know,The Chainsmokers Featuring Phoebe Ryan,68,18,8,2016-12-10,2016,49
67,Setting The World On Fire,Kenny Chesney Featuring P!nk,58,29,17,2016-12-10,2016,49
68,Say You Won't Let Go,James Arthur,75,5,75,2016-12-10,2016,49
69,Better Man,Little Big Town,70,53,4,2016-12-10,2016,49
70,Dirty Laundry,Carrie Underwood,71,69,6,2016-12-10,2016,49
71,Fade,Kanye West,66,47,12,2016-12-10,2016,49
72,Look Alive,Rae Sremmurd,5,5,0,2016-12-10,2016,49
73,That's My Girl,Fifth Harmony,-,1,-,2016-12-10,2016,49
74,My Way,Calvin Harris,24,10,24,2016-12-10,2016,49
75,Redbone,Childish Gambino,-,1,-,2016-12-10,2016,49
76,Ain't My Fault,Zara Larsson,79,7,79,2016-12-10,2016,49
77,Chantaje,Shakira Featuring Maluma,-,2,-,2016-12-10,2016,49
78,Move,Luke Bryan,73,50,14,2016-12-10,2016,49
79,That's What I Like,Bruno Mars,-,1,-,2016-12-10,2016,49
80,Water Under The Bridge,Adele,94,70,3,2016-12-10,2016,49
81,Selfish,PnB Rock,87,3,87,2016-12-10,2016,49
82,Star Of The Show,Thomas Rhett,4,4,0,2016-12-10,2016,49
83,What They Want,Russ,5,5,0,2016-12-10,2016,49
84,Capsize,Frenship & Emily Warren,80,78,9,2016-12-10,2016,49
85,Key To The Streets,YFN Lucci Featuring Migos & Trouble,81,70,10,2016-12-10,2016,49
86,Slumber Party,Britney Spears Featuring Tinashe,-,1,-,2016-12-10,2016,49
87,How I'll Always Be,Tim McGraw,88,6,88,2016-12-10,2016,49
88,Vice,Miranda Lambert,84,47,19,2016-12-10,2016,49
89,Litty,Meek Mill Featuring Tory Lanez,85,49,4,2016-12-10,2016,49
90,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,93,77,4,2016-12-10,2016,49
91,Play That Song,Train,-,1,-,2016-12-10,2016,49
92,A Guy With A Girl,Blake Shelton,97,2,97,2016-12-10,2016,49
93,My Sh*t,A Boogie Wit da Hoodie,89,89,6,2016-12-10,2016,49
94,Kill A Word,Eric Church Featuring Rhiannon Giddens,-,2,-,2016-12-10,2016,49
95,Sex With Me,Rihanna,92,92,5,2016-12-10,2016,49
96,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,95,4,95,2016-12-10,2016,49
97,Infinite,Eminem,-,1,-,2016-12-10,2016,49
98,Versace On The Floor,Bruno Mars,-,1,-,2016-12-10,2016,49
99,Parachute,Chris Stapleton,-,1,-,2016-12-10,2016,49
100,80s Mercedes,Maren Morris,90,90,6,2016-12-10,2016,49
1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,12,12,0,2016-12-17,2016,50
2,Starboy,The Weeknd Featuring Daft Punk,3,11,3,2016-12-17,2016,50
3,Closer,The Chainsmokers Featuring Halsey,2,1,18,2016-12-17,2016,50
4,Side To Side,Ariana Grande Featuring Nicki Minaj,6,14,6,2016-12-17,2016,50
5,24K Magic,Bruno Mars,4,4,8,2016-12-17,2016,50
6,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,5,5,10,2016-12-17,2016,50
7,Let Me Love You,DJ Snake Featuring Justin Bieber,8,4,17,2016-12-17,2016,50
8,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,10,10,0,2016-12-17,2016,50
9,Heathens,Twenty One Pilots,7,2,24,2016-12-17,2016,50
10,Broccoli,D.R.A.M. Featuring Lil Yachty,9,5,25,2016-12-17,2016,50
11,Fake Love,Drake,10,6,10,2016-12-17,2016,50
12,Starving,Hailee Steinfeld & Grey Featuring Zedd,13,18,13,2016-12-17,2016,50
13,I Hate U I Love U,gnash Featuring Olivia O'Brien,14,10,33,2016-12-17,2016,50
14,Caroline,Amine,12,12,13,2016-12-17,2016,50
15,Scars To Your Beautiful,Alessia Cara,14,14,0,2016-12-17,2016,50
16,Party Monster,The Weeknd,39,2,39,2016-12-17,2016,50
17,Bad Things,Machine Gun Kelly x Camila Cabello,28,5,28,2016-12-17,2016,50
18,The Greatest,Sia Featuring Kendrick Lamar,13,13,0,2016-12-17,2016,50
19,Cold Water,Major Lazer Featuring Justin Bieber & MO,16,2,16,2016-12-17,2016,50
20,Treat You Better,Shawn Mendes,17,6,26,2016-12-17,2016,50
21,Unsteady,X Ambassadors,20,20,29,2016-12-17,2016,50
22,I Feel It Coming,The Weeknd Featuring Daft Punk,48,2,48,2016-12-17,2016,50
23,All I Want For Christmas Is You,Mariah Carey,-,11,15,2016-12-17,2016,50
24,Cheap Thrills,Sia Featuring Sean Paul,21,1,42,2016-12-17,2016,50
25,Can't Stop The Feeling!,Justin Timberlake,19,1,30,2016-12-17,2016,50
26,OOOUUU,Young M.A,22,19,14,2016-12-17,2016,50
27,Sidewalks,The Weeknd Featuring Kendrick Lamar,-,1,-,2016-12-17,2016,50
28,In The Name Of Love,Martin Garrix & Bebe Rexha,24,24,16,2016-12-17,2016,50
29,Don't Let Me Down,The Chainsmokers Featuring Daya,23,3,42,2016-12-17,2016,50
