rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Franchise,Travis Scott Featuring Young Thug & M.I.A.,-,-,0,2020-10-10,2020,41
2,Dynamite,BTS,1,1,6,2020-10-10,2020,41
3,WAP,Cardi B Featuring Megan Thee Stallion,2,1,8,2020-10-10,2020,41
4,Laugh Now Cry Later,Drake Featuring Lil Durk,2,7,2,2020-10-10,2020,41
5,Mood,24kGoldn Featuring iann dior,8,8,0,2020-10-10,2020,41
6,Blinding Lights,The Weeknd,7,1,44,2020-10-10,2020,41
7,Rockstar,DaBaby Featuring Roddy Ricch,6,1,24,2020-10-10,2020,41
8,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,9,7,16,2020-10-10,2020,41
9,Watermelon Sugar,Harry Styles,8,1,28,2020-10-10,2020,41
10,I Hope,Gabby Barrett Featuring Charlie Puth,40,40,0,2020-10-10,2020,41
11,Before You Go,Lewis Capaldi,9,35,9,2020-10-10,2020,41
12,Holy,Justin Bieber Featuring Chance The Rapper,3,3,2,2020-10-10,2020,41
13,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",12,2,34,2020-10-10,2020,41
14,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,16,7,16,2020-10-10,2020,41
15,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,6,13,6,2020-10-10,2020,41
16,Go Crazy,Chris Brown & Young Thug,13,9,21,2020-10-10,2020,41
17,Circles,Post Malone,1,57,1,2020-10-10,2020,41
18,One Of Them Girls,Lee Brice,22,22,0,2020-10-10,2020,41
19,Got What I Got,Jason Aldean,21,18,21,2020-10-10,2020,41
20,Come & Go,Juice WRLD x Marshmello,19,2,12,2020-10-10,2020,41
21,Popstar,DJ Khaled Featuring Drake,14,3,11,2020-10-10,2020,41
22,Roses,SAINt JHN,18,4,28,2020-10-10,2020,41
23,Be Like That,Kane Brown With Swae Lee & Khalid,27,22,12,2020-10-10,2020,41
24,Adore You,Harry Styles,23,6,43,2020-10-10,2020,41
25,Break My Heart,Dua Lipa,13,27,13,2020-10-10,2020,41
26,Lovin' On You,Luke Combs,23,14,23,2020-10-10,2020,41
27,Mood Swings,Pop Smoke Featuring Lil Tjay,20,17,13,2020-10-10,2020,41
28,My Ex's Best Friend,Machine Gun Kelly X blackbear,58,7,58,2020-10-10,2020,41
29,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,30,11,13,2020-10-10,2020,41
30,Tap In,Saweetie,28,20,12,2020-10-10,2020,41
31,If The World Was Ending,JP Saxe Featuring Julia Michaels,27,27,27,2020-10-10,2020,41
32,Bang!,AJR,33,13,33,2020-10-10,2020,41
33,Don't Start Now,Dua Lipa,32,2,48,2020-10-10,2020,41
34,More Than My Hometown,Morgan Wallen,16,16,0,2020-10-10,2020,41
