rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Stuck With U,Ariana Grande & Justin Bieber,-,-,0,2020-05-23,2020,21
2,Say So,Doja Cat Featuring Nicki Minaj,1,1,19,2020-05-23,2020,21
3,Gooba,6ix9ine,-,1,-,2020-05-23,2020,21
4,Blinding Lights,The Weeknd,3,1,24,2020-05-23,2020,21
5,Savage,Megan Thee Stallion Featuring Beyonce,2,2,9,2020-05-23,2020,21
6,Toosie Slide,Drake,4,1,4,2020-05-23,2020,21
7,The Box,Roddy Ricch,5,1,23,2020-05-23,2020,21
8,Rockstar,DaBaby Featuring Roddy Ricch,9,4,9,2020-05-23,2020,21
9,Don't Start Now,Dua Lipa,6,2,28,2020-05-23,2020,21
10,Circles,Post Malone,8,1,37,2020-05-23,2020,21
11,Intentions,Justin Bieber Featuring Quavo,10,8,14,2020-05-23,2020,21
12,Adore You,Harry Styles,11,6,23,2020-05-23,2020,21
13,Life Is Good,Future Featuring Drake,2,18,2,2020-05-23,2020,21
14,The Bones,Maren Morris,15,12,34,2020-05-23,2020,21
15,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",12,1,3,2020-05-23,2020,21
16,Roses,SAINt JHN,20,8,20,2020-05-23,2020,21
17,My Oh My,Camila Cabello Featuring DaBaby,16,12,23,2020-05-23,2020,21
18,Someone You Loved,Lewis Capaldi,1,53,1,2020-05-23,2020,21
19,Everything I Wanted,Billie Eilish,17,8,27,2020-05-23,2020,21
20,Blueberry Faygo,Lil Mosey,22,16,14,2020-05-23,2020,21
21,Chasin' You,Morgan Wallen,23,16,23,2020-05-23,2020,21
22,Falling,Trevor Daniel,28,26,28,2020-05-23,2020,21
23,I Hope,Gabby Barrett Featuring Charlie Puth,21,16,20,2020-05-23,2020,21
24,Memories,Maroon 5,26,2,34,2020-05-23,2020,21
25,Nobody But You,Blake Shelton Duet With Gwen Stefani,24,18,18,2020-05-23,2020,21
26,High Fashion,Roddy Ricch Featuring Mustard,33,20,20,2020-05-23,2020,21
27,Death Bed,Powfu Featuring beabadoobee,31,26,9,2020-05-23,2020,21
28,Does To Me,Luke Combs Featuring Eric Church,36,9,36,2020-05-23,2020,21
29,Sunday Best,Surfaces,37,28,11,2020-05-23,2020,21
30,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,38,26,25,2020-05-23,2020,21
31,Break My Heart,Dua Lipa,40,21,7,2020-05-23,2020,21
32,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",44,14,44,2020-05-23,2020,21
33,Be Kind,Marshmello & Halsey,29,29,2,2020-05-23,2020,21
34,I Hope You're Happy Now,Carly Pearce & Lee Brice,50,19,50,2020-05-23,2020,21
35,Hot Girl Bummer,blackbear,43,11,43,2020-05-23,2020,21
36,Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,41,9,41,2020-05-23,2020,21
37,Before You Go,Lewis Capaldi,53,15,53,2020-05-23,2020,21
38,After A Few,Travis Denning,48,7,48,2020-05-23,2020,21
39,Supalonely,BENEE Featuring Gus Dapperton,54,9,54,2020-05-23,2020,21
40,Heart On Ice,Rod Wave,46,25,27,2020-05-23,2020,21
41,Ballin',Mustard & Roddy Ricch,47,11,43,2020-05-23,2020,21
42,Dance Monkey,Tones And I,49,4,32,2020-05-23,2020,21
43,3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,-,1,-,2020-05-23,2020,21
44,Hard To Forget,Sam Hunt,55,40,7,2020-05-23,2020,21
45,Sum 2 Prove,Lil Baby,57,16,18,2020-05-23,2020,21
46,Chicago Freestyle,Drake Featuring Giveon,14,14,2,2020-05-23,2020,21
47,Level Of Concern,Twenty One Pilots,60,23,5,2020-05-23,2020,21
48,Party Girl,StaySolidRocky,64,3,64,2020-05-23,2020,21
49,Righteous,Juice WRLD,42,11,3,2020-05-23,2020,21
50,Can I,Kehlani Featuring Tory Lanez,-,1,-,2020-05-23,2020,21
51,Pain 1993,Drake Featuring Playboi Carti,7,7,2,2020-05-23,2020,21
52,Walk Em Down,NLE Choppa Featuring Roddy Ricch,67,8,67,2020-05-23,2020,21
53,Dior,Pop Smoke,63,30,13,2020-05-23,2020,21
54,In Your Eyes,The Weeknd,62,16,8,2020-05-23,2020,21
55,We Paid,Lil Baby & 42 Dugg,61,2,61,2020-05-23,2020,21
56,Emotionally Scarred,Lil Baby,31,11,31,2020-05-23,2020,21
