rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Shape Of You,Ed Sheeran,14,14,0,2017-04-29,2017,17
2,That's What I Like,Bruno Mars,3,13,3,2017-04-29,2017,17
3,Humble.,Kendrick Lamar,2,2,2,2017-04-29,2017,17
4,Sign Of The Times,Harry Styles,-,1,-,2017-04-29,2017,17
5,Something Just Like This,The Chainsmokers & Coldplay,3,8,3,2017-04-29,2017,17
6,iSpy,KYLE Featuring Lil Yachty,4,4,16,2017-04-29,2017,17
7,Mask Off,Future,11,8,11,2017-04-29,2017,17
8,XO TOUR Llif3,Lil Uzi Vert,16,3,16,2017-04-29,2017,17
9,Body Like A Back Road,Sam Hunt,6,6,11,2017-04-29,2017,17
10,Paris,The Chainsmokers,9,6,13,2017-04-29,2017,17
11,It Ain't Me,Kygo x Selena Gomez,13,9,13,2017-04-29,2017,17
12,Issues,Julia Michaels,22,22,0,2017-04-29,2017,17
13,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,10,9,19,2017-04-29,2017,17
14,Stay,Zedd & Alessia Cara,7,7,0,2017-04-29,2017,17
15,Tunnel Vision,Kodak Black,8,6,8,2017-04-29,2017,17
16,Say You Won't Let Go,James Arthur,17,25,17,2017-04-29,2017,17
17,I Feel It Coming,The Weeknd Featuring Daft Punk,7,4,21,2017-04-29,2017,17
18,Bad And Boujee,Migos Featuring Lil Uzi Vert,12,1,22,2017-04-29,2017,17
19,Congratulations,Post Malone Featuring Quavo,25,16,25,2017-04-29,2017,17
20,Location,Khalid,24,14,24,2017-04-29,2017,17
21,Cold,Maroon 5 Featuring Future,28,16,9,2017-04-29,2017,17
22,Passionfruit,Drake,23,8,4,2017-04-29,2017,17
23,Closer,The Chainsmokers Featuring Halsey,21,1,37,2017-04-29,2017,17
24,Love On The Brain,Rihanna,18,5,26,2017-04-29,2017,17
25,Bounce Back,Big Sean,20,6,23,2017-04-29,2017,17
26,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,15,2,18,2017-04-29,2017,17
27,Chained To The Rhythm,Katy Perry Featuring Skip Marley,19,4,9,2017-04-29,2017,17
28,T-Shirt,Migos,26,19,13,2017-04-29,2017,17
29,Swang,Rae Sremmurd,17,17,0,2017-04-29,2017,17
30,24K Magic,Bruno Mars,27,4,27,2017-04-29,2017,17
31,Scars To Your Beautiful,Alessia Cara,30,8,33,2017-04-29,2017,17
32,Rolex,Ayo & Teo,39,9,39,2017-04-29,2017,17
33,Can't Stop The Feeling!,Justin Timberlake,32,1,49,2017-04-29,2017,17
34,Mercy,Shawn Mendes,33,15,30,2017-04-29,2017,17
35,Down,Marian Hill,21,13,21,2017-04-29,2017,17
36,Slide,Calvin Harris Featuring Frank Ocean & Migos,40,34,7,2017-04-29,2017,17
37,Look At Me!,XXXTENTACION,34,34,10,2017-04-29,2017,17
38,Fake Love,Drake,31,8,25,2017-04-29,2017,17
39,Starboy,The Weeknd Featuring Daft Punk,37,1,30,2017-04-29,2017,17
40,In Case You Didn't Know,Brett Young,44,10,44,2017-04-29,2017,17
41,Portland,Drake Featuring Quavo & Travis Scott,36,9,4,2017-04-29,2017,17
42,Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,52,4,52,2017-04-29,2017,17
43,Goosebumps,Travis Scott,22,22,0,2017-04-29,2017,17
44,Both,Gucci Mane Featuring Drake,46,41,17,2017-04-29,2017,17
45,Dirt On My Boots,Jon Pardi,42,37,19,2017-04-29,2017,17
46,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,45,6,27,2017-04-29,2017,17
47,Believer,Imagine Dragons,48,41,10,2017-04-29,2017,17
48,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,49,44,13,2017-04-29,2017,17
49,Redbone,Childish Gambino,56,48,19,2017-04-29,2017,17
50,Now Or Never,Halsey,-,1,-,2017-04-29,2017,17
51,Hurricane,Luke Combs,57,9,57,2017-04-29,2017,17
52,Any Ol' Barstool,Jason Aldean,54,12,54,2017-04-29,2017,17
53,The Fighter,Keith Urban Featuring Carrie Underwood,38,38,10,2017-04-29,2017,17
54,Green Light,Lorde,55,19,7,2017-04-29,2017,17
55,Party,Chris Brown Featuring Usher & Gucci Mane,51,40,17,2017-04-29,2017,17
56,Hometown Girl,Josh Turner,65,7,65,2017-04-29,2017,17
57,Castle On The Hill,Ed Sheeran,69,6,14,2017-04-29,2017,17
58,Heavy,Linkin Park Featuring Kiiara,61,52,8,2017-04-29,2017,17
59,Shining,DJ Khaled Featuring Beyonce & JAY Z,64,57,9,2017-04-29,2017,17
60,How Far I'll Go,Auli'i Cravalho,63,41,18,2017-04-29,2017,17
61,Black,Dierks Bentley,66,10,66,2017-04-29,2017,17
62,Gyalchester,Drake,29,4,29,2017-04-29,2017,17
63,Losin Control,Russ,79,7,79,2017-04-29,2017,17
64,The Weekend,Brantley Gilbert,80,15,80,2017-04-29,2017,17
65,Call On Me,Starley,82,15,82,2017-04-29,2017,17
66,Fast,Luke Bryan,58,58,12,2017-04-29,2017,17
67,Moves,Big Sean,74,38,16,2017-04-29,2017,17
68,"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys,71,3,71,2017-04-29,2017,17
69,Selfish,Future Featuring Rihanna,77,37,7,2017-04-29,2017,17
70,Play That Song,Train,72,41,20,2017-04-29,2017,17
71,Deja Vu,J. Cole,73,7,18,2017-04-29,2017,17
72,Free Smoke,Drake,68,18,4,2017-04-29,2017,17
73,Yeah Boy,Kelsea Ballerini,76,8,76,2017-04-29,2017,17
74,Unforgettable,French Montana Featuring Swae Lee,-,1,-,2017-04-29,2017,17
75,Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,94,2,94,2017-04-29,2017,17
76,First Day Out,Tee Grizzley,88,2,88,2017-04-29,2017,17
77,Road Less Traveled,Lauren Alaina,67,67,12,2017-04-29,2017,17
78,The One,The Chainsmokers,91,2,91,2017-04-29,2017,17
79,Everyday We Lit,YFN Lucci Featuring PnB Rock,-,1,-,2017-04-29,2017,17
80,Scared To Be Lonely,Martin Garrix & Dua Lipa,90,6,90,2017-04-29,2017,17
81,Craving You,Thomas Rhett Featuring Maren Morris,53,53,2,2017-04-29,2017,17
82,Good Drank,2 Chainz x Gucci Mane x Quavo,95,5,95,2017-04-29,2017,17
83,Draco,Future,87,46,8,2017-04-29,2017,17
84,Blem,Drake,78,38,4,2017-04-29,2017,17
85,You Look Good,Lady Antebellum,60,60,2,2017-04-29,2017,17
86,How Not To,Dan + Shay,98,2,98,2017-04-29,2017,17
