rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Flowers,Miley Cyrus,-,-,0,2023-01-28,2023,4
2,Kill Bill,SZA,6,6,0,2023-01-28,2023,4
3,Anti-Hero,Taylor Swift,1,1,13,2023-01-28,2023,4
4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",5,7,5,2023-01-28,2023,4
5,Unholy,Sam Smith & Kim Petras,3,1,17,2023-01-28,2023,4
6,I'm Good (Blue),David Guetta & Bebe Rexha,4,4,21,2023-01-28,2023,4
7,Die For You,The Weeknd & Ariana Grande,6,6,25,2023-01-28,2023,4
8,Rich Flex,Drake & 21 Savage,7,2,11,2023-01-28,2023,4
9,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,-,1,-,2023-01-28,2023,4
10,As It Was,Harry Styles,8,1,42,2023-01-28,2023,4
11,Golden Hour,JVKE,21,21,0,2023-01-28,2023,4
12,Bad Habit,Steve Lacy,9,1,29,2023-01-28,2023,4
13,Something In The Orange,Zach Bryan,10,10,39,2023-01-28,2023,4
14,Under The Influence,Chris Brown,12,12,19,2023-01-28,2023,4
15,Made You Look,Meghan Trainor,14,12,13,2023-01-28,2023,4
16,Just Wanna Rock,Lil Uzi Vert,14,14,0,2023-01-28,2023,4
17,Cuff It,Beyonce,13,10,23,2023-01-28,2023,4
18,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",19,8,7,2023-01-28,2023,4
19,Thank God,Kane Brown With Katelyn Brown,18,17,18,2023-01-28,2023,4
20,You Proof,Morgan Wallen,15,5,36,2023-01-28,2023,4
21,Rock And A Hard Place,Bailey Zimmerman,17,17,32,2023-01-28,2023,4
22,Escapism,RAYE Featuring 070 Shake,28,7,28,2023-01-28,2023,4
23,Shirt,SZA,22,11,12,2023-01-28,2023,4
24,I Like You (A Happier Song),Post Malone Featuring Doja Cat,21,3,30,2023-01-28,2023,4
25,Bebe Dame,Fuerza Regida X Grupo Frontera,31,4,31,2023-01-28,2023,4
26,"Going, Going, Gone",Luke Combs,29,10,29,2023-01-28,2023,4
27,Wait For U,Future Featuring Drake & Tems,26,1,35,2023-01-28,2023,4
28,Until I Found You,Stephen Sanchez,23,23,29,2023-01-28,2023,4
29,Super Freaky Girl,Nicki Minaj,20,1,23,2023-01-28,2023,4
30,Tomorrow 2,GloRilla & Cardi B,25,9,17,2023-01-28,2023,4
31,Thought You Should Know,Morgan Wallen,27,12,23,2023-01-28,2023,4
32,Snooze,SZA,48,29,6,2023-01-28,2023,4
33,Heart Like A Truck,Lainey Wilson,32,32,10,2023-01-28,2023,4
34,Lavender Haze,Taylor Swift,30,2,13,2023-01-28,2023,4
35,Calm Down,Rema & Selena Gomez,38,20,38,2023-01-28,2023,4
36,Nobody Gets Me,SZA,34,10,6,2023-01-28,2023,4
37,Wait In The Truck,HARDY Featuring Lainey Wilson,20,20,0,2023-01-28,2023,4
38,The Kind Of Love We Make,Luke Combs,33,8,26,2023-01-28,2023,4
39,Lift Me Up,Rihanna,24,2,12,2023-01-28,2023,4
40,What My World Spins Around,Jordan Davis,23,23,0,2023-01-28,2023,4
41,Sunroof,Nicky Youre & dazy,36,4,30,2023-01-28,2023,4
42,Sure Thing,Miguel,49,36,25,2023-01-28,2023,4
43,Unstoppable,Sia,44,28,23,2023-01-28,2023,4
44,She Had Me At Heads Carolina,Cole Swindell,35,16,30,2023-01-28,2023,4
45,I Ain't Worried,OneRepublic,39,6,28,2023-01-28,2023,4
46,Low,SZA,17,6,17,2023-01-28,2023,4
47,Victoria's Secret,Jax,45,35,25,2023-01-28,2023,4
48,Vegas,Doja Cat,41,10,29,2023-01-28,2023,4
49,About Damn Time,Lizzo,42,1,36,2023-01-28,2023,4
50,Que Vuelvas,Carin Leon X Grupo Frontera,53,4,53,2023-01-28,2023,4
51,Whiskey On You,Nate Smith,47,44,31,2023-01-28,2023,4
52,Blind,SZA,51,12,6,2023-01-28,2023,4
53,Tennessee Orange,Megan Moroney,58,6,58,2023-01-28,2023,4
54,Players,Coi Leray,78,3,78,2023-01-28,2023,4
55,Pick Me Up,Gabby Barrett,60,22,60,2023-01-28,2023,4
56,On Wat U On,Moneybagg Yo x GloRilla,-,1,-,2023-01-28,2023,4
57,Bloody Mary,Lady Gaga,62,3,62,2023-01-28,2023,4
58,Handle On You,Parker McCollum,67,3,67,2023-01-28,2023,4
59,Romantic Homicide,d4vd,57,33,20,2023-01-28,2023,4
60,What He Didn't Do,Carly Pearce,61,5,61,2023-01-28,2023,4
61,Love Language,SZA,56,21,6,2023-01-28,2023,4
62,No Se Va,Grupo Frontera,69,57,15,2023-01-28,2023,4
63,Forget Me,Lewis Capaldi,65,10,65,2023-01-28,2023,4
64,Spin Bout U,Drake & 21 Savage,59,5,11,2023-01-28,2023,4
65,Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X,52,32,17,2023-01-28,2023,4
66,Here With Me,d4vd,77,3,77,2023-01-28,2023,4
67,Snap,Rosa Linn,74,12,74,2023-01-28,2023,4
68,Shut Up My Moms Calling,Hotel Ugly,76,3,76,2023-01-28,2023,4
69,Freestyle,Lil Baby,68,63,16,2023-01-28,2023,4
70,Wild As Her,Corey Kent,71,15,71,2023-01-28,2023,4
71,The Color Violet,Tory Lanez,70,70,3,2023-01-28,2023,4
72,La Bachata,Manuel Turizo,79,67,18,2023-01-28,2023,4
73,Half Of Me,Thomas Rhett Featuring Riley Green,63,52,19,2023-01-28,2023,4
74,Circo Loco,Drake & 21 Savage,66,8,11,2023-01-28,2023,4
75,Nonsense,Sabrina Carpenter,-,1,-,2023-01-28,2023,4
76,Vibe,TAEYANG Featuring Jimin,-,1,-,2023-01-28,2023,4
77,Too Many Nights,Metro Boomin Featuring Don Toliver & Future,64,22,7,2023-01-28,2023,4
78,La Jumpa,Arcangel & Bad Bunny,81,68,5,2023-01-28,2023,4
79,Love You Better,Future,88,12,10,2023-01-28,2023,4
80,Gato de Noche,Nengo Flow & Bad Bunny,75,60,4,2023-01-28,2023,4
81,Seek & Destroy,SZA,72,24,6,2023-01-28,2023,4
82,One Thing At A Time,Morgan Wallen,37,7,37,2023-01-28,2023,4
83,Monotonia,Shakira + Ozuna,-,65,3,2023-01-28,2023,4
84,Ghost In The Machine,SZA Featuring Phoebe Bridgers,80,40,6,2023-01-28,2023,4
85,Ditto,NewJeans,96,2,96,2023-01-28,2023,4
86,Down Home,Jimmie Allen,73,61,9,2023-01-28,2023,4
87,Heyy,Lil Baby,86,21,12,2023-01-28,2023,4
88,Out In The Middle,Zac Brown Band,87,86,6,2023-01-28,2023,4
89,Open Arms,SZA Featuring Travis Scott,84,54,5,2023-01-28,2023,4
90,Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage",89,27,6,2023-01-28,2023,4
91,OMG,NewJeans,-,1,-,2023-01-28,2023,4
92,That's What Tequila Does,Jason Aldean,97,2,97,2023-01-28,2023,4
93,Used,SZA Featuring Don Toliver,83,30,6,2023-01-28,2023,4
94,Human,Cody Johnson,-,1,-,2023-01-28,2023,4
95,Special,SZA,85,37,6,2023-01-28,2023,4
96,Miss You,Oliver Tree & Robin Schulz,95,84,8,2023-01-28,2023,4
97,California Breeze,Lil Baby,90,4,10,2023-01-28,2023,4
98,Heart To Heart,Mac DeMarco,-,1,-,2023-01-28,2023,4
99,You Didn't,Brett Young,100,2,100,2023-01-28,2023,4
100,King Snipe,Gucci Mane & Kodak Black,-,1,-,2023-01-28,2023,4
1,Flowers,Miley Cyrus,2,2,0,2023-02-04,2023,5
2,Kill Bill,SZA,7,7,0,2023-02-04,2023,5
3,Anti-Hero,Taylor Swift,1,14,1,2023-02-04,2023,5
4,Creepin',"Metro Boomin, The Weeknd & 21 Savage",8,8,0,2023-02-04,2023,5
5,Unholy,Sam Smith & Kim Petras,1,18,1,2023-02-04,2023,5
6,I'm Good (Blue),David Guetta & Bebe Rexha,4,22,4,2023-02-04,2023,5
7,Die For You,The Weeknd & Ariana Grande,6,26,6,2023-02-04,2023,5
8,Rich Flex,Drake & 21 Savage,2,12,2,2023-02-04,2023,5
9,As It Was,Harry Styles,10,1,43,2023-02-04,2023,5
10,Golden Hour,JVKE,11,22,11,2023-02-04,2023,5
11,Something In The Orange,Zach Bryan,13,10,40,2023-02-04,2023,5
12,Just Wanna Rock,Lil Uzi Vert,16,15,16,2023-02-04,2023,5
13,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,9,9,2,2023-02-04,2023,5
14,Made You Look,Meghan Trainor,15,12,15,2023-02-04,2023,5
15,Cuff It,Beyonce,17,10,24,2023-02-04,2023,5
16,Under The Influence,Chris Brown,14,12,20,2023-02-04,2023,5
17,Bad Habit,Steve Lacy,12,1,30,2023-02-04,2023,5
18,Thank God,Kane Brown With Katelyn Brown,19,17,20,2023-02-04,2023,5
19,Rock And A Hard Place,Bailey Zimmerman,21,17,33,2023-02-04,2023,5
20,You Proof,Morgan Wallen,5,37,5,2023-02-04,2023,5
21,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",18,8,8,2023-02-04,2023,5
22,Escapism,RAYE Featuring 070 Shake,8,8,0,2023-02-04,2023,5
23,Wait In The Truck,HARDY Featuring Lainey Wilson,37,21,37,2023-02-04,2023,5
24,I Like You (A Happier Song),Post Malone Featuring Doja Cat,3,31,3,2023-02-04,2023,5
25,"Going, Going, Gone",Luke Combs,26,11,26,2023-02-04,2023,5
26,Shirt,SZA,23,11,13,2023-02-04,2023,5
27,Thought You Should Know,Morgan Wallen,31,12,24,2023-02-04,2023,5
28,Calm Down,Rema & Selena Gomez,35,21,35,2023-02-04,2023,5
29,Until I Found You,Stephen Sanchez,28,23,30,2023-02-04,2023,5
30,Lavender Haze,Taylor Swift,34,2,14,2023-02-04,2023,5
31,Snooze,SZA,32,29,7,2023-02-04,2023,5
32,Bebe Dame,Fuerza Regida X Grupo Frontera,25,25,5,2023-02-04,2023,5
33,Heart Like A Truck,Lainey Wilson,32,11,32,2023-02-04,2023,5
34,Wait For U,Future Featuring Drake & Tems,27,1,36,2023-02-04,2023,5
35,The Kind Of Love We Make,Luke Combs,38,8,27,2023-02-04,2023,5
36,Super Freaky Girl,Nicki Minaj,29,1,24,2023-02-04,2023,5
37,Tomorrow 2,GloRilla & Cardi B,30,9,18,2023-02-04,2023,5
38,Nobody Gets Me,SZA,36,10,7,2023-02-04,2023,5
39,Sure Thing,Miguel,42,36,26,2023-02-04,2023,5
40,What My World Spins Around,Jordan Davis,24,24,0,2023-02-04,2023,5
41,She Had Me At Heads Carolina,Cole Swindell,44,16,31,2023-02-04,2023,5
42,Sunroof,Nicky Youre & dazy,41,4,31,2023-02-04,2023,5
43,Unstoppable,Sia,28,24,28,2023-02-04,2023,5
44,Lift Me Up,Rihanna,39,2,13,2023-02-04,2023,5
45,I Ain't Worried,OneRepublic,6,29,6,2023-02-04,2023,5
46,Whiskey On You,Nate Smith,51,44,32,2023-02-04,2023,5
47,Low,SZA,46,17,7,2023-02-04,2023,5
48,About Damn Time,Lizzo,49,1,37,2023-02-04,2023,5
49,Players,Coi Leray,54,4,54,2023-02-04,2023,5
50,Vegas,Doja Cat,48,10,30,2023-02-04,2023,5
51,Que Vuelvas,Carin Leon X Grupo Frontera,50,50,5,2023-02-04,2023,5
52,Knight Crawler,Trippie Redd & Juice WRLD,-,1,-,2023-02-04,2023,5
53,Tennessee Orange,Megan Moroney,7,7,0,2023-02-04,2023,5
