rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Cheerleader,OMI,14,14,0,2015-08-08,2015,32
2,Can't Feel My Face,The Weeknd,7,7,0,2015-08-08,2015,32
3,Watch Me,Silento,5,22,5,2015-08-08,2015,32
4,Bad Blood,Taylor Swift Featuring Kendrick Lamar,1,13,1,2015-08-08,2015,32
5,See You Again,Wiz Khalifa Featuring Charlie Puth,3,1,20,2015-08-08,2015,32
6,Trap Queen,Fetty Wap,2,27,2,2015-08-08,2015,32
7,My Way,Fetty Wap Featuring Monty,87,3,87,2015-08-08,2015,32
8,Fight Song,Rachel Platten,15,15,0,2015-08-08,2015,32
9,Shut Up And Dance,WALK THE MOON,7,4,37,2015-08-08,2015,32
10,Lean On,Major Lazer X DJ Snake Featuring MO,9,9,16,2015-08-08,2015,32
11,The Hills,The Weeknd,10,10,9,2015-08-08,2015,32
12,Worth It,Fifth Harmony Featuring Kid Ink,14,23,14,2015-08-08,2015,32
13,Where Are U Now,Skrillex & Diplo With Justin Bieber,12,8,21,2015-08-08,2015,32
14,"Honey, I'm Good.",Andy Grammer,13,9,22,2015-08-08,2015,32
15,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",11,8,18,2015-08-08,2015,32
16,Good For You,Selena Gomez Featuring A$AP Rocky,9,5,9,2015-08-08,2015,32
17,Uptown Funk!,Mark Ronson Featuring Bruno Mars,15,1,37,2015-08-08,2015,32
18,679,Fetty Wap Featuring Remy Boyz,4,4,0,2015-08-08,2015,32
19,Want To Want Me,Jason Derulo,17,5,20,2015-08-08,2015,32
20,Photograph,Ed Sheeran,21,11,21,2015-08-08,2015,32
21,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,19,13,29,2015-08-08,2015,32
22,She's Kinda Hot,5 Seconds Of Summer,-,1,-,2015-08-08,2015,32
23,Sugar,Maroon 5,20,2,28,2015-08-08,2015,32
24,Cool For The Summer,Demi Lovato,31,4,31,2015-08-08,2015,32
25,Classic Man,Jidenna Featuring Roman GianArthur,27,12,27,2015-08-08,2015,32
26,Earned It (Fifty Shades Of Grey),The Weeknd,22,3,31,2015-08-08,2015,32
27,Thinking Out Loud,Ed Sheeran,24,2,42,2015-08-08,2015,32
28,B**** Better Have My Money,Rihanna,23,15,18,2015-08-08,2015,32
29,Flex (Ooh Ooh Ooh),Rich Homie Quan,26,14,26,2015-08-08,2015,32
30,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,28,28,5,2015-08-08,2015,32
31,Uma Thurman,Fall Out Boy,36,16,36,2015-08-08,2015,32
32,Kick The Dust Up,Luke Bryan,37,26,10,2015-08-08,2015,32
33,Love Me Like You Do,Ellie Goulding,32,3,29,2015-08-08,2015,32
34,Talking Body,Tove Lo,26,12,26,2015-08-08,2015,32
35,You Know You Like It,DJ Snake & AlunaGeorge,30,13,18,2015-08-08,2015,32
36,Girl Crush,Little Big Town,25,18,23,2015-08-08,2015,32
37,Nasty Freestyle,T-Wayne,34,9,15,2015-08-08,2015,32
38,Take Your Time,Sam Hunt,20,30,20,2015-08-08,2015,32
39,House Party,Sam Hunt,8,8,0,2015-08-08,2015,32
40,Slow Motion,Trey Songz,35,26,24,2015-08-08,2015,32
41,Elastic Heart,Sia,33,17,29,2015-08-08,2015,32
42,Fun,Pitbull Featuring Chris Brown,40,40,11,2015-08-08,2015,32
43,Be Real,Kid Ink Featuring DeJ Loaf,44,15,44,2015-08-08,2015,32
44,One Hell Of An Amen,Brantley Gilbert,50,13,50,2015-08-08,2015,32
45,Crash And Burn,Thomas Rhett,49,11,49,2015-08-08,2015,32
46,R.I.C.O.,Meek Mill Featuring Drake,45,43,4,2015-08-08,2015,32
47,Shake It Off,Taylor Swift,1,49,1,2015-08-08,2015,32
48,Marvin Gaye,Charlie Puth Featuring Meghan Trainor,55,6,55,2015-08-08,2015,32
49,Tonight Looks Good On You,Jason Aldean,46,46,14,2015-08-08,2015,32
50,Renegades,X Ambassadors,58,15,58,2015-08-08,2015,32
51,Loving You Easy,Zac Brown Band,56,9,56,2015-08-08,2015,32
52,Like A Wrecking Ball,Eric Church,18,18,0,2015-08-08,2015,32
53,Buy Me A Boat,Chris Janson,9,9,0,2015-08-08,2015,32
54,Stitches,Shawn Mendes,57,9,57,2015-08-08,2015,32
55,Planez,Jeremih Featuring J. Cole,59,9,59,2015-08-08,2015,32
56,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White,61,5,61,2015-08-08,2015,32
57,"John Cougar, John Deere, John 3:16",Keith Urban,62,7,62,2015-08-08,2015,32
58,Sangria,Blake Shelton,42,38,15,2015-08-08,2015,32
59,Kiss You In The Morning,Michael Ray,60,9,60,2015-08-08,2015,32
60,How Deep Is Your Love,Calvin Harris & Disciples,-,1,-,2015-08-08,2015,32
61,This Could Be Us,Rae Sremmurd,63,7,63,2015-08-08,2015,32
