rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,I Had Some Help,Post Malone Featuring Morgan Wallen,2,2,0,2024-06-01,2024,22
2,Not Like Us,Kendrick Lamar,1,3,1,2024-06-01,2024,22
3,Million Dollar Baby,Tommy Richman,2,4,2,2024-06-01,2024,22
4,A Bar Song (Tipsy),Shaboozey,3,6,3,2024-06-01,2024,22
5,Lunch,Billie Eilish,-,1,-,2024-06-01,2024,22
6,Espresso,Sabrina Carpenter,9,4,9,2024-06-01,2024,22
7,Lose Control,Teddy Swims,6,1,41,2024-06-01,2024,22
8,Beautiful Things,Benson Boone,5,2,18,2024-06-01,2024,22
9,Too Sweet,Hozier,10,1,10,2024-06-01,2024,22
10,Fortnight,Taylor Swift Featuring Post Malone,8,1,5,2024-06-01,2024,22
11,Like That,"Future, Metro Boomin & Kendrick Lamar",7,1,9,2024-06-01,2024,22
12,Chihiro,Billie Eilish,-,1,-,2024-06-01,2024,22
13,Birds Of A Feather,Billie Eilish,-,1,-,2024-06-01,2024,22
14,Saturn,SZA,12,6,13,2024-06-01,2024,22
15,We Can't Be Friends (Wait For Your Love),Ariana Grande,13,1,11,2024-06-01,2024,22
16,Euphoria,Kendrick Lamar,11,3,4,2024-06-01,2024,22
17,Wildflower,Billie Eilish,-,1,-,2024-06-01,2024,22
18,Skinny,Billie Eilish,-,1,-,2024-06-01,2024,22
19,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,18,1,39,2024-06-01,2024,22
20,Stick Season,Noah Kahan,15,9,34,2024-06-01,2024,22
21,Lovin On Me,Jack Harlow,17,1,28,2024-06-01,2024,22
22,L'amour De Ma Vie,Billie Eilish,-,1,-,2024-06-01,2024,22
23,Ain't No Love In Oklahoma,Luke Combs,-,1,-,2024-06-01,2024,22
24,The Greatest,Billie Eilish,-,1,-,2024-06-01,2024,22
25,Blue,Billie Eilish,-,1,-,2024-06-01,2024,22
26,I Can Do It With A Broken Heart,Taylor Swift,14,3,5,2024-06-01,2024,22
27,Cowgirls,Morgan Wallen Featuring ERNEST,31,23,31,2024-06-01,2024,22
28,Feather,Sabrina Carpenter,22,21,25,2024-06-01,2024,22
29,Miles On It,Marshmello & Kane Brown,24,24,3,2024-06-01,2024,22
