rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Drivers License,Olivia Rodrigo,6,6,0,2021-02-27,2021,8
2,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,6,16,6,2021-02-27,2021,8
3,Calling My Phone,Lil Tjay Featuring 6LACK,-,1,-,2021-02-27,2021,8
4,Blinding Lights,The Weeknd,3,1,63,2021-02-27,2021,8
5,Up,Cardi B,2,2,2,2021-02-27,2021,8
6,Save Your Tears,The Weeknd & Ariana Grande,4,4,10,2021-02-27,2021,8
7,Mood,24kGoldn Featuring iann dior,5,1,28,2021-02-27,2021,8
8,Go Crazy,Chris Brown & Young Thug,7,5,41,2021-02-27,2021,8
9,Levitating,Dua Lipa,8,5,20,2021-02-27,2021,8
10,Positions,Ariana Grande,9,1,17,2021-02-27,2021,8
11,Love Story (Taylor's Version),Taylor Swift,-,1,-,2021-02-27,2021,8
12,What You Know Bout Love,Pop Smoke,10,10,24,2021-02-27,2021,8
13,Therefore I Am,Billie Eilish,15,2,15,2021-02-27,2021,8
14,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,12,6,33,2021-02-27,2021,8
15,Whoopty,CJ,11,10,11,2021-02-27,2021,8
16,Back In Blood,Pooh Shiesty Featuring Lil Durk,17,7,17,2021-02-27,2021,8
17,Holy,Justin Bieber Featuring Chance The Rapper,14,3,22,2021-02-27,2021,8
18,Good Days,SZA,13,9,8,2021-02-27,2021,8
19,I Hope,Gabby Barrett Featuring Charlie Puth,20,3,60,2021-02-27,2021,8
20,Better Together,Luke Combs,18,15,18,2021-02-27,2021,8
21,Dakiti,Bad Bunny & Jhay Cortez,19,5,16,2021-02-27,2021,8
22,Lonely,Justin Bieber & benny blanco,16,12,18,2021-02-27,2021,8
23,You Broke Me First.,Tate McRae,24,26,24,2021-02-27,2021,8
24,You're Mines Still,Yung Bleu Featuring Drake,26,11,26,2021-02-27,2021,8
25,Willow,Taylor Swift,29,1,10,2021-02-27,2021,8
26,Body,Megan Thee Stallion,21,12,13,2021-02-27,2021,8
27,Streets,Doja Cat,22,18,6,2021-02-27,2021,8
28,Anyone,Justin Bieber,34,6,7,2021-02-27,2021,8
29,My Ex's Best Friend,Machine Gun Kelly X blackbear,25,25,27,2021-02-27,2021,8
30,Throat Baby (Go Baby),BRS Kash,33,24,18,2021-02-27,2021,8
31,Bang!,AJR,23,8,33,2021-02-27,2021,8
32,On Me,Lil Baby,31,29,11,2021-02-27,2021,8
33,Before You Go,Lewis Capaldi,32,9,52,2021-02-27,2021,8
34,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,27,6,27,2021-02-27,2021,8
35,Good Time,Niko Moon,31,20,31,2021-02-27,2021,8
36,Laugh Now Cry Later,Drake Featuring Lil Durk,30,2,27,2021-02-27,2021,8
37,Starting Over,Chris Stapleton,40,25,25,2021-02-27,2021,8
38,Best Friend,Saweetie Featuring Doja Cat,41,6,41,2021-02-27,2021,8
39,Put Your Records On,Ritt Momney,45,18,45,2021-02-27,2021,8
40,Just The Way,Parmalee x Blanco Brown,42,8,42,2021-02-27,2021,8
41,Cry Baby,Megan Thee Stallion Featuring DaBaby,28,28,11,2021-02-27,2021,8
42,Beers And Sunshine,Darius Rucker,46,10,46,2021-02-27,2021,8
43,Without You,The Kid LAROI,44,11,44,2021-02-27,2021,8
44,Damage,H.E.R.,47,10,47,2021-02-27,2021,8
45,Dynamite,BTS,43,1,26,2021-02-27,2021,8
46,Down To One,Luke Bryan,50,8,50,2021-02-27,2021,8
47,Buss It,Erica Banks,60,6,60,2021-02-27,2021,8
48,Long Live,Florida Georgia Line,61,7,61,2021-02-27,2021,8
49,We're Good,Dua Lipa,-,1,-,2021-02-27,2021,8
50,Time Today,Moneybagg Yo,37,37,2,2021-02-27,2021,8
51,What It Feels Like,Nipsey Hussle & JAY-Z,-,1,-,2021-02-27,2021,8
52,Hole In The Bottle,Kelsea Ballerini,39,39,18,2021-02-27,2021,8
53,Wasted On You,Morgan Wallen,36,9,6,2021-02-27,2021,8
54,Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby,53,53,5,2021-02-27,2021,8
55,The Good Ones,Gabby Barrett,56,8,56,2021-02-27,2021,8
56,What's Your Country Song,Thomas Rhett,54,54,9,2021-02-27,2021,8
57,Sand In My Boots,Morgan Wallen,38,32,6,2021-02-27,2021,8
58,Golden,Harry Styles,17,17,0,2021-02-27,2021,8
59,Monsters,All Time Low Featuring Demi Lovato & blackbear,62,8,62,2021-02-27,2021,8
60,Goosebumps,Travis Scott & HVME,59,59,5,2021-02-27,2021,8
61,My Head And My Heart,Ava Max,82,2,82,2021-02-27,2021,8
62,Tyler Herro,Jack Harlow,65,34,17,2021-02-27,2021,8
63,Lady,Brett Young,68,6,68,2021-02-27,2021,8
64,Heat Waves,Glass Animals,69,5,69,2021-02-27,2021,8
65,Afterglow,Ed Sheeran,57,29,9,2021-02-27,2021,8
