rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Closer,The Chainsmokers Featuring Halsey,7,7,0,2016-10-01,2016,39
2,Heathens,Twenty One Pilots,13,13,0,2016-10-01,2016,39
3,Cold Water,Major Lazer Featuring Justin Bieber & MO,2,8,2,2016-10-01,2016,39
4,Cheap Thrills,Sia Featuring Sean Paul,1,31,1,2016-10-01,2016,39
5,Don't Let Me Down,The Chainsmokers Featuring Daya,3,31,3,2016-10-01,2016,39
6,Let Me Love You,DJ Snake Featuring Justin Bieber,12,12,0,2016-10-01,2016,39
7,This Is What You Came For,Calvin Harris Featuring Rihanna,3,20,3,2016-10-01,2016,39
8,Treat You Better,Shawn Mendes,13,15,13,2016-10-01,2016,39
9,Ride,Twenty One Pilots,6,5,27,2016-10-01,2016,39
10,Send My Love (To Your New Lover),Adele,8,8,18,2016-10-01,2016,39
11,Needed Me,Rihanna,9,7,33,2016-10-01,2016,39
12,Broccoli,D.R.A.M. Featuring Lil Yachty,14,14,14,2016-10-01,2016,39
13,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,10,10,15,2016-10-01,2016,39
14,One Dance,Drake Featuring WizKid & Kyla,11,1,24,2016-10-01,2016,39
15,Perfect Illusion,Lady Gaga,-,1,-,2016-10-01,2016,39
16,Too Good,Drake Featuring Rihanna,17,14,20,2016-10-01,2016,39
17,Into You,Ariana Grande,15,13,18,2016-10-01,2016,39
18,Can't Stop The Feeling!,Justin Timberlake,16,1,19,2016-10-01,2016,39
19,Side To Side,Ariana Grande Featuring Nicki Minaj,18,18,3,2016-10-01,2016,39
20,Gold,Kiiara,17,17,0,2016-10-01,2016,39
21,Luv,Tory Lanez,19,19,12,2016-10-01,2016,39
22,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",21,15,12,2016-10-01,2016,39
23,I Hate U I Love U,gnash Featuring Olivia O'Brien,22,22,22,2016-10-01,2016,39
24,The Greatest,Sia Featuring Kendrick Lamar,52,2,52,2016-10-01,2016,39
25,Panda,Desiigner,24,1,30,2016-10-01,2016,39
26,Hymn For The Weekend,Coldplay,16,16,0,2016-10-01,2016,39
27,For Free,DJ Khaled Featuring Drake,23,13,15,2016-10-01,2016,39
28,Never Be Like You,Flume Featuring Kai,25,20,24,2016-10-01,2016,39
29,Unsteady,X Ambassadors,18,18,0,2016-10-01,2016,39
30,Controlla,Drake,27,16,20,2016-10-01,2016,39
31,This Girl,Kungs vs Cookin' On 3 Burners,30,30,8,2016-10-01,2016,39
32,"Sit Still, Look Pretty",Daya,28,28,16,2016-10-01,2016,39
33,Starving,Hailee Steinfeld & Grey Featuring Zedd,39,7,39,2016-10-01,2016,39
34,Tiimmy Turner,Desiigner,8,8,0,2016-10-01,2016,39
35,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,31,4,29,2016-10-01,2016,39
36,Just Like Fire,P!nk,32,10,22,2016-10-01,2016,39
37,No Limit,Usher Featuring Young Thug,36,33,12,2016-10-01,2016,39
38,Stressed Out,Twenty One Pilots,37,2,52,2016-10-01,2016,39
39,Peter Pan,Kelsea Ballerini,35,35,16,2016-10-01,2016,39
40,Setting The World On Fire,Kenny Chesney Featuring P!nk,49,29,7,2016-10-01,2016,39
41,Work,Rihanna Featuring Drake,38,1,34,2016-10-01,2016,39
42,Different For Girls,Dierks Bentley Featuring Elle King,46,15,46,2016-10-01,2016,39
43,I Took A Pill In Ibiza,Mike Posner,41,4,35,2016-10-01,2016,39
44,Low Life,Future Featuring The Weeknd,18,32,18,2016-10-01,2016,39
45,7 Years,Lukas Graham,2,35,2,2016-10-01,2016,39
46,Mama Said,Lukas Graham,42,36,9,2016-10-01,2016,39
47,Fade,Kanye West,98,2,98,2016-10-01,2016,39
48,Pick Up The Phone,Young Thug And Travis Scott Featuring Quavo,43,43,5,2016-10-01,2016,39
49,H.O.L.Y.,Florida Georgia Line,40,14,20,2016-10-01,2016,39
50,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,51,7,51,2016-10-01,2016,39
51,In The Name Of Love,Martin Garrix & Bebe Rexha,56,5,56,2016-10-01,2016,39
52,All In My Head (Flex),Fifth Harmony Featuring Fetty Wap,47,24,13,2016-10-01,2016,39
53,Me Too,Meghan Trainor,48,13,18,2016-10-01,2016,39
54,Money Longer,Lil Uzi Vert,57,14,57,2016-10-01,2016,39
55,It Don't Hurt Like It Used To,Billy Currington,67,8,67,2016-10-01,2016,39
56,"Father Stretch My Hands, Pt. 1",Kanye West,59,37,19,2016-10-01,2016,39
57,Make You Miss Me,Sam Hunt,53,45,16,2016-10-01,2016,39
58,Don't Mind,Kent Jones,50,8,20,2016-10-01,2016,39
59,I Got The Keys,DJ Khaled Featuring Jay Z & Future,55,30,12,2016-10-01,2016,39
60,Vice,Miranda Lambert,54,47,9,2016-10-01,2016,39
61,You & Me,Marc E. Bassy Featuring G-Eazy,58,58,10,2016-10-01,2016,39
62,Scars To Your Beautiful,Alessia Cara,79,3,79,2016-10-01,2016,39
63,No Problem,Chance The Rapper Featuring Lil Wayne & 2 Chainz,76,17,76,2016-10-01,2016,39
64,Middle Of A Memory,Cole Swindell,68,8,68,2016-10-01,2016,39
65,Rock On,Tucker Beathard,74,5,74,2016-10-01,2016,39
66,THat Part,ScHoolboy Q Featuring Kanye West,61,40,15,2016-10-01,2016,39
67,OOOUUU,Young M.A,82,3,82,2016-10-01,2016,39
68,"Wat U Mean (Aye, Aye, Aye)",Dae Dae,66,66,9,2016-10-01,2016,39
69,A Little More Summertime,Jason Aldean,-,2,-,2016-10-01,2016,39
70,Caroline,Amine,96,2,96,2016-10-01,2016,39
71,I Met A Girl,William Michael Morgan,80,4,80,2016-10-01,2016,39
72,Rise,Katy Perry,62,11,9,2016-10-01,2016,39
73,Blue Ain't Your Color,Keith Urban,-,1,-,2016-10-01,2016,39
74,Gangsta,Kehlani,63,41,6,2016-10-01,2016,39
75,Deja Vu,Post Malone Featuring Justin Bieber,-,1,-,2016-10-01,2016,39
76,Make Me...,Britney Spears Featuring G-Eazy,33,17,9,2016-10-01,2016,39
77,Why You Always Hatin?,YG Featuring Drake & Kamaiyah,70,62,13,2016-10-01,2016,39
78,Purple Lamborghini,Skrillex & Rick Ross,72,33,8,2016-10-01,2016,39
79,She's Got A Way With Words,Blake Shelton,71,61,12,2016-10-01,2016,39
80,Move,Luke Bryan,88,4,88,2016-10-01,2016,39
81,Too Much Sauce,DJ ESCO Featuring Future & Lil Uzi Vert,4,4,0,2016-10-01,2016,39
82,Come And See Me,PARTYNEXTDOOR Featuring Drake,83,65,11,2016-10-01,2016,39
83,1 Night,Lil Yachty,84,6,84,2016-10-01,2016,39
84,My PYT,Wale,73,54,14,2016-10-01,2016,39
85,I Know Somebody,LOCASH,93,3,93,2016-10-01,2016,39
86,May We All,Florida Georgia Line Featuring Tim McGraw,60,56,3,2016-10-01,2016,39
87,Childs Play,Drake,77,49,14,2016-10-01,2016,39
88,Hold Up,Beyonce,69,13,7,2016-10-01,2016,39
89,Sleep Without You,Brett Young,-,1,-,2016-10-01,2016,39
90,American Country Love Song,Jake Owen,64,55,17,2016-10-01,2016,39
91,You Look Like I Need A Drink,Justin Moore,86,79,6,2016-10-01,2016,39
92,With You Tonight / Hasta El Amanecer,Nicky Jam,78,73,17,2016-10-01,2016,39
93,Wishing,"DJ Drama Featuring Chris Brown, Skeme & Lyquin",91,91,5,2016-10-01,2016,39
94,Grass Ain't Greener,Chris Brown,90,71,3,2016-10-01,2016,39
95,Do You Mind,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",94,89,6,2016-10-01,2016,39
96,Black Beatles,Rae Sremmurd Featuring Gucci Mane,-,1,-,2016-10-01,2016,39
97,No Shopping,French Montana Featuring Drake,85,36,9,2016-10-01,2016,39
98,X,21 Savage & Metro Boomin Featuring Future,-,1,-,2016-10-01,2016,39
99,You Was Right,Lil Uzi Vert,95,89,10,2016-10-01,2016,39
100,You Don't Own Me,Grace Featuring G-Eazy,87,57,17,2016-10-01,2016,39
1,Closer,The Chainsmokers Featuring Halsey,8,8,0,2016-10-08,2016,40
2,Heathens,Twenty One Pilots,14,14,0,2016-10-08,2016,40
3,Cold Water,Major Lazer Featuring Justin Bieber & MO,2,9,2,2016-10-08,2016,40
4,Let Me Love You,DJ Snake Featuring Justin Bieber,6,7,6,2016-10-08,2016,40
5,Cheap Thrills,Sia Featuring Sean Paul,4,1,32,2016-10-08,2016,40
6,Treat You Better,Shawn Mendes,8,16,8,2016-10-08,2016,40
7,Don't Let Me Down,The Chainsmokers Featuring Daya,5,3,32,2016-10-08,2016,40
8,Broccoli,D.R.A.M. Featuring Lil Yachty,12,15,12,2016-10-08,2016,40
9,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,13,16,13,2016-10-08,2016,40
10,This Is What You Came For,Calvin Harris Featuring Rihanna,7,3,21,2016-10-08,2016,40
11,Ride,Twenty One Pilots,9,5,28,2016-10-08,2016,40
12,Needed Me,Rihanna,11,7,34,2016-10-08,2016,40
13,Send My Love (To Your New Lover),Adele,10,8,19,2016-10-08,2016,40
14,One Dance,Drake Featuring WizKid & Kyla,1,25,1,2016-10-08,2016,40
15,Too Good,Drake Featuring Rihanna,16,14,21,2016-10-08,2016,40
16,Gold,Kiiara,20,18,20,2016-10-08,2016,40
17,Can't Stop The Feeling!,Justin Timberlake,18,1,20,2016-10-08,2016,40
18,Side To Side,Ariana Grande Featuring Nicki Minaj,19,4,19,2016-10-08,2016,40
19,I Hate U I Love U,gnash Featuring Olivia O'Brien,23,23,23,2016-10-08,2016,40
20,Into You,Ariana Grande,17,13,19,2016-10-08,2016,40
21,Forever Country,"Artists Of Then, Now & Forever",-,1,-,2016-10-08,2016,40
22,Luv,Tory Lanez,21,19,13,2016-10-08,2016,40
23,Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",22,15,13,2016-10-08,2016,40
24,My Way,Calvin Harris,-,1,-,2016-10-08,2016,40
25,Hymn For The Weekend,Coldplay,26,17,26,2016-10-08,2016,40
26,This Girl,Kungs vs Cookin' On 3 Burners,31,9,31,2016-10-08,2016,40
27,Unsteady,X Ambassadors,29,19,29,2016-10-08,2016,40
