rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,All I Want For Christmas Is You,Mariah Carey,70,70,0,2024-12-28,2024,52
2,Rockin' Around The Christmas Tree,Brenda Lee,1,63,1,2024-12-28,2024,52
3,Last Christmas,Wham!,4,44,4,2024-12-28,2024,52
4,Jingle Bell Rock,Bobby Helms,3,3,60,2024-12-28,2024,52
5,A Holly Jolly Christmas,Burl Ives,4,44,4,2024-12-28,2024,52
6,Die With A Smile,Lady Gaga & Bruno Mars,2,18,2,2024-12-28,2024,52
7,It's The Most Wonderful Time Of The Year,Andy Williams,11,5,44,2024-12-28,2024,52
8,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,12,7,35,2024-12-28,2024,52
9,Santa Tell Me,Ariana Grande,14,28,14,2024-12-28,2024,52
10,Underneath The Tree,Kelly Clarkson,15,31,15,2024-12-28,2024,52
11,Luther,Kendrick Lamar & SZA,7,3,4,2024-12-28,2024,52
12,TV Off,Kendrick Lamar Featuring Lefty Gunplay,8,2,4,2024-12-28,2024,52
13,A Bar Song (Tipsy),Shaboozey,9,1,36,2024-12-28,2024,52
14,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",16,9,48,2024-12-28,2024,52
15,It's Beginning To Look A Lot Like Christmas,Michael Buble,21,23,21,2024-12-28,2024,52
16,Feliz Navidad,Jose Feliciano,22,6,36,2024-12-28,2024,52
17,Sleigh Ride,The Ronettes,18,8,32,2024-12-28,2024,52
18,Birds Of A Feather,Billie Eilish,13,2,31,2024-12-28,2024,52
19,That's So True,Gracie Abrams,6,9,6,2024-12-28,2024,52
20,Squabble Up,Kendrick Lamar,10,1,4,2024-12-28,2024,52
21,Run Rudolph Run,Chuck Berry,28,10,25,2024-12-28,2024,52
22,APT.,ROSE & Bruno Mars,20,8,9,2024-12-28,2024,52
23,Christmas (Baby Please Come Home),Darlene Love,31,15,25,2024-12-28,2024,52
24,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,27,12,26,2024-12-28,2024,52
25,Lose Control,Teddy Swims,23,1,71,2024-12-28,2024,52
26,Taste,Sabrina Carpenter,25,2,17,2024-12-28,2024,52
27,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,33,16,17,2024-12-28,2024,52
28,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,32,12,38,2024-12-28,2024,52
29,I Had Some Help,Post Malone Featuring Morgan Wallen,24,1,32,2024-12-28,2024,52
30,Espresso,Sabrina Carpenter,17,3,36,2024-12-28,2024,52
31,Deck The Halls,Nat King Cole,38,16,16,2024-12-28,2024,52
32,Timeless,The Weeknd & Playboi Carti,29,3,12,2024-12-28,2024,52
33,Beautiful Things,Benson Boone,26,2,48,2024-12-28,2024,52
34,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",36,10,8,2024-12-28,2024,52
35,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,39,21,23,2024-12-28,2024,52
36,Blue Christmas,Elvis Presley,42,18,15,2024-12-28,2024,52
37,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,44,20,11,2024-12-28,2024,52
38,Love Somebody,Morgan Wallen,34,1,9,2024-12-28,2024,52
39,Wonderful Christmastime,Paul McCartney,46,26,15,2024-12-28,2024,52
40,"Good Luck, Babe!",Chappell Roan,35,4,37,2024-12-28,2024,52
41,Too Sweet,Hozier,30,1,39,2024-12-28,2024,52
42,Not Like Us,Kendrick Lamar,37,1,33,2024-12-28,2024,52
43,Little Saint Nick,The Beach Boys,45,25,10,2024-12-28,2024,52
