rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,7 Rings,Ariana Grande,9,9,0,2019-03-30,2019,13
2,Without Me,Halsey,3,1,24,2019-03-30,2019,13
3,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2,1,22,2019-03-30,2019,13
4,Wow.,Post Malone,5,13,5,2019-03-30,2019,13
5,Please Me,Cardi B & Bruno Mars,4,3,4,2019-03-30,2019,13
6,Happier,Marshmello & Bastille,7,2,31,2019-03-30,2019,13
7,Shallow,Lady Gaga & Bradley Cooper,9,1,25,2019-03-30,2019,13
8,Sucker,Jonas Brothers,6,1,3,2019-03-30,2019,13
9,Middle Child,J. Cole,8,4,8,2019-03-30,2019,13
10,Going Bad,Meek Mill Featuring Drake,14,6,16,2019-03-30,2019,13
11,Thotiana,Blueface,9,10,9,2019-03-30,2019,13
12,Eastside,"benny blanco, Halsey & Khalid",13,9,36,2019-03-30,2019,13
13,Sicko Mode,Travis Scott,10,1,33,2019-03-30,2019,13
14,High Hopes,Panic! At The Disco,12,4,33,2019-03-30,2019,13
15,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2,6,2,2019-03-30,2019,13
16,Murder On My Mind,YNW Melly,17,14,9,2019-03-30,2019,13
17,Dancing With A Stranger,Sam Smith & Normani,18,10,18,2019-03-30,2019,13
18,Better,Khalid,19,27,19,2019-03-30,2019,13
19,"Thank U, Next",Ariana Grande,16,1,20,2019-03-30,2019,13
20,Sweet But Psycho,Ava Max,22,14,22,2019-03-30,2019,13
21,A Lot,21 Savage,12,13,12,2019-03-30,2019,13
22,Girls Like You,Maroon 5 Featuring Cardi B,20,1,43,2019-03-30,2019,13
23,Be Alright,Dean Lewis,25,21,25,2019-03-30,2019,13
24,Drip Too Hard,Lil Baby & Gunna,4,27,4,2019-03-30,2019,13
25,Beautiful Crazy,Luke Combs,26,23,19,2019-03-30,2019,13
26,Money,Cardi B,23,13,22,2019-03-30,2019,13
27,Better Now,Post Malone,30,3,47,2019-03-30,2019,13
28,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,31,18,31,2019-03-30,2019,13
29,You Say,Lauren Daigle,32,36,32,2019-03-30,2019,13
30,MIA,Bad Bunny Featuring Drake,28,5,23,2019-03-30,2019,13
31,ZEZE,Kodak Black Featuring Travis Scott & Offset,29,2,23,2019-03-30,2019,13
32,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,51,3,51,2019-03-30,2019,13
33,Youngblood,5 Seconds Of Summer,7,42,7,2019-03-30,2019,13
34,Pure Water,Mustard & Migos,40,8,40,2019-03-30,2019,13
35,Robbery,Juice WRLD,27,27,5,2019-03-30,2019,13
36,Look Back At It,A Boogie Wit da Hoodie,32,15,32,2019-03-30,2019,13
37,Baby Shark,Pinkfong,35,32,12,2019-03-30,2019,13
