rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,God's Plan,Drake,11,11,0,2018-04-14,2018,15
2,Meant To Be,Bebe Rexha & Florida Georgia Line,24,24,0,2018-04-14,2018,15
3,Psycho,Post Malone Featuring Ty Dolla $ign,4,2,6,2018-04-14,2018,15
4,Call Out My Name,The Weeknd,-,1,-,2018-04-14,2018,15
5,Look Alive,BlocBoy JB Featuring Drake,6,8,6,2018-04-14,2018,15
6,The Middle,"Zedd, Maren Morris & Grey",7,10,7,2018-04-14,2018,15
7,Perfect,Ed Sheeran,5,1,32,2018-04-14,2018,15
8,Finesse,Bruno Mars & Cardi B,3,3,14,2018-04-14,2018,15
9,Freaky Friday,Lil Dicky Featuring Chris Brown,8,8,3,2018-04-14,2018,15
10,Walk It Talk It,Migos Featuring Drake,15,15,0,2018-04-14,2018,15
11,Havana,Camila Cabello Featuring Young Thug,10,1,34,2018-04-14,2018,15
12,Mine,Bazzi,11,11,11,2018-04-14,2018,15
13,Plug Walk,Rich The Kid,18,8,18,2018-04-14,2018,15
14,Never Be The Same,Camila Cabello,16,16,0,2018-04-14,2018,15
15,Pray For Me,The Weeknd & Kendrick Lamar,12,7,9,2018-04-14,2018,15
16,Be Careful,Cardi B,-,1,-,2018-04-14,2018,15
17,Stir Fry,Migos,13,8,15,2018-04-14,2018,15
18,Sad!,XXXTENTACION,9,7,5,2018-04-14,2018,15
19,All The Stars,Kendrick Lamar & SZA,16,7,13,2018-04-14,2018,15
20,Ric Flair Drip,Offset & Metro Boomin,17,13,23,2018-04-14,2018,15
21,Rockstar,Post Malone Featuring 21 Savage,1,29,1,2018-04-14,2018,15
22,New Rules,Dua Lipa,20,6,36,2018-04-14,2018,15
23,Whatever It Takes,Imagine Dragons,10,10,0,2018-04-14,2018,15
24,Let You Down,NF,19,12,25,2018-04-14,2018,15
25,Friends,Marshmello & Anne-Marie,30,8,30,2018-04-14,2018,15
26,Try Me,The Weeknd,-,1,-,2018-04-14,2018,15
27,Wasted Times,The Weeknd,-,1,-,2018-04-14,2018,15
28,Heaven,Kane Brown,15,15,0,2018-04-14,2018,15
29,Thunder,Imagine Dragons,24,4,49,2018-04-14,2018,15
30,Wait,Maroon 5,26,26,12,2018-04-14,2018,15
31,In My Blood,Shawn Mendes,22,22,3,2018-04-14,2018,15
32,Him & I,G-Eazy & Halsey,25,14,18,2018-04-14,2018,15
33,Lights Down Low,MAX Featuring gnash,27,20,26,2018-04-14,2018,15
34,Powerglide,Rae Sremmurd & Juicy J,38,5,38,2018-04-14,2018,15
35,I Was Never There,The Weeknd Featuring Gesaffelstein,-,1,-,2018-04-14,2018,15
36,You Make It Easy,Jason Aldean,34,28,10,2018-04-14,2018,15
37,Say Something,Justin Timberlake Featuring Chris Stapleton,33,9,10,2018-04-14,2018,15
38,Feel It Still,Portugal. The Man,32,4,42,2018-04-14,2018,15
39,I Fall Apart,Post Malone,29,16,28,2018-04-14,2018,15
40,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",31,21,12,2018-04-14,2018,15
41,New Freezer,Rich The Kid Featuring Kendrick Lamar,42,10,42,2018-04-14,2018,15
42,Bad At Love,Halsey,37,5,31,2018-04-14,2018,15
