rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Shape Of You,Ed Sheeran,2,4,2,2017-02-18,2017,7
2,Bad And Boujee,Migos Featuring Lil Uzi Vert,1,1,12,2017-02-18,2017,7
3,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,5,8,5,2017-02-18,2017,7
4,Bad Things,Machine Gun Kelly x Camila Cabello,14,14,0,2017-02-18,2017,7
5,Closer,The Chainsmokers Featuring Halsey,3,1,27,2017-02-18,2017,7
6,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,7,17,7,2017-02-18,2017,7
7,Starboy,The Weeknd Featuring Daft Punk,8,1,20,2017-02-18,2017,7
8,Fake Love,Drake,9,15,9,2017-02-18,2017,7
9,Black Beatles,Rae Sremmurd Featuring Gucci Mane,6,1,21,2017-02-18,2017,7
10,Scars To Your Beautiful,Alessia Cara,23,23,0,2017-02-18,2017,7
11,Paris,The Chainsmokers,13,7,3,2017-02-18,2017,7
12,24K Magic,Bruno Mars,11,4,17,2017-02-18,2017,7
13,Side To Side,Ariana Grande Featuring Nicki Minaj,12,4,23,2017-02-18,2017,7
14,Love On The Brain,Rihanna,16,16,0,2017-02-18,2017,7
15,Bounce Back,Big Sean,13,13,0,2017-02-18,2017,7
16,I Feel It Coming,The Weeknd Featuring Daft Punk,18,11,18,2017-02-18,2017,7
17,Caroline,Amine,11,22,11,2017-02-18,2017,7
18,Let Me Love You,DJ Snake Featuring Justin Bieber,16,4,26,2017-02-18,2017,7
19,T-Shirt,Migos,37,3,37,2017-02-18,2017,7
20,All Time Low,Jon Bellion,19,16,17,2017-02-18,2017,7
21,Mercy,Shawn Mendes,17,20,17,2017-02-18,2017,7
22,Can't Stop The Feeling!,Justin Timberlake,23,1,39,2017-02-18,2017,7
23,Heathens,Twenty One Pilots,22,2,33,2017-02-18,2017,7
24,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,32,9,32,2017-02-18,2017,7
25,This Town,Niall Horan,24,20,19,2017-02-18,2017,7
26,Starving,Hailee Steinfeld & Grey Featuring Zedd,20,12,27,2017-02-18,2017,7
27,iSpy,KYLE Featuring Lil Yachty,29,6,29,2017-02-18,2017,7
28,Water Under The Bridge,Adele,26,26,13,2017-02-18,2017,7
29,Say You Won't Let Go,James Arthur,31,15,31,2017-02-18,2017,7
30,Cheap Thrills,Sia Featuring Sean Paul,27,1,51,2017-02-18,2017,7
31,Broccoli,D.R.A.M. Featuring Lil Yachty,25,5,34,2017-02-18,2017,7
32,Treat You Better,Shawn Mendes,28,6,35,2017-02-18,2017,7
33,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,30,5,19,2017-02-18,2017,7
34,Better Man,Little Big Town,35,14,35,2017-02-18,2017,7
35,Love Me Now,John Legend,33,23,15,2017-02-18,2017,7
