rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Rich Men North Of Richmond,Oliver Anthony Music,-,-,0,2023-08-26,2023,34
2,Fast Car,Luke Combs,21,21,0,2023-08-26,2023,34
3,Last Night,Morgan Wallen,1,1,29,2023-08-26,2023,34
4,Cruel Summer,Taylor Swift,3,3,15,2023-08-26,2023,34
5,Calm Down,Rema & Selena Gomez,4,3,50,2023-08-26,2023,34
6,Vampire,Olivia Rodrigo,1,7,1,2023-08-26,2023,34
7,Fukumean,Gunna,5,4,9,2023-08-26,2023,34
8,Dance The Night,Dua Lipa,7,7,12,2023-08-26,2023,34
9,Barbie World,Nicki Minaj & Ice Spice With Aqua,8,7,8,2023-08-26,2023,34
10,Bad Idea Right?,Olivia Rodrigo,-,1,-,2023-08-26,2023,34
11,Flowers,Miley Cyrus,9,1,31,2023-08-26,2023,34
12,Snooze,SZA,10,10,36,2023-08-26,2023,34
13,All My Life,Lil Durk Featuring J. Cole,11,2,14,2023-08-26,2023,34
14,Karma,Taylor Swift Featuring Ice Spice,13,2,23,2023-08-26,2023,34
15,Paint The Town Red,Doja Cat,2,2,0,2023-08-26,2023,34
16,What Was I Made For?,Billie Eilish,14,14,5,2023-08-26,2023,34
17,Need A Favor,Jelly Roll,16,14,20,2023-08-26,2023,34
18,Religiously,Bailey Zimmerman,17,17,15,2023-08-26,2023,34
19,Meltdown,Travis Scott Featuring Drake,12,3,3,2023-08-26,2023,34
20,Anti-Hero,Taylor Swift,18,1,43,2023-08-26,2023,34
21,Kill Bill,SZA,19,1,36,2023-08-26,2023,34
22,Mi Ex Tenia Razon,Karol G,-,1,-,2023-08-26,2023,34
23,Creepin',"Metro Boomin, The Weeknd & 21 Savage",20,3,37,2023-08-26,2023,34
24,Thinkin' Bout Me,Morgan Wallen,23,9,23,2023-08-26,2023,34
25,Try That In A Small Town,Jason Aldean,21,1,5,2023-08-26,2023,34
26,Cupid,Fifty Fifty,25,17,22,2023-08-26,2023,34
27,I Know ?,Travis Scott,22,11,3,2023-08-26,2023,34
28,Dial Drunk,Noah Kahan With Post Malone,30,25,9,2023-08-26,2023,34
29,Qlona,Karol G & Peso Pluma,-,1,-,2023-08-26,2023,34
30,Seven,Jung Kook Featuring Latto,28,1,5,2023-08-26,2023,34
31,Love You Anyway,Luke Combs,33,15,27,2023-08-26,2023,34
32,Favorite Song,Toosii,26,5,26,2023-08-26,2023,34
33,Ella Baila Sola,Eslabon Armado X Peso Pluma,31,4,22,2023-08-26,2023,34
34,Bury Me In Georgia,Kane Brown,36,14,36,2023-08-26,2023,34
35,Next Thing You Know,Jordan Davis,32,23,30,2023-08-26,2023,34
36,Telekinesis,Travis Scott Featuring SZA & Future,29,26,3,2023-08-26,2023,34
37,FE!N,Travis Scott Featuring Playboi Carti,24,5,3,2023-08-26,2023,34
38,Watermelon Moonshine,Lainey Wilson,39,8,39,2023-08-26,2023,34
39,La Bebe,Yng Lvcas x Peso Pluma,38,11,22,2023-08-26,2023,34
40,Search & Rescue,Drake,2,19,2,2023-08-26,2023,34
41,K-POP,"Travis Scott, Bad Bunny & The Weeknd",27,7,4,2023-08-26,2023,34
42,Chemical,Post Malone,35,13,18,2023-08-26,2023,34
43,Put It On Da Floor Again,Latto Featuring Cardi B,41,13,11,2023-08-26,2023,34
44,LaLa,Myke Towers,43,43,6,2023-08-26,2023,34
45,S91,Karol G,-,3,-,2023-08-26,2023,34
46,Blank Space,Taylor Swift,49,1,38,2023-08-26,2023,34
47,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",35,8,35,2023-08-26,2023,34
48,What It Is (Block Boy),Doechii Featuring Kodak Black,50,15,50,2023-08-26,2023,34
49,Daylight,David Kushner,45,45,18,2023-08-26,2023,34
50,"You, Me, & Whiskey",Justin Moore & Priscilla Block,37,37,15,2023-08-26,2023,34
51,Un x100to,Grupo Frontera X Bad Bunny,42,5,18,2023-08-26,2023,34
52,Supposed To Be Loved,"DJ Khaled, Lil Baby, Future & Lil Uzi Vert",-,1,-,2023-08-26,2023,34
53,White Horse,Chris Stapleton,59,31,4,2023-08-26,2023,34
54,Peaches & Eggplants,Young Nudy Featuring 21 Savage,52,11,52,2023-08-26,2023,34
55,The Painter,Cody Johnson,-,1,-,2023-08-26,2023,34
56,Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",48,48,13,2023-08-26,2023,34
57,Where She Goes,Bad Bunny,52,8,13,2023-08-26,2023,34
58,Your Heart Or Mine,Jon Pardi,53,14,53,2023-08-26,2023,34
59,Deli,Ice Spice,51,41,4,2023-08-26,2023,34
60,Princess Diana,Ice Spice & Nicki Minaj,53,4,18,2023-08-26,2023,34
