rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Stay,The Kid LAROI & Justin Bieber,6,10,6,2021-09-25,2021,38
2,Way 2 Sexy,Drake Featuring Future & Young Thug,1,1,1,2021-09-25,2021,38
3,Bad Habits,Ed Sheeran,13,2,12,2021-09-25,2021,38
4,Knife Talk,Drake Featuring 21 Savage & Project Pat,5,2,5,2021-09-25,2021,38
5,Fancy Like,Walker Hayes,21,13,21,2021-09-25,2021,38
6,Industry Baby,Lil Nas X & Jack Harlow,20,2,8,2021-09-25,2021,38
7,Good 4 U,Olivia Rodrigo,15,1,18,2021-09-25,2021,38
8,Kiss Me More,Doja Cat Featuring SZA,19,3,23,2021-09-25,2021,38
9,Levitating,Dua Lipa,23,2,50,2021-09-25,2021,38
10,Girls Want Girls,Drake Featuring Lil Baby,2,2,2,2021-09-25,2021,38
11,Fair Trade,Drake Featuring Travis Scott,3,3,2,2021-09-25,2021,38
12,Save Your Tears,The Weeknd & Ariana Grande,28,1,40,2021-09-25,2021,38
13,Montero (Call Me By Your Name),Lil Nas X,30,1,25,2021-09-25,2021,38
14,Butter,BTS,17,1,17,2021-09-25,2021,38
15,Heat Waves,Glass Animals,33,35,33,2021-09-25,2021,38
16,Shivers,Ed Sheeran,-,1,-,2021-09-25,2021,38
17,Essence,Wizkid Featuring Justin Bieber & Tems,34,13,11,2021-09-25,2021,38
18,You Right,Doja Cat & The Weeknd,36,11,12,2021-09-25,2021,38
19,Champagne Poetry,Drake,4,4,2,2021-09-25,2021,38
20,Deja Vu,Olivia Rodrigo,31,3,24,2021-09-25,2021,38
21,Need To Know,Doja Cat,38,14,14,2021-09-25,2021,38
22,No Friends In The Industry,Drake,11,11,2,2021-09-25,2021,38
23,Take My Breath,The Weeknd,37,6,6,2021-09-25,2021,38
24,If I Didn't Love You,Jason Aldean & Carrie Underwood,43,15,8,2021-09-25,2021,38
25,Family Ties,Baby Keem & Kendrick Lamar,44,18,3,2021-09-25,2021,38
26,Hurricane,Kanye West,29,6,3,2021-09-25,2021,38
27,TSU,Drake,9,9,2,2021-09-25,2021,38
28,Have Mercy,Chloe,-,1,-,2021-09-25,2021,38
29,In The Bible,Drake Featuring Lil Durk & Giveon,7,7,2,2021-09-25,2021,38
30,Beggin',Maneskin,39,29,12,2021-09-25,2021,38
31,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),46,1,28,2021-09-25,2021,38
32,Leave Before You Love Me,Marshmello X Jonas Brothers,40,19,17,2021-09-25,2021,38
33,N 2 Deep,Drake Featuring Future,12,12,2,2021-09-25,2021,38
34,Pepas,Farruko,45,26,8,2021-09-25,2021,38
35,Love All,Drake Featuring JAY-Z,10,10,2,2021-09-25,2021,38
36,Happier Than Ever,Billie Eilish,42,11,7,2021-09-25,2021,38
37,Traitor,Olivia Rodrigo,49,9,17,2021-09-25,2021,38
38,Things A Man Oughta Know,Lainey Wilson,51,32,18,2021-09-25,2021,38
39,Chasing After You,Ryan Hurd With Maren Morris,53,34,20,2021-09-25,2021,38
40,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,47,1,26,2021-09-25,2021,38
41,Papi's Home,Drake,8,8,2,2021-09-25,2021,38
42,Arcade,Duncan Laurence,54,30,23,2021-09-25,2021,38
43,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,56,11,56,2021-09-25,2021,38
44,Rumors,Lizzo Featuring Cardi B,55,4,5,2021-09-25,2021,38
45,Pipe Down,Drake,14,14,2,2021-09-25,2021,38
46,A-O-K,Tai Verdes,60,11,60,2021-09-25,2021,38
47,Country Again,Thomas Rhett,52,42,20,2021-09-25,2021,38
48,Thot Shit,Megan Thee Stallion,57,16,14,2021-09-25,2021,38
49,Late At Night,Roddy Ricch,59,20,15,2021-09-25,2021,38
50,Wockesha,Moneybagg Yo,62,33,21,2021-09-25,2021,38
51,Buy Dirt,Jordan Davis Featuring Luke Bryan,74,6,74,2021-09-25,2021,38
52,Waves,Luke Bryan,48,24,13,2021-09-25,2021,38
53,Range Brothers,Baby Keem & Kendrick Lamar,-,1,-,2021-09-25,2021,38
54,Race My Mind,Drake,18,18,2,2021-09-25,2021,38
55,Love Again,Dua Lipa,69,54,9,2021-09-25,2021,38
56,I Was On A Boat That Day,Old Dominion,61,11,61,2021-09-25,2021,38
57,7am On Bridle Path,Drake,16,16,2,2021-09-25,2021,38
58,Moon,Kanye West,50,17,3,2021-09-25,2021,38
59,Wild Side,Normani Featuring Cardi B,83,14,9,2021-09-25,2021,38
60,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,64,20,20,2021-09-25,2021,38
61,Whole Lotta Money,BIA Featuring Nicki Minaj,68,16,10,2021-09-25,2021,38
62,Memory I Don't Mess With,Lee Brice,70,8,70,2021-09-25,2021,38
63,Life Support,YoungBoy Never Broke Again,-,1,-,2021-09-25,2021,38
64,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,-,1,-,2021-09-25,2021,38
65,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,63,22,3,2021-09-25,2021,38
66,2055,Sleepy Hallow,75,51,9,2021-09-25,2021,38
67,Woman,Doja Cat,80,7,80,2021-09-25,2021,38
68,Lonely,DaBaby X Lil Wayne,-,1,-,2021-09-25,2021,38
69,You Time,Scotty McCreery,72,7,72,2021-09-25,2021,38
70,Gyalis,Capella Grey,82,7,82,2021-09-25,2021,38
71,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),67,14,7,2021-09-25,2021,38
72,IMY2,Drake Featuring Kid Cudi,22,22,2,2021-09-25,2021,38
73,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,79,53,21,2021-09-25,2021,38
74,My Boy,Elvie Shane,89,70,12,2021-09-25,2021,38
75,Off The Grid,Kanye West,41,11,3,2021-09-25,2021,38
76,Yebba's Heartbreak,Drake & Yebba,24,24,2,2021-09-25,2021,38
77,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,71,24,16,2021-09-25,2021,38
78,Get Along Better,Drake Featuring Ty Dolla $ign,27,27,2,2021-09-25,2021,38
79,Cold As You,Luke Combs,76,76,7,2021-09-25,2021,38
80,Volvi,Aventura x Bad Bunny,77,22,7,2021-09-25,2021,38
81,Memory,Kane Brown X blackbear,86,50,10,2021-09-25,2021,38
82,Todo de Ti,Rauw Alejandro,73,32,16,2021-09-25,2021,38
83,You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,25,25,2,2021-09-25,2021,38
84,Lalisa,LISA,-,1,-,2021-09-25,2021,38
85,Get Into It (Yuh),Doja Cat,88,68,6,2021-09-25,2021,38
86,Fountains,Drake Featuring Tems,26,26,2,2021-09-25,2021,38
87,Yonaguni,Bad Bunny,84,10,15,2021-09-25,2021,38
88,Don't Go Yet,Camila Cabello,93,42,8,2021-09-25,2021,38
89,Single Saturday Night,Cole Swindell,90,26,20,2021-09-25,2021,38
90,In Da Getto,J Balvin & Skrillex,-,2,-,2021-09-25,2021,38
91,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,94,5,94,2021-09-25,2021,38
92,You Should Probably Leave,Chris Stapleton,63,11,63,2021-09-25,2021,38
93,Summer Of Love,Shawn Mendes & Tainy,96,48,4,2021-09-25,2021,38
94,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",100,80,7,2021-09-25,2021,38
95,Come Through,H.E.R. Featuring Chris Brown,-,64,14,2021-09-25,2021,38
96,We Didn't Have Much,Justin Moore,81,41,13,2021-09-25,2021,38
97,Ain't Shit,Doja Cat,24,12,24,2021-09-25,2021,38
98,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,81,2,2021-09-25,2021,38
99,Jail,Kanye West,58,10,3,2021-09-25,2021,38
100,Knowing You,Kenny Chesney,-,87,5,2021-09-25,2021,38
1,Stay,The Kid LAROI & Justin Bieber,11,11,0,2021-10-02,2021,39
2,Industry Baby,Lil Nas X & Jack Harlow,6,9,6,2021-10-02,2021,39
3,Way 2 Sexy,Drake Featuring Future & Young Thug,2,1,2,2021-10-02,2021,39
4,Bad Habits,Ed Sheeran,3,2,13,2021-10-02,2021,39
5,Fancy Like,Walker Hayes,14,14,0,2021-10-02,2021,39
6,Good 4 U,Olivia Rodrigo,7,1,19,2021-10-02,2021,39
7,Kiss Me More,Doja Cat Featuring SZA,8,3,24,2021-10-02,2021,39
8,Knife Talk,Drake Featuring 21 Savage & Project Pat,4,4,3,2021-10-02,2021,39
9,Montero (Call Me By Your Name),Lil Nas X,13,1,26,2021-10-02,2021,39
10,Thats What I Want,Lil Nas X,-,1,-,2021-10-02,2021,39
11,Levitating,Dua Lipa,9,2,51,2021-10-02,2021,39
12,Save Your Tears,The Weeknd & Ariana Grande,1,41,1,2021-10-02,2021,39
13,Girls Want Girls,Drake Featuring Lil Baby,10,2,3,2021-10-02,2021,39
14,Essence,Wizkid Featuring Justin Bieber & Tems,17,13,12,2021-10-02,2021,39
15,Fair Trade,Drake Featuring Travis Scott,11,3,3,2021-10-02,2021,39
16,Heat Waves,Glass Animals,15,15,36,2021-10-02,2021,39
17,Shivers,Ed Sheeran,16,16,2,2021-10-02,2021,39
18,Need To Know,Doja Cat,21,14,15,2021-10-02,2021,39
19,You Right,Doja Cat & The Weeknd,18,11,13,2021-10-02,2021,39
20,Beggin',Maneskin,30,13,30,2021-10-02,2021,39
21,Take My Breath,The Weeknd,23,6,7,2021-10-02,2021,39
22,If I Didn't Love You,Jason Aldean & Carrie Underwood,24,15,9,2021-10-02,2021,39
23,Deja Vu,Olivia Rodrigo,20,3,25,2021-10-02,2021,39
24,Butter,BTS,14,1,18,2021-10-02,2021,39
25,Traitor,Olivia Rodrigo,37,9,18,2021-10-02,2021,39
26,Leave Before You Love Me,Marshmello X Jonas Brothers,32,19,18,2021-10-02,2021,39
27,Pepas,Farruko,34,26,9,2021-10-02,2021,39
28,Happier Than Ever,Billie Eilish,36,11,8,2021-10-02,2021,39
29,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,43,12,43,2021-10-02,2021,39
30,Champagne Poetry,Drake,19,4,3,2021-10-02,2021,39
31,Hurricane,Kanye West,26,6,4,2021-10-02,2021,39
32,Chasing After You,Ryan Hurd With Maren Morris,39,21,39,2021-10-02,2021,39
33,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),31,1,29,2021-10-02,2021,39
34,Things A Man Oughta Know,Lainey Wilson,38,32,19,2021-10-02,2021,39
35,Wockesha,Moneybagg Yo,50,33,22,2021-10-02,2021,39
36,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,40,1,27,2021-10-02,2021,39
37,Wildest Dreams (Taylor's Version),Taylor Swift,-,1,-,2021-10-02,2021,39
38,Family Ties,Baby Keem & Kendrick Lamar,25,18,4,2021-10-02,2021,39
39,A-O-K,Tai Verdes,46,12,46,2021-10-02,2021,39
40,No Friends In The Industry,Drake,22,11,3,2021-10-02,2021,39
41,Arcade,Duncan Laurence,42,30,24,2021-10-02,2021,39
42,Scoop,Lil Nas X Featuring Doja Cat,-,1,-,2021-10-02,2021,39
43,In The Bible,Drake Featuring Lil Durk & Giveon,29,7,3,2021-10-02,2021,39
44,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,64,2,64,2021-10-02,2021,39
45,Late At Night,Roddy Ricch,49,20,16,2021-10-02,2021,39
46,Rumors,Lizzo Featuring Cardi B,44,4,6,2021-10-02,2021,39
47,Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,-,1,-,2021-10-02,2021,39
48,TSU,Drake,27,9,3,2021-10-02,2021,39
49,Thot Shit,Megan Thee Stallion,48,16,15,2021-10-02,2021,39
50,You Time,Scotty McCreery,69,8,69,2021-10-02,2021,39
51,Love Again,Dua Lipa,55,10,55,2021-10-02,2021,39
52,Wild Side,Normani Featuring Cardi B,59,14,10,2021-10-02,2021,39
