rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,We Can't Be Friends (Wait For Your Love),Ariana Grande,-,-,0,2024-03-23,2024,12
2,Lose Control,Teddy Swims,31,31,0,2024-03-23,2024,12
3,Beautiful Things,Benson Boone,4,8,4,2024-03-23,2024,12
4,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,1,1,5,2024-03-23,2024,12
5,Lovin On Me,Jack Harlow,3,1,18,2024-03-23,2024,12
6,Texas Hold 'Em,Beyonce,5,1,5,2024-03-23,2024,12
7,Act II: Date @ 8,4batz Featuring Drake,61,10,61,2024-03-23,2024,12
8,Greedy,Tate McRae,6,3,26,2024-03-23,2024,12
9,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,7,1,29,2024-03-23,2024,12
10,"Yes, And?",Ariana Grande,31,1,9,2024-03-23,2024,12
11,Snooze,SZA,8,2,65,2024-03-23,2024,12
12,Agora Hills,Doja Cat,9,7,25,2024-03-23,2024,12
13,Cruel Summer,Taylor Swift,10,1,45,2024-03-23,2024,12
14,Saturn,SZA,13,6,3,2024-03-23,2024,12
15,Stick Season,Noah Kahan,11,10,24,2024-03-23,2024,12
16,The Boy Is Mine,Ariana Grande,-,1,-,2024-03-23,2024,12
17,Supernatural,Ariana Grande,-,1,-,2024-03-23,2024,12
18,Last Night,Morgan Wallen,15,1,59,2024-03-23,2024,12
19,Water,Tyla,17,7,24,2024-03-23,2024,12
20,Fast Car,Luke Combs,14,2,51,2024-03-23,2024,12
21,End Of Beginning,Djo,23,4,23,2024-03-23,2024,12
22,Redrum,21 Savage,12,5,9,2024-03-23,2024,12
23,Eternal Sunshine,Ariana Grande,-,1,-,2024-03-23,2024,12
24,Whatever She Wants,Bryson Tiller,19,19,4,2024-03-23,2024,12
25,Bye,Ariana Grande,-,1,-,2024-03-23,2024,12
26,Thinkin' Bout Me,Morgan Wallen,18,7,54,2024-03-23,2024,12
27,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,16,1,20,2024-03-23,2024,12
28,Don't Wanna Break Up Again,Ariana Grande,-,1,-,2024-03-23,2024,12
29,Made For Me,Muni Long,20,20,9,2024-03-23,2024,12
30,True Story,Ariana Grande,-,1,-,2024-03-23,2024,12
31,Houdini,Dua Lipa,22,11,18,2024-03-23,2024,12
32,Paint The Town Red,Doja Cat,25,1,25,2024-03-23,2024,12
33,Feather,Sabrina Carpenter,28,28,15,2024-03-23,2024,12
34,Never Lose Me,Flo Milli,27,18,13,2024-03-23,2024,12
35,What Was I Made For?,Billie Eilish,34,14,34,2024-03-23,2024,12
36,Truck Bed,HARDY,29,29,39,2024-03-23,2024,12
37,Imperfect For You,Ariana Grande,-,1,-,2024-03-23,2024,12
38,Intro (End Of The World),Ariana Grande,-,1,-,2024-03-23,2024,12
39,I Wish I Hated You,Ariana Grande,-,1,-,2024-03-23,2024,12
40,Selfish,Justin Timberlake,32,19,7,2024-03-23,2024,12
41,Yeah Glo!,GloRilla,49,5,49,2024-03-23,2024,12
42,Pretty Little Poison,Warren Zeiders,24,19,27,2024-03-23,2024,12
43,Wild Ones,Jessie Murph & Jelly Roll,35,35,23,2024-03-23,2024,12
44,La Diabla,Xavi,33,20,13,2024-03-23,2024,12
45,Save Me,Jelly Roll With Lainey Wilson,36,19,36,2024-03-23,2024,12
46,Where The Wild Things Are,Luke Combs,26,26,17,2024-03-23,2024,12
47,Exes,Tate McRae,42,34,17,2024-03-23,2024,12
48,Vampire,Olivia Rodrigo,37,1,34,2024-03-23,2024,12
49,The Painter,Cody Johnson,30,25,23,2024-03-23,2024,12
50,FE!N,Travis Scott Featuring Playboi Carti,48,5,20,2024-03-23,2024,12
51,Man Made A Bar,Morgan Wallen Featuring Eric Church,44,15,25,2024-03-23,2024,12
52,23,Chayce Beckham,57,11,57,2024-03-23,2024,12
53,Burn It Down,Parker McCollum,43,43,21,2024-03-23,2024,12
54,I Can Feel It,Kane Brown,50,50,11,2024-03-23,2024,12
55,Ordinary Things,Ariana Grande Featuring Nonna,-,1,-,2024-03-23,2024,12
56,Wildflowers And Wild Horses,Lainey Wilson,65,7,65,2024-03-23,2024,12
57,Praise Jah In The Moonlight,YG Marley,39,34,7,2024-03-23,2024,12
58,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,55,11,55,2024-03-23,2024,12
59,Everybody,Nicki Minaj Featuring Lil Uzi Vert,47,24,14,2024-03-23,2024,12
60,World On Fire,Nate Smith,51,21,20,2024-03-23,2024,12
61,Surround Sound,JID Featuring 21 Savage & Baby Tate,46,40,18,2024-03-23,2024,12
62,Soak City,310babii,56,56,13,2024-03-23,2024,12
63,Get In With Me,BossMan Dlow,53,49,6,2024-03-23,2024,12
64,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",55,51,12,2024-03-23,2024,12
65,Breathe,Yeat,52,42,4,2024-03-23,2024,12
66,You Broke My Heart,Drake,54,11,17,2024-03-23,2024,12
67,Scared To Start,Michael Marcagi,69,4,69,2024-03-23,2024,12
68,Training Season,Dua Lipa,59,27,4,2024-03-23,2024,12
69,Murder On The Dancefloor,Sophie Ellis-Bextor,67,51,11,2024-03-23,2024,12
70,One Call,Rich Amiri,60,60,7,2024-03-23,2024,12
71,FTCU,Nicki Minaj,63,15,14,2024-03-23,2024,12
72,Sensational,Chris Brown Featuring Davido & Lojay,71,71,6,2024-03-23,2024,12
73,Where It Ends,Bailey Zimmerman,76,32,11,2024-03-23,2024,12
74,Austin,Dasha,-,1,-,2024-03-23,2024,12
75,Tu Name,Fuerza Regida,66,66,4,2024-03-23,2024,12
76,La Victima,Xavi,62,46,13,2024-03-23,2024,12
77,Spin You Around (1/24),Morgan Wallen,68,24,7,2024-03-23,2024,12
