rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Lovin On Me,Jack Harlow,9,8,9,2024-01-13,2024,2
2,Cruel Summer,Taylor Swift,19,1,35,2024-01-13,2024,2
3,Greedy,Tate McRae,24,16,24,2024-01-13,2024,2
4,Paint The Town Red,Doja Cat,29,1,22,2024-01-13,2024,2
5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,31,1,19,2024-01-13,2024,2
6,Snooze,SZA,-,2,55,2024-01-13,2024,2
7,Water,Tyla,32,14,32,2024-01-13,2024,2
8,Last Night,Morgan Wallen,36,1,49,2024-01-13,2024,2
9,Fast Car,Luke Combs,47,2,41,2024-01-13,2024,2
10,Agora Hills,Doja Cat,35,15,35,2024-01-13,2024,2
11,Thinkin' Bout Me,Morgan Wallen,44,7,44,2024-01-13,2024,2
12,Lose Control,Teddy Swims,48,21,48,2024-01-13,2024,2
13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,49,1,10,2024-01-13,2024,2
14,Lil Boo Thang,Paul Russell,51,16,51,2024-01-13,2024,2
15,Flowers,Miley Cyrus,-,1,46,2024-01-13,2024,2
16,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,52,11,13,2024-01-13,2024,2
17,FTCU,Nicki Minaj,53,4,53,2024-01-13,2024,2
18,White Horse,Chris Stapleton,56,12,24,2024-01-13,2024,2
19,Stick Season,Noah Kahan,54,14,54,2024-01-13,2024,2
20,What Was I Made For?,Billie Eilish,-,14,24,2024-01-13,2024,2
21,Vampire,Olivia Rodrigo,-,1,24,2024-01-13,2024,2
22,Need A Favor,Jelly Roll,-,13,38,2024-01-13,2024,2
23,Dance The Night,Dua Lipa,-,6,27,2024-01-13,2024,2
24,Fukumean,Gunna,-,4,27,2024-01-13,2024,2
25,World On Fire,Nate Smith,61,10,61,2024-01-13,2024,2
26,Houdini,Dua Lipa,59,11,8,2024-01-13,2024,2
27,Everybody,Nicki Minaj Featuring Lil Uzi Vert,55,26,4,2024-01-13,2024,2
28,Save Me,Jelly Roll With Lainey Wilson,-,19,26,2024-01-13,2024,2
29,First Person Shooter,Drake Featuring J. Cole,57,1,13,2024-01-13,2024,2
30,Used To Be Young,Miley Cyrus,58,8,19,2024-01-13,2024,2
31,Kill Bill,SZA,-,1,51,2024-01-13,2024,2
32,Good Good,"Usher, Summer Walker & 21 Savage",60,25,21,2024-01-13,2024,2
33,Pretty Little Poison,Warren Zeiders,63,17,63,2024-01-13,2024,2
34,La Diabla,Xavi,62,3,62,2024-01-13,2024,2
35,On My Mama,Victoria Monet,64,16,64,2024-01-13,2024,2
36,Truck Bed,HARDY,76,29,76,2024-01-13,2024,2
37,My Love Mine All Mine,Mitski,65,26,15,2024-01-13,2024,2
38,Save Me The Trouble,Dan + Shay,77,10,77,2024-01-13,2024,2
39,Exes,Tate McRae,66,34,7,2024-01-13,2024,2
40,I Know ?,Travis Scott,-,11,21,2024-01-13,2024,2
41,Wild Ones,Jessie Murph & Jelly Roll,74,13,74,2024-01-13,2024,2
42,Strangers,Kenya Grace,69,16,69,2024-01-13,2024,2
43,Monaco,Bad Bunny,68,5,12,2024-01-13,2024,2
44,Surround Sound,JID Featuring 21 Savage & Baby Tate,67,8,67,2024-01-13,2024,2
45,The Painter,Cody Johnson,84,13,84,2024-01-13,2024,2
46,Get Him Back!,Olivia Rodrigo,71,11,17,2024-01-13,2024,2
47,Never Lose Me,Flo Milli,85,3,85,2024-01-13,2024,2
48,Dial Drunk,Noah Kahan With Post Malone,-,25,24,2024-01-13,2024,2
49,Where The Wild Things Are,Luke Combs,80,7,80,2024-01-13,2024,2
50,You Broke My Heart,Drake,70,11,7,2024-01-13,2024,2
51,IDGAF,Drake Featuring Yeat,72,2,13,2024-01-13,2024,2
52,Harley Quinn,Fuerza Regida & Marshmello,73,40,9,2024-01-13,2024,2
53,Burn It Down,Parker McCollum,86,11,86,2024-01-13,2024,2
54,Bellakeo,Peso Pluma & Anitta,75,3,75,2024-01-13,2024,2
55,La Victima,Xavi,79,3,79,2024-01-13,2024,2
56,Feather,Sabrina Carpenter,94,5,94,2024-01-13,2024,2
57,500lbs,Lil Tecca,83,51,15,2024-01-13,2024,2
58,Qlona,Karol G & Peso Pluma,81,28,21,2024-01-13,2024,2
59,I Can Feel It,Kane Brown,-,1,-,2024-01-13,2024,2
60,Hey Driver,Zach Bryan Featuring The War And Treaty,93,14,19,2024-01-13,2024,2
61,You're Losing Me (From The Vault),Taylor Swift,82,27,6,2024-01-13,2024,2
62,Mind On You,George Birge,91,3,91,2024-01-13,2024,2
63,Can't Catch Me Now,Olivia Rodrigo,95,56,9,2024-01-13,2024,2
64,Different 'Round Here,Riley Green Featuring Luke Combs,-,5,-,2024-01-13,2024,2
65,Segun Quien,Maluma & Carin Leon,88,14,88,2024-01-13,2024,2
66,Man Made A Bar,Morgan Wallen Featuring Eric Church,98,15,15,2024-01-13,2024,2
67,El Amor de Su Vida,Grupo Frontera & Grupo Firme,96,17,96,2024-01-13,2024,2
68,Soak City,310babii,-,3,-,2024-01-13,2024,2
69,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",-,2,-,2024-01-13,2024,2
70,Standing Next To You,Jung Kook,97,5,9,2024-01-13,2024,2
71,23,Chayce Beckham,-,1,-,2024-01-13,2024,2
72,Perro Negro,Bad Bunny & Feid,-,20,9,2024-01-13,2024,2
73,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,-,3,-,2024-01-13,2024,2
74,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,99,61,14,2024-01-13,2024,2
75,Oklahoma Smokeshow,Zach Bryan,-,11,-,2024-01-13,2024,2
76,Wondering Why,The Red Clay Strays,-,2,-,2024-01-13,2024,2
77,Mmhmm,BigXthaPlug,-,2,-,2024-01-13,2024,2
78,Great Gatsby,Rod Wave,100,30,15,2024-01-13,2024,2
79,FE!N,Travis Scott Featuring Playboi Carti,-,5,10,2024-01-13,2024,2
80,Bad Idea Right?,Olivia Rodrigo,-,7,18,2024-01-13,2024,2
81,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",-,1,-,2024-01-13,2024,2
82,Can't Have Mine,Dylan Scott,-,57,12,2024-01-13,2024,2
83,Needle,Nicki Minaj Featuring Drake,89,34,4,2024-01-13,2024,2
84,Virginia Beach,Drake,-,3,11,2024-01-13,2024,2
85,Rich Men North Of Richmond,Oliver Anthony Music,-,1,18,2024-01-13,2024,2
86,Northern Attitude,Noah Kahan With Hozier,-,37,5,2024-01-13,2024,2
87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,-,2,7,2024-01-13,2024,2
88,Lace It,"Juice WRLD, Eminem & benny blanco",92,85,3,2024-01-13,2024,2
89,Mi Ex Tenia Razon,Karol G,-,22,15,2024-01-13,2024,2
90,Run For The Hills,Tate McRae,-,69,3,2024-01-13,2024,2
91,Slime You Out,Drake Featuring SZA,-,1,13,2024-01-13,2024,2
92,Better Place,*NSYNC,-,25,5,2024-01-13,2024,2
93,"Burn, Burn, Burn",Zach Bryan,-,3,-,2024-01-13,2024,2
94,My Eyes,Travis Scott,-,19,5,2024-01-13,2024,2
95,Turks & Caicos,Rod Wave Featuring 21 Savage,-,24,13,2024-01-13,2024,2
96,Tourniquet,Zach Bryan,-,20,9,2024-01-13,2024,2
97,Y Lloro,Junior H,-,2,-,2024-01-13,2024,2
98,Murder On The Dancefloor,Sophie Ellis-Bextor,-,1,-,2024-01-13,2024,2
99,Amargura,Karol G,-,85,6,2024-01-13,2024,2
100,Wildflowers And Wild Horses,Lainey Wilson,-,1,-,2024-01-13,2024,2
1,Lovin On Me,Jack Harlow,9,9,0,2024-01-20,2024,3
2,Cruel Summer,Taylor Swift,1,36,1,2024-01-20,2024,3
3,Greedy,Tate McRae,17,17,0,2024-01-20,2024,3
4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,5,1,20,2024-01-20,2024,3
5,Paint The Town Red,Doja Cat,4,1,23,2024-01-20,2024,3
6,Snooze,SZA,2,56,2,2024-01-20,2024,3
7,Water,Tyla,15,15,0,2024-01-20,2024,3
8,Lose Control,Teddy Swims,12,22,12,2024-01-20,2024,3
9,Agora Hills,Doja Cat,10,16,10,2024-01-20,2024,3
