rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,As It Was,Harry Styles,22,22,0,2022-09-10,2022,36
2,Bad Habit,Steve Lacy,3,9,3,2022-09-10,2022,36
3,About Damn Time,Lizzo,2,1,20,2022-09-10,2022,36
4,Running Up That Hill (A Deal With God),Kate Bush,3,34,3,2022-09-10,2022,36
5,Sunroof,Nicky Youre & dazy,6,14,6,2022-09-10,2022,36
6,Hold Me Closer,Elton John & Britney Spears,-,1,-,2022-09-10,2022,36
7,Super Freaky Girl,Nicki Minaj,1,3,1,2022-09-10,2022,36
8,I Like You (A Happier Song),Post Malone Featuring Doja Cat,10,13,10,2022-09-10,2022,36
9,Break My Soul,Beyonce,5,1,11,2022-09-10,2022,36
10,Wait For U,Future Featuring Drake & Tems,8,1,18,2022-09-10,2022,36
11,Me Porto Bonito,Bad Bunny & Chencho Corleone,9,6,17,2022-09-10,2022,36
12,Late Night Talking,Harry Styles,11,4,15,2022-09-10,2022,36
13,You Proof,Morgan Wallen,6,16,6,2022-09-10,2022,36
14,I Ain't Worried,OneRepublic,12,12,12,2022-09-10,2022,36
15,The Kind Of Love We Make,Luke Combs,13,11,13,2022-09-10,2022,36
16,Titi Me Pregunto,Bad Bunny,14,5,17,2022-09-10,2022,36
17,God Did,"DJ Khaled Featuring Rick Ross, Lil Wayne, JAY-Z, John Legend & Fridayy",-,1,-,2022-09-10,2022,36
18,First Class,Jack Harlow,16,1,21,2022-09-10,2022,36
19,Heat Waves,Glass Animals,17,1,85,2022-09-10,2022,36
20,Wasted On You,Morgan Wallen,19,9,42,2022-09-10,2022,36
21,Staying Alive,DJ Khaled Featuring Drake & Lil Baby,27,5,4,2022-09-10,2022,36
22,She Had Me At Heads Carolina,Cole Swindell,18,18,14,2022-09-10,2022,36
23,Jimmy Cooks,Drake Featuring 21 Savage,20,1,11,2022-09-10,2022,36
24,Stay,The Kid LAROI & Justin Bieber,21,1,60,2022-09-10,2022,36
25,Vegas,Doja Cat,23,23,13,2022-09-10,2022,36
26,Glimpse Of Us,Joji,8,12,8,2022-09-10,2022,36
27,Last Night Lonely,Jon Pardi,34,14,34,2022-09-10,2022,36
28,5 Foot 9,Tyler Hubbard,24,24,12,2022-09-10,2022,36
29,Beautiful,DJ Khaled Featuring Future & SZA,-,1,-,2022-09-10,2022,36
30,Moscow Mule,Bad Bunny,25,4,17,2022-09-10,2022,36
31,Big Time,DJ Khaled Featuring Future & Lil Baby,-,1,-,2022-09-10,2022,36
32,Big Energy,Latto,28,3,45,2022-09-10,2022,36
33,Betty (Get Money),Yung Gravy,39,8,39,2022-09-10,2022,36
34,Ghost,Justin Bieber,30,5,49,2022-09-10,2022,36
35,Shivers,Ed Sheeran,31,4,51,2022-09-10,2022,36
36,Beat The Odds,Lil Tjay,-,1,-,2022-09-10,2022,36
37,Gatubela,Karol G x Maldy,-,1,-,2022-09-10,2022,36
38,Rock And A Hard Place,Bailey Zimmerman,29,24,12,2022-09-10,2022,36
39,Efecto,Bad Bunny,35,34,17,2022-09-10,2022,36
40,In A Minute,Lil Baby,33,14,21,2022-09-10,2022,36
41,Cold Heart (PNAU Remix),Elton John & Dua Lipa,36,7,52,2022-09-10,2022,36
42,Something In The Orange,Zach Bryan,30,19,30,2022-09-10,2022,36
43,Son Of A Sinner,Jelly Roll,40,40,9,2022-09-10,2022,36
44,Numb,Marshmello & Khalid,45,9,45,2022-09-10,2022,36
45,Fall In Love,Bailey Zimmerman,38,31,18,2022-09-10,2022,36
46,Provenza,Karol G,43,25,19,2022-09-10,2022,36
47,Left And Right,Charlie Puth Featuring Jung Kook,44,22,10,2022-09-10,2022,36
48,Numb Little Bug,Em Beihold,41,18,31,2022-09-10,2022,36
49,Use This Gospel (Remix),DJ Khaled Featuring Kanye West & Eminem,-,1,-,2022-09-10,2022,36
50,Unstoppable,Sia,55,9,55,2022-09-10,2022,36
51,Wishful Drinking,Ingrid Andress With Sam Hunt,62,9,62,2022-09-10,2022,36
52,Like I Love Country Music,Kane Brown,37,26,15,2022-09-10,2022,36
53,Pink Venom,BLACKPINK,22,22,2,2022-09-10,2022,36
