rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Girls Like You,Maroon 5 Featuring Cardi B,23,23,0,2018-11-10,2018,45
2,Sicko Mode,Travis Scott,13,13,0,2018-11-10,2018,45
3,Happier,Marshmello & Bastille,4,11,4,2018-11-10,2018,45
4,Lucid Dreams,Juice WRLD,3,2,25,2018-11-10,2018,45
5,Better Now,Post Malone,3,27,3,2018-11-10,2018,45
6,ZEZE,Kodak Black Featuring Travis Scott & Offset,2,3,2,2018-11-10,2018,45
7,Youngblood,5 Seconds Of Summer,22,22,0,2018-11-10,2018,45
8,Drip Too Hard,Lil Baby & Gunna,4,7,4,2018-11-10,2018,45
9,Without Me,Halsey,12,4,12,2018-11-10,2018,45
10,Mo Bamba,Sheck Wes,16,16,0,2018-11-10,2018,45
11,High Hopes,Panic! At The Disco,21,13,21,2018-11-10,2018,45
12,Love Lies,Khalid & Normani,10,9,37,2018-11-10,2018,45
13,Money,Cardi B,54,2,54,2018-11-10,2018,45
14,Natural,Imagine Dragons,15,13,15,2018-11-10,2018,45
15,MIA,Bad Bunny Featuring Drake,13,5,3,2018-11-10,2018,45
16,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",11,11,5,2018-11-10,2018,45
17,Trip,Ella Mai,18,11,13,2018-11-10,2018,45
18,Eastside,"benny blanco, Halsey & Khalid",20,16,20,2018-11-10,2018,45
19,I Like It,"Cardi B, Bad Bunny & J Balvin",17,1,30,2018-11-10,2018,45
20,God Is A Woman,Ariana Grande,24,8,16,2018-11-10,2018,45
21,Shallow,Lady Gaga & Bradley Cooper,14,5,5,2018-11-10,2018,45
22,Taste,Tyga Featuring Offset,19,8,23,2018-11-10,2018,45
23,In My Feelings,Drake,1,18,1,2018-11-10,2018,45
24,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,9,9,2,2018-11-10,2018,45
25,Nonstop,Drake,22,2,18,2018-11-10,2018,45
26,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,39,7,39,2018-11-10,2018,45
27,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,25,3,15,2018-11-10,2018,45
28,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,-,1,-,2018-11-10,2018,45
29,Broken,lovelytheband,30,16,30,2018-11-10,2018,45
30,Yes Indeed,Lil Baby & Drake,27,6,25,2018-11-10,2018,45
31,Thriller,Michael Jackson,-,4,18,2018-11-10,2018,45
32,Breathin,Ariana Grande,41,22,11,2018-11-10,2018,45
33,Beautiful,Bazzi Featuring Camila Cabello,31,31,13,2018-11-10,2018,45
34,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",29,16,22,2018-11-10,2018,45
35,Back To You,Selena Gomez,28,18,25,2018-11-10,2018,45
36,Uproar,Lil Wayne,33,7,5,2018-11-10,2018,45
37,She Got The Best Of Me,Luke Combs,12,12,0,2018-11-10,2018,45
