rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Jimmy Cooks,Drake Featuring 21 Savage,-,-,0,2022-07-02,2022,26
2,As It Was,Harry Styles,1,1,12,2022-07-02,2022,26
3,First Class,Jack Harlow,2,1,11,2022-07-02,2022,26
4,Wait For U,Future Featuring Drake & Tems,3,1,8,2022-07-02,2022,26
5,About Damn Time,Lizzo,4,4,10,2022-07-02,2022,26
6,Sticky,Drake,-,1,-,2022-07-02,2022,26
7,Falling Back,Drake,-,1,-,2022-07-02,2022,26
8,Glimpse Of Us,Joji,10,2,10,2022-07-02,2022,26
9,Running Up That Hill (A Deal With God),Kate Bush,5,4,24,2022-07-02,2022,26
10,Heat Waves,Glass Animals,6,1,75,2022-07-02,2022,26
11,Me Porto Bonito,Bad Bunny & Chencho Corleone,8,7,7,2022-07-02,2022,26
12,Big Energy,Latto,7,3,35,2022-07-02,2022,26
13,Texts Go Green,Drake,-,1,-,2022-07-02,2022,26
14,Massive,Drake,-,1,-,2022-07-02,2022,26
15,Break My Soul,Beyonce,-,1,-,2022-07-02,2022,26
16,Titi Me Pregunto,Bad Bunny,9,5,7,2022-07-02,2022,26
17,Wasted On You,Morgan Wallen,11,9,32,2022-07-02,2022,26
18,The Kind Of Love We Make,Luke Combs,-,1,-,2022-07-02,2022,26
19,Stay,The Kid LAROI & Justin Bieber,12,1,50,2022-07-02,2022,26
20,Calling My Name,Drake,-,1,-,2022-07-02,2022,26
21,A Keeper,Drake,-,1,-,2022-07-02,2022,26
22,I Like You (A Happier Song),Post Malone Featuring Doja Cat,14,9,3,2022-07-02,2022,26
23,Currents,Drake,-,1,-,2022-07-02,2022,26
24,Late Night Talking,Harry Styles,15,4,5,2022-07-02,2022,26
25,Boyfriend,Dove Cameron,16,16,19,2022-07-02,2022,26
26,Ghost,Justin Bieber,17,5,39,2022-07-02,2022,26
27,Numb Little Bug,Em Beihold,19,19,21,2022-07-02,2022,26
28,Flight's Booked,Drake,-,1,-,2022-07-02,2022,26
29,Bad Habits,Ed Sheeran,20,2,52,2022-07-02,2022,26
30,Enemy,Imagine Dragons X JID,18,5,31,2022-07-02,2022,26
31,Get Into It (Yuh),Doja Cat,33,29,33,2022-07-02,2022,26
32,Moscow Mule,Bad Bunny,21,4,7,2022-07-02,2022,26
33,Sunroof,Nicky Youre & dazy,52,4,52,2022-07-02,2022,26
34,Woman,Doja Cat,23,7,47,2022-07-02,2022,26
35,Cold Heart (PNAU Remix),Elton John & Dua Lipa,25,7,42,2022-07-02,2022,26
36,Bam Bam,Camila Cabello Featuring Ed Sheeran,22,21,16,2022-07-02,2022,26
37,Thats What I Want,Lil Nas X,30,8,40,2022-07-02,2022,26
38,Super Gremlin,Kodak Black,28,3,33,2022-07-02,2022,26
39,Shivers,Ed Sheeran,31,4,41,2022-07-02,2022,26
40,Provenza,Karol G,32,25,9,2022-07-02,2022,26
41,You Proof,Morgan Wallen,36,6,6,2022-07-02,2022,26
42,Overdrive,Drake,-,1,-,2022-07-02,2022,26
43,Take My Name,Parmalee,27,22,12,2022-07-02,2022,26
44,Sweetest Pie,Megan Thee Stallion & Dua Lipa,34,15,15,2022-07-02,2022,26
45,Efecto,Bad Bunny,40,34,7,2022-07-02,2022,26
46,Like I Love Country Music,Kane Brown,49,5,49,2022-07-02,2022,26
47,Liability,Drake,-,1,-,2022-07-02,2022,26
48,AA,Walker Hayes,35,28,24,2022-07-02,2022,26
49,Thousand Miles,The Kid LAROI,44,15,9,2022-07-02,2022,26
50,Something In The Orange,Zach Bryan,41,37,9,2022-07-02,2022,26
51,Party,Bad Bunny & Rauw Alejandro,37,14,7,2022-07-02,2022,26
52,U-Digg,"Lil Baby, 42 Dugg & Veeze",-,1,-,2022-07-02,2022,26
