rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,17,17,0,2015-03-21,2015,12
2,Thinking Out Loud,Ed Sheeran,22,22,0,2015-03-21,2015,12
3,Sugar,Maroon 5,8,8,0,2015-03-21,2015,12
4,Love Me Like You Do,Ellie Goulding,3,9,3,2015-03-21,2015,12
5,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,4,7,4,2015-03-21,2015,12
6,Style,Taylor Swift,7,13,7,2015-03-21,2015,12
7,Earned It (Fifty Shades Of Grey),The Weeknd,9,11,9,2015-03-21,2015,12
8,Take Me To Church,Hozier,6,2,30,2015-03-21,2015,12
9,Time Of Our Lives,Pitbull & Ne-Yo,10,13,10,2015-03-21,2015,12
10,Blank Space,Taylor Swift,8,1,19,2015-03-21,2015,12
11,I Don't Mind,Usher Featuring Juicy J,12,16,12,2015-03-21,2015,12
12,Trap Queen,Fetty Wap,16,7,16,2015-03-21,2015,12
13,Lips Are Movin,Meghan Trainor,11,4,20,2015-03-21,2015,12
14,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,7,7,0,2015-03-21,2015,12
15,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",-,1,-,2015-03-21,2015,12
16,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,23,17,23,2015-03-21,2015,12
17,I'm Not The Only One,Sam Smith,13,5,27,2015-03-21,2015,12
18,Centuries,Fall Out Boy,15,10,26,2015-03-21,2015,12
19,Somebody,Natalie La Rose Featuring Jeremih,24,7,24,2015-03-21,2015,12
20,She Knows,Ne-Yo Featuring Juicy J,19,19,16,2015-03-21,2015,12
21,Heartbeat Song,Kelly Clarkson,37,8,37,2015-03-21,2015,12
22,One Last Time,Ariana Grande,30,4,30,2015-03-21,2015,12
23,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",18,12,19,2015-03-21,2015,12
24,Shake It Off,Taylor Swift,21,1,29,2015-03-21,2015,12
25,Chains,Nick Jonas,34,6,34,2015-03-21,2015,12
26,All About That Bass,Meghan Trainor,28,1,35,2015-03-21,2015,12
27,Ayo,Chris Brown & Tyga,25,25,9,2015-03-21,2015,12
28,Jealous,Nick Jonas,20,7,26,2015-03-21,2015,12
29,I Don't F**k With You,Big Sean Featuring E-40,22,11,24,2015-03-21,2015,12
30,Blessings,Big Sean Featuring Drake,36,5,36,2015-03-21,2015,12
31,Take Your Time,Sam Hunt,32,10,32,2015-03-21,2015,12
32,Prayer In C,Lillywood & Robin Schulz,27,23,14,2015-03-21,2015,12
33,Stay With Me,Sam Smith,26,2,48,2015-03-21,2015,12
34,Ghost,Ella Henderson,29,21,19,2015-03-21,2015,12
35,7/11,Beyonce,31,13,15,2015-03-21,2015,12
36,Shut Up And Dance,WALK THE MOON,43,17,43,2015-03-21,2015,12
37,Riptide,Vance Joy,33,30,33,2015-03-21,2015,12
38,I Want You To Know,Zedd Featuring Selena Gomez,17,17,2,2015-03-21,2015,12
39,Outside,Calvin Harris Featuring Ellie Goulding,42,13,42,2015-03-21,2015,12
40,Animals,Maroon 5,35,3,29,2015-03-21,2015,12
41,Chandelier,Sia,38,8,44,2015-03-21,2015,12
42,Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,-,1,-,2015-03-21,2015,12
43,No Type,Rae Sremmurd,39,16,24,2015-03-21,2015,12
44,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,46,9,46,2015-03-21,2015,12
45,Elastic Heart,Sia,44,17,9,2015-03-21,2015,12
46,Homegrown,Zac Brown Band,58,8,58,2015-03-21,2015,12
47,You're So Beautiful,Empire Cast Featuring Jussie Smollett & Yazz,71,2,71,2015-03-21,2015,12
48,I Really Like You,Carly Rae Jepsen,-,1,-,2015-03-21,2015,12
49,Love Me Harder,Ariana Grande & The Weeknd,41,7,22,2015-03-21,2015,12
50,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,48,47,14,2015-03-21,2015,12
51,Energy,Drake,40,26,4,2015-03-21,2015,12
52,Ain't Worth The Whiskey,Cole Swindell,53,10,53,2015-03-21,2015,12
53,Talking Body,Tove Lo,56,6,56,2015-03-21,2015,12
54,Night Changes,One Direction,52,31,16,2015-03-21,2015,12
55,CoCo,O.T. Genasis,45,20,16,2015-03-21,2015,12
56,Mean To Me,Brett Eldredge,55,55,18,2015-03-21,2015,12
57,Just Gettin' Started,Jason Aldean,54,54,15,2015-03-21,2015,12
58,Lay Me Down,Sam Smith,62,5,62,2015-03-21,2015,12
59,I Bet My Life,Imagine Dragons,47,28,18,2015-03-21,2015,12
60,Legend,Drake,57,52,4,2015-03-21,2015,12
61,Lonely Eyes,Chris Young,64,12,64,2015-03-21,2015,12
