rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,All I Want For Christmas Is You,Mariah Carey,2,41,2,2020-12-19,2020,51
2,Mood,24kGoldn Featuring iann dior,1,1,18,2020-12-19,2020,51
3,Rockin' Around The Christmas Tree,Brenda Lee,4,2,36,2020-12-19,2020,51
4,Positions,Ariana Grande,3,1,7,2020-12-19,2020,51
5,Jingle Bell Rock,Bobby Helms,9,3,33,2020-12-19,2020,51
6,It's The Most Wonderful Time Of The Year,Andy Williams,12,18,12,2020-12-19,2020,51
7,Blinding Lights,The Weeknd,11,1,54,2020-12-19,2020,51
8,Laugh Now Cry Later,Drake Featuring Lil Durk,6,2,17,2020-12-19,2020,51
9,Holy,Justin Bieber Featuring Chance The Rapper,7,3,12,2020-12-19,2020,51
10,Feliz Navidad,Jose Feliciano,16,12,16,2020-12-19,2020,51
11,Last Christmas,Wham!,21,17,21,2020-12-19,2020,51
12,I Hope,Gabby Barrett Featuring Charlie Puth,8,3,50,2020-12-19,2020,51
13,Go Crazy,Chris Brown & Young Thug,15,9,31,2020-12-19,2020,51
14,A Holly Jolly Christmas,Burl Ives,24,4,17,2020-12-19,2020,51
15,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,22,11,22,2020-12-19,2020,51
16,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",18,11,24,2020-12-19,2020,51
17,Dakiti,Bad Bunny & Jhay Cortez,5,5,6,2020-12-19,2020,51
18,Body,Megan Thee Stallion,14,12,3,2020-12-19,2020,51
19,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,13,6,17,2020-12-19,2020,51
20,Sleigh Ride,The Ronettes,23,9,23,2020-12-19,2020,51
21,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,17,6,23,2020-12-19,2020,51
22,Kings & Queens,Ava Max,19,13,18,2020-12-19,2020,51
23,Therefore I Am,Billie Eilish,20,2,5,2020-12-19,2020,51
24,Dynamite,BTS,10,1,16,2020-12-19,2020,51
25,Underneath The Tree,Kelly Clarkson,30,7,30,2020-12-19,2020,51
26,34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,25,8,6,2020-12-19,2020,51
27,Levitating,Dua Lipa,26,20,10,2020-12-19,2020,51
28,Bang!,AJR,27,24,23,2020-12-19,2020,51
29,Happy Holiday / The Holiday Season,Andy Williams,34,24,6,2020-12-19,2020,51
30,On Me,Lil Baby,-,1,-,2020-12-19,2020,51
31,Christmas (Baby Please Come Home),Darlene Love,41,29,5,2020-12-19,2020,51
32,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,37,12,18,2020-12-19,2020,51
33,It's Beginning To Look A Lot Like Christmas,Michael Buble,39,3,39,2020-12-19,2020,51
34,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,40,16,10,2020-12-19,2020,51
35,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,45,28,6,2020-12-19,2020,51
36,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,28,8,28,2020-12-19,2020,51
37,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,47,32,5,2020-12-19,2020,51
38,Monster,Shawn Mendes & Justin Bieber,8,3,8,2020-12-19,2020,51
39,Santa Tell Me,Ariana Grande,-,6,-,2020-12-19,2020,51
40,Run Rudolph Run,Chuck Berry,-,36,6,2020-12-19,2020,51
41,Errbody,Lil Baby,-,1,-,2020-12-19,2020,51
42,Rockstar,DaBaby Featuring Roddy Ricch,35,1,34,2020-12-19,2020,51
43,WAP,Cardi B Featuring Megan Thee Stallion,33,1,18,2020-12-19,2020,51
44,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,29,1,26,2020-12-19,2020,51
45,Wonderful Christmastime,Paul McCartney,-,2,-,2020-12-19,2020,51
46,What You Know Bout Love,Pop Smoke,52,25,14,2020-12-19,2020,51
47,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",48,2,44,2020-12-19,2020,51
48,Holiday,Lil Nas X,51,37,4,2020-12-19,2020,51
49,More Than My Hometown,Morgan Wallen,32,15,26,2020-12-19,2020,51
50,Lonely,Justin Bieber & benny blanco,46,14,8,2020-12-19,2020,51
51,Whoopty,CJ,69,5,69,2020-12-19,2020,51
52,"Big, Big Plans",Chris Lane,56,42,10,2020-12-19,2020,51
53,Diamonds,Sam Smith,58,40,12,2020-12-19,2020,51
54,Better Together,Luke Combs,55,30,10,2020-12-19,2020,51
55,Hawai,Maluma & The Weeknd,54,12,16,2020-12-19,2020,51
56,Ain't Always The Cowboy,Jon Pardi,63,55,15,2020-12-19,2020,51
57,Happy Anywhere,Blake Shelton Featuring Gwen Stefani,49,36,20,2020-12-19,2020,51
58,Starting Over,Chris Stapleton,62,25,15,2020-12-19,2020,51
59,Under The Mistletoe,Kelly Clarkson & Brett Eldredge,75,2,75,2020-12-19,2020,51
60,I Should Probably Go To Bed,Dan + Shay,66,42,19,2020-12-19,2020,51
61,Love You Like I Used To,Russell Dickerson,31,14,31,2020-12-19,2020,51
62,B.S.,Jhene Aiko Featuring H.E.R.,71,24,19,2020-12-19,2020,51
63,Without You,The Kid LAROI,-,1,-,2020-12-19,2020,51
64,You Broke Me First.,Tate McRae,67,50,16,2020-12-19,2020,51
65,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake,70,10,10,2020-12-19,2020,51
66,Forever After All,Luke Combs,68,2,7,2020-12-19,2020,51
67,My Ex's Best Friend,Machine Gun Kelly X blackbear,73,28,17,2020-12-19,2020,51
68,Prisoner,Miley Cyrus Featuring Dua Lipa,59,54,3,2020-12-19,2020,51
69,7 Summers,Morgan Wallen,76,6,17,2020-12-19,2020,51
70,Wonder,Shawn Mendes,77,18,10,2020-12-19,2020,51
71,Rockin' Around The Christmas Tree,Justin Bieber,83,2,83,2020-12-19,2020,51
72,Real Shit,Juice WRLD x benny blanco,-,1,-,2020-12-19,2020,51
73,Midnight Sky,Miley Cyrus,57,14,17,2020-12-19,2020,51
74,La Noche de Anoche,Bad Bunny & Rosalia,53,53,2,2020-12-19,2020,51
75,Dicked Down In Dallas,Trey Lewis,65,65,2,2020-12-19,2020,51
76,Oh Santa!,Mariah Carey Featuring Ariana Grande & Jennifer Hudson,-,1,-,2020-12-19,2020,51
77,Tyler Herro,Jack Harlow,91,34,7,2020-12-19,2020,51
78,Champagne Night,Lady A,82,75,8,2020-12-19,2020,51
79,Good Time,Niko Moon,93,71,10,2020-12-19,2020,51
80,Favorite Time Of Year,Carrie Underwood,95,2,95,2020-12-19,2020,51
81,Throat Baby (Go Baby),BRS Kash,85,69,8,2020-12-19,2020,51
82,Hit Different,SZA Featuring Ty Dolla $ign,90,29,14,2020-12-19,2020,51
83,Golden,Harry Styles,92,74,8,2020-12-19,2020,51
84,Took Her To The O,King Von,88,47,5,2020-12-19,2020,51
85,pov,Ariana Grande,80,40,6,2020-12-19,2020,51
86,Don't Stop,Megan Thee Stallion Featuring Young Thug,89,30,10,2020-12-19,2020,51
87,Hole In The Bottle,Kelsea Ballerini,98,72,9,2020-12-19,2020,51
88,Take Me Home For Christmas,Dan + Shay,-,1,-,2020-12-19,2020,51
89,Bichota,Karol G,100,3,100,2020-12-19,2020,51
90,So Done,The Kid LAROI,99,59,7,2020-12-19,2020,51
91,Back To The Streets,Saweetie Featuring Jhene Aiko,96,76,4,2020-12-19,2020,51
92,Somebody's Problem,Morgan Wallen,84,25,3,2020-12-19,2020,51
93,Life Goes On,BTS,28,1,3,2020-12-19,2020,51
94,Martin & Gina,Polo G,97,61,19,2020-12-19,2020,51
95,Heather,Conan Gray,-,46,15,2020-12-19,2020,51
96,Hallelujah,Carrie Underwood & John Legend,-,1,-,2020-12-19,2020,51
