rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Rockstar,DaBaby Featuring Roddy Ricch,14,14,0,2020-08-01,2020,31
2,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",3,24,3,2020-08-01,2020,31
3,Popstar,DJ Khaled Featuring Drake,-,1,-,2020-08-01,2020,31
4,Blinding Lights,The Weeknd,1,34,1,2020-08-01,2020,31
5,Roses,SAINt JHN,8,4,18,2020-08-01,2020,31
6,Savage,Megan Thee Stallion Featuring Beyonce,1,19,1,2020-08-01,2020,31
7,Watermelon Sugar,Harry Styles,11,18,11,2020-08-01,2020,31
8,Greece,DJ Khaled Featuring Drake,-,1,-,2020-08-01,2020,31
9,Come & Go,Juice WRLD x Marshmello,2,2,2,2020-08-01,2020,31
10,Go Crazy,Chris Brown & Young Thug,29,11,29,2020-08-01,2020,31
11,Blueberry Faygo,Lil Mosey,13,8,24,2020-08-01,2020,31
12,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,19,6,19,2020-08-01,2020,31
13,Wishing Well,Juice WRLD,5,5,2,2020-08-01,2020,31
14,Rain On Me,Lady Gaga & Ariana Grande,28,1,9,2020-08-01,2020,31
15,Adore You,Harry Styles,17,6,33,2020-08-01,2020,31
16,I Hope,Gabby Barrett Featuring Charlie Puth,23,30,23,2020-08-01,2020,31
17,Break My Heart,Dua Lipa,24,24,0,2020-08-01,2020,31
18,Circles,Post Malone,20,1,47,2020-08-01,2020,31
19,Before You Go,Lewis Capaldi,30,25,30,2020-08-01,2020,31
20,We Paid,Lil Baby & 42 Dugg,26,10,12,2020-08-01,2020,31
21,Say So,Doja Cat Featuring Nicki Minaj,18,1,29,2020-08-01,2020,31
22,Intentions,Justin Bieber Featuring Quavo,21,5,24,2020-08-01,2020,31
23,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,32,6,3,2020-08-01,2020,31
24,Party Girl,StaySolidRocky,25,21,13,2020-08-01,2020,31
25,One Margarita,Luke Bryan,31,19,12,2020-08-01,2020,31
26,Bluebird,Miranda Lambert,44,16,44,2020-08-01,2020,31
27,Don't Start Now,Dua Lipa,2,38,2,2020-08-01,2020,31
28,Life Is Good,Future Featuring Drake,39,2,39,2020-08-01,2020,31
29,Death Bed,Powfu Featuring beabadoobee,41,23,19,2020-08-01,2020,31
30,Falling,Trevor Daniel,33,17,36,2020-08-01,2020,31
31,The Bones,Maren Morris,36,12,44,2020-08-01,2020,31
32,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,48,11,3,2020-08-01,2020,31
33,Hard To Forget,Sam Hunt,37,26,17,2020-08-01,2020,31
34,The Box,Roddy Ricch,40,1,33,2020-08-01,2020,31
35,Die From A Broken Heart,Maddie & Tae,53,15,53,2020-08-01,2020,31
36,Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,10,10,2,2020-08-01,2020,31
37,The Bigger Picture,Lil Baby,43,3,6,2020-08-01,2020,31
38,Conversations,Juice WRLD,7,7,2,2020-08-01,2020,31
39,Chasin' You,Morgan Wallen,49,16,26,2020-08-01,2020,31
40,Sunday Best,Surfaces,45,19,21,2020-08-01,2020,31
41,Rags2Riches,Rod Wave Featuring ATR Son Son,52,4,52,2020-08-01,2020,31
42,Life's A Mess,Juice WRLD X Halsey,9,9,3,2020-08-01,2020,31
43,Emotionally Scarred,Lil Baby,55,31,21,2020-08-01,2020,31
44,Said Sum,Moneybagg Yo,63,3,63,2020-08-01,2020,31
