rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Anti-Hero,Taylor Swift,3,3,0,2022-11-19,2022,46
2,Rich Flex,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
3,Major Distribution,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
4,On BS,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
5,Spin Bout U,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
6,Pussy & Millions,Drake & 21 Savage Featuring Travis Scott,-,1,-,2022-11-19,2022,46
7,Privileged Rappers,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
8,Circo Loco,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
9,BackOutsideBoyz,Drake,-,1,-,2022-11-19,2022,46
10,Unholy,Sam Smith & Kim Petras,3,1,7,2022-11-19,2022,46
11,Hours In Silence,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
12,Broke Boys,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
13,Bad Habit,Steve Lacy,4,1,19,2022-11-19,2022,46
14,Treacherous Twins,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
15,Middle Of The Ocean,Drake,-,1,-,2022-11-19,2022,46
16,Jumbotron Shit Poppin,Drake,-,1,-,2022-11-19,2022,46
17,As It Was,Harry Styles,5,1,32,2022-11-19,2022,46
18,More M's,Drake & 21 Savage,-,1,-,2022-11-19,2022,46
19,I Guess It's Fuck Me,Drake,-,1,-,2022-11-19,2022,46
20,I'm Good (Blue),David Guetta & Bebe Rexha,15,14,11,2022-11-19,2022,46
21,Super Freaky Girl,Nicki Minaj,10,1,13,2022-11-19,2022,46
22,Lift Me Up,Rihanna,2,2,2,2022-11-19,2022,46
23,Lavender Haze,Taylor Swift,6,2,3,2022-11-19,2022,46
24,I Like You (A Happier Song),Post Malone Featuring Doja Cat,8,3,23,2022-11-19,2022,46
25,You Proof,Morgan Wallen,14,5,26,2022-11-19,2022,46
26,Something In The Orange,Zach Bryan,29,12,29,2022-11-19,2022,46
27,3AM On Glenwood,21 Savage,-,1,-,2022-11-19,2022,46
28,I Ain't Worried,OneRepublic,13,6,22,2022-11-19,2022,46
29,Vegas,Doja Cat,18,10,23,2022-11-19,2022,46
30,Midnight Rain,Taylor Swift,7,5,3,2022-11-19,2022,46
31,Jimmy Cooks,Drake Featuring 21 Savage,25,1,21,2022-11-19,2022,46
32,Under The Influence,Chris Brown,21,21,9,2022-11-19,2022,46
33,Bejeweled,Taylor Swift,9,6,3,2022-11-19,2022,46
34,Die For You,The Weeknd & Ariana Grande,27,27,15,2022-11-19,2022,46
35,Sunroof,Nicky Youre & dazy,19,4,24,2022-11-19,2022,46
36,Maroon,Taylor Swift,12,3,3,2022-11-19,2022,46
37,Wasted On You,Morgan Wallen,22,9,52,2022-11-19,2022,46
38,Cuff It,Beyonce,31,13,13,2022-11-19,2022,46
39,Karma,Taylor Swift Featuring Ice Spice,17,9,3,2022-11-19,2022,46
40,Snow On The Beach,Taylor Swift Featuring Lana Del Rey,16,4,3,2022-11-19,2022,46
41,Wait For U,Future Featuring Drake & Tems,28,1,28,2022-11-19,2022,46
42,"You're On Your Own, Kid",Taylor Swift,20,8,3,2022-11-19,2022,46
43,Titi Me Pregunto,Bad Bunny,30,5,27,2022-11-19,2022,46
44,Just Wanna Rock,Lil Uzi Vert,48,4,48,2022-11-19,2022,46
