rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Cruel Summer,Taylor Swift,25,25,0,2023-11-04,2023,44
2,Paint The Town Red,Doja Cat,1,12,1,2023-11-04,2023,44
3,Snooze,SZA,2,46,2,2023-11-04,2023,44
4,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,6,1,9,2023-11-04,2023,44
5,Fast Car,Luke Combs,7,2,31,2023-11-04,2023,44
6,Last Night,Morgan Wallen,9,1,39,2023-11-04,2023,44
7,Thinkin' Bout Me,Morgan Wallen,10,34,10,2023-11-04,2023,44
8,IDGAF,Drake Featuring Yeat,4,2,3,2023-11-04,2023,44
9,Monaco,Bad Bunny,5,5,2,2023-11-04,2023,44
10,Fukumean,Gunna,11,4,19,2023-11-04,2023,44
11,Vampire,Olivia Rodrigo,12,1,17,2023-11-04,2023,44
12,Dance The Night,Dua Lipa,13,6,22,2023-11-04,2023,44
13,First Person Shooter,Drake Featuring J. Cole,8,1,3,2023-11-04,2023,44
14,Greedy,Tate McRae,17,6,17,2023-11-04,2023,44
15,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,16,11,3,2023-11-04,2023,44
16,Flowers,Miley Cyrus,18,1,41,2023-11-04,2023,44
17,Need A Favor,Jelly Roll,23,14,30,2023-11-04,2023,44
18,Used To Be Young,Miley Cyrus,26,8,9,2023-11-04,2023,44
19,Barbie World,Nicki Minaj & Ice Spice With Aqua,7,18,7,2023-11-04,2023,44
20,Anti-Hero,Taylor Swift,25,1,53,2023-11-04,2023,44
21,Water,Tyla,46,4,46,2023-11-04,2023,44
22,Virginia Beach,Drake,15,3,3,2023-11-04,2023,44
23,Religiously,Bailey Zimmerman,29,13,25,2023-11-04,2023,44
24,What Was I Made For?,Billie Eilish,40,14,15,2023-11-04,2023,44
25,Good Good,"Usher, Summer Walker & 21 Savage",39,11,39,2023-11-04,2023,44
26,My Love Mine All Mine,Mitski,35,5,35,2023-11-04,2023,44
27,Save Me,Jelly Roll With Lainey Wilson,37,19,37,2023-11-04,2023,44
28,Kill Bill,SZA,36,1,46,2023-11-04,2023,44
29,Dial Drunk,Noah Kahan With Post Malone,33,25,19,2023-11-04,2023,44
30,What It Is (Block Boy),Doechii Featuring Kodak Black,41,29,25,2023-11-04,2023,44
31,Agora Hills,Doja Cat,55,18,5,2023-11-04,2023,44
32,All My Life,Lil Durk Featuring J. Cole,27,2,24,2023-11-04,2023,44
33,Daylight,David Kushner,45,28,45,2023-11-04,2023,44
34,Bad Idea Right?,Olivia Rodrigo,42,7,11,2023-11-04,2023,44
35,Lil Boo Thang,Paul Russell,58,6,58,2023-11-04,2023,44
36,White Horse,Chris Stapleton,43,31,14,2023-11-04,2023,44
37,Perro Negro,Bad Bunny & Feid,20,20,2,2023-11-04,2023,44
38,Creepin',"Metro Boomin, The Weeknd & 21 Savage",44,3,47,2023-11-04,2023,44
39,Slime You Out,Drake Featuring SZA,21,1,6,2023-11-04,2023,44
40,I Know ?,Travis Scott,51,11,13,2023-11-04,2023,44
41,Try That In A Small Town,Jason Aldean,50,1,15,2023-11-04,2023,44
42,Fina,Bad Bunny & Young Miko,14,14,2,2023-11-04,2023,44
43,Stick Season,Noah Kahan,75,4,75,2023-11-04,2023,44
44,Too Much,"The Kid LAROI, Jung Kook & Central Cee",-,1,-,2023-11-04,2023,44
45,Watermelon Moonshine,Lainey Wilson,31,21,18,2023-11-04,2023,44
46,Pretty Little Poison,Warren Zeiders,-,7,-,2023-11-04,2023,44
47,Qlona,Karol G & Peso Pluma,62,28,11,2023-11-04,2023,44
48,Single Soon,Selena Gomez,59,19,9,2023-11-04,2023,44
49,Lose Control,Teddy Swims,74,11,74,2023-11-04,2023,44
50,Get Him Back!,Olivia Rodrigo,79,11,7,2023-11-04,2023,44
51,Wild Ones,Jessie Murph & Jelly Roll,76,49,3,2023-11-04,2023,44
52,Strangers,Kenya Grace,77,6,77,2023-11-04,2023,44
53,Bongos,Cardi B & Megan Thee Stallion,69,14,7,2023-11-04,2023,44
54,Rich Men North Of Richmond,Oliver Anthony Music,64,1,11,2023-11-04,2023,44
55,Great Gatsby,Rod Wave,73,30,6,2023-11-04,2023,44
56,Meltdown,Travis Scott Featuring Drake,67,3,13,2023-11-04,2023,44
57,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",71,35,18,2023-11-04,2023,44
58,On My Mama,Victoria Monet,97,6,97,2023-11-04,2023,44
59,500lbs,Lil Tecca,90,5,90,2023-11-04,2023,44
60,Everything I Love,Morgan Wallen,96,14,35,2023-11-04,2023,44
61,Gently,Drake Featuring Bad Bunny,49,12,3,2023-11-04,2023,44
62,LaLa,Myke Towers,91,43,16,2023-11-04,2023,44
63,Un Preview,Bad Bunny,47,43,5,2023-11-04,2023,44
64,Hey Driver,Zach Bryan Featuring The War And Treaty,87,14,9,2023-11-04,2023,44
65,SkeeYee,Sexyy Red,94,62,8,2023-11-04,2023,44
66,Can't Have Mine,Dylan Scott,-,4,-,2023-11-04,2023,44
67,Truck Bed,HARDY,100,55,19,2023-11-04,2023,44
68,Segun Quien,Maluma & Carin Leon,-,4,-,2023-11-04,2023,44
69,Calling For You,Drake Featuring 21 Savage,56,5,3,2023-11-04,2023,44
70,Turks & Caicos,Rod Wave Featuring 21 Savage,98,24,6,2023-11-04,2023,44
71,El Amor de Su Vida,Grupo Frontera & Grupo Firme,-,68,9,2023-11-04,2023,44
72,Hibiki,Bad Bunny & Mora,24,24,2,2023-11-04,2023,44
73,Mr. October,Bad Bunny,28,28,2,2023-11-04,2023,44
74,Baby Nueva,Bad Bunny,34,34,2,2023-11-04,2023,44
75,3D,Jung Kook & Jack Harlow,93,5,4,2023-11-04,2023,44
76,Daylight,Drake,60,8,3,2023-11-04,2023,44
77,Burn It Down,Parker McCollum,-,1,-,2023-11-04,2023,44
78,Better Place,*NSYNC,99,25,4,2023-11-04,2023,44
79,One Of Your Girls,Troye Sivan,-,1,-,2023-11-04,2023,44
80,Mi Ex Tenia Razon,Karol G,-,22,10,2023-11-04,2023,44
81,What Would Pluto Do,Drake,66,18,3,2023-11-04,2023,44
82,Cybertruck,Bad Bunny,30,30,2,2023-11-04,2023,44
83,God Gave Me A Girl,Russell Dickerson,-,3,-,2023-11-04,2023,44
84,Stars Like Confetti,Dustin Lynch,-,3,-,2023-11-04,2023,44
85,8am In Charlotte,Drake,63,17,3,2023-11-04,2023,44
86,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,-,61,4,2023-11-04,2023,44
87,Boyz Don't Cry,Rod Wave,-,25,5,2023-11-04,2023,44
88,Telefono Nuevo,Bad Bunny & Luar La L,32,32,2,2023-11-04,2023,44
89,Fear Of Heights,Drake,68,10,3,2023-11-04,2023,44
90,Seda,Bad Bunny & Bryant Myers,38,38,2,2023-11-04,2023,44
91,Standing Room Only,Tim McGraw,-,61,7,2023-11-04,2023,44
92,One More Time,blink-182,-,62,2,2023-11-04,2023,44
93,Oklahoma Smokeshow,Zach Bryan,-,80,10,2023-11-04,2023,44
94,Members Only,Drake Featuring PARTYNEXTDOOR,82,24,3,2023-11-04,2023,44
95,Tourniquet,Zach Bryan,-,20,8,2023-11-04,2023,44
96,Call Your Friends,Rod Wave,-,18,9,2023-11-04,2023,44
97,The Painter,Cody Johnson,-,55,3,2023-11-04,2023,44
98,Deli,Ice Spice,-,41,13,2023-11-04,2023,44
99,Bahamas Promises,Drake,84,20,3,2023-11-04,2023,44
100,Say My Grace,Offset Featuring Travis Scott,48,48,2,2023-11-04,2023,44
1,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,-,-,0,2023-11-11,2023,45
2,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,-,1,-,2023-11-11,2023,45
3,Slut! (Taylor's Version) [From The Vault],Taylor Swift,-,1,-,2023-11-11,2023,45
4,Paint The Town Red,Doja Cat,2,1,13,2023-11-11,2023,45
5,Say Don't Go (Taylor's Version) [From The Vault],Taylor Swift,-,1,-,2023-11-11,2023,45
6,Cruel Summer,Taylor Swift,1,1,26,2023-11-11,2023,45
7,Bad Blood (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
8,Snooze,SZA,3,2,47,2023-11-11,2023,45
9,Style (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
10,Suburban Legends (Taylor's Version) [From The Vault],Taylor Swift,-,1,-,2023-11-11,2023,45
11,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,4,1,10,2023-11-11,2023,45
12,Blank Space (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
13,Fast Car,Luke Combs,5,2,32,2023-11-11,2023,45
14,Welcome To New York (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
15,Last Night,Morgan Wallen,6,1,40,2023-11-11,2023,45
16,Out Of The Woods (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
17,Thinkin' Bout Me,Morgan Wallen,7,7,35,2023-11-11,2023,45
18,Vampire,Olivia Rodrigo,11,1,11,2023-11-11,2023,45
19,Wildest Dreams (Taylor's Version),Taylor Swift,-,2,-,2023-11-11,2023,45
20,All You Had To Do Was Stay (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
21,Thriller,Michael Jackson,-,4,23,2023-11-11,2023,45
22,Greedy,Tate McRae,14,14,7,2023-11-11,2023,45
23,IDGAF,Drake Featuring Yeat,8,2,4,2023-11-11,2023,45
24,Monaco,Bad Bunny,9,5,3,2023-11-11,2023,45
25,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,15,11,4,2023-11-11,2023,45
26,Fukumean,Gunna,10,4,20,2023-11-11,2023,45
27,Dance The Night,Dua Lipa,12,6,23,2023-11-11,2023,45
28,Shake It Off (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
29,New Romantics (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
30,Clean (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
31,I Wish You Would (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
32,First Person Shooter,Drake Featuring J. Cole,13,1,4,2023-11-11,2023,45
33,Need A Favor,Jelly Roll,17,14,31,2023-11-11,2023,45
34,Flowers,Miley Cyrus,16,1,42,2023-11-11,2023,45
35,Water,Tyla,21,21,5,2023-11-11,2023,45
36,I Know Places (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
37,Used To Be Young,Miley Cyrus,18,8,10,2023-11-11,2023,45
38,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",-,1,40,2023-11-11,2023,45
39,Wonderland (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
40,How You Get The Girl (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
41,This Is Halloween,The Citizens of Halloween,-,1,-,2023-11-11,2023,45
42,This Love (Taylor's Version),Taylor Swift,-,2,-,2023-11-11,2023,45
43,You Are In Love (Taylor's Version),Taylor Swift,-,1,-,2023-11-11,2023,45
44,Agora Hills,Doja Cat,31,18,6,2023-11-11,2023,45
45,Ghostbusters,Ray Parker Jr.,-,1,24,2023-11-11,2023,45
46,Save Me,Jelly Roll With Lainey Wilson,27,27,20,2023-11-11,2023,45
47,Kill Bill,SZA,28,1,28,2023-11-11,2023,45
48,Barbie World,Nicki Minaj & Ice Spice With Aqua,19,7,19,2023-11-11,2023,45
49,Good Good,"Usher, Summer Walker & 21 Savage",25,25,12,2023-11-11,2023,45
50,What Was I Made For?,Billie Eilish,24,14,16,2023-11-11,2023,45
