rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,In My Feelings,Drake,8,8,0,2018-09-01,2018,35
2,Girls Like You,Maroon 5 Featuring Cardi B,13,13,0,2018-09-01,2018,35
3,I Like It,"Cardi B, Bad Bunny & J Balvin",1,20,1,2018-09-01,2018,35
4,FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,3,5,3,2018-09-01,2018,35
5,Better Now,Post Malone,17,17,0,2018-09-01,2018,35
6,Lucid Dreams,Juice WRLD,3,15,3,2018-09-01,2018,35
7,No Tears Left To Cry,Ariana Grande,12,3,18,2018-09-01,2018,35
8,God Is A Woman,Ariana Grande,30,6,30,2018-09-01,2018,35
9,Sicko Mode,Travis Scott,7,4,3,2018-09-01,2018,35
10,Taste,Tyga Featuring Offset,8,8,13,2018-09-01,2018,35
11,Love Lies,Khalid & Normani,27,27,0,2018-09-01,2018,35
12,No Brainer,"DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo",10,5,4,2018-09-01,2018,35
13,Boo'd Up,Ella Mai,9,5,21,2018-09-01,2018,35
14,Yes Indeed,Lil Baby & Drake,15,6,15,2018-09-01,2018,35
15,Youngblood,5 Seconds Of Summer,17,12,17,2018-09-01,2018,35
16,Psycho,Post Malone Featuring Ty Dolla $ign,13,1,26,2018-09-01,2018,35
17,Nice For What,Drake,14,1,20,2018-09-01,2018,35
18,Nonstop,Drake,21,2,8,2018-09-01,2018,35
19,Delicate,Taylor Swift,16,12,24,2018-09-01,2018,35
20,Perfect,Ed Sheeran,1,52,1,2018-09-01,2018,35
21,Meant To Be,Bebe Rexha & Florida Georgia Line,19,2,44,2018-09-01,2018,35
22,Breathin,Ariana Grande,-,1,-,2018-09-01,2018,35
23,Back To You,Selena Gomez,25,22,15,2018-09-01,2018,35
24,Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",23,16,12,2018-09-01,2018,35
25,The Middle,"Zedd, Maren Morris & Grey",22,5,30,2018-09-01,2018,35
26,Sad!,XXXTENTACION,1,25,1,2018-09-01,2018,35
27,God's Plan,Drake,24,1,31,2018-09-01,2018,35
28,I Like Me Better,Lauv,39,39,0,2018-09-01,2018,35
29,Natural,Imagine Dragons,34,5,34,2018-09-01,2018,35
30,Tequila,Dan + Shay,28,21,24,2018-09-01,2018,35
31,Eastside,"benny blanco, Halsey & Khalid",48,6,48,2018-09-01,2018,35
32,Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,36,10,36,2018-09-01,2018,35
33,Mine,Bazzi,31,11,31,2018-09-01,2018,35
34,Mercy,Brett Young,29,29,16,2018-09-01,2018,35
35,Stargazing,Travis Scott,27,8,3,2018-09-01,2018,35
36,Simple,Florida Georgia Line,35,34,12,2018-09-01,2018,35
37,Friends,Marshmello & Anne-Marie,33,11,28,2018-09-01,2018,35
38,Barbie Dreams,Nicki Minaj,18,18,2,2018-09-01,2018,35
39,One Kiss,Calvin Harris & Dua Lipa,32,26,20,2018-09-01,2018,35
