rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Nice For What,Drake,2,10,2,2018-06-23,2018,25
2,Psycho,Post Malone Featuring Ty Dolla $ign,1,1,16,2018-06-23,2018,25
3,I Like It,"Cardi B, Bad Bunny & J Balvin",10,10,0,2018-06-23,2018,25
4,God's Plan,Drake,5,1,21,2018-06-23,2018,25
5,Girls Like You,Maroon 5 Featuring Cardi B,4,4,3,2018-06-23,2018,25
6,Lucid Dreams,Juice WRLD,9,5,9,2018-06-23,2018,25
7,Boo'd Up,Ella Mai,6,6,11,2018-06-23,2018,25
8,The Middle,"Zedd, Maren Morris & Grey",10,5,20,2018-06-23,2018,25
9,No Tears Left To Cry,Ariana Grande,13,3,8,2018-06-23,2018,25
10,Meant To Be,Bebe Rexha & Florida Georgia Line,12,2,34,2018-06-23,2018,25
11,Yes Indeed,Lil Baby & Drake,15,6,5,2018-06-23,2018,25
12,This Is America,Childish Gambino,7,1,6,2018-06-23,2018,25
13,Friends,Marshmello & Anne-Marie,14,11,18,2018-06-23,2018,25
14,Walk It Talk It,Migos Featuring Drake,17,10,20,2018-06-23,2018,25
15,Mine,Bazzi,23,11,21,2018-06-23,2018,25
16,In My Blood,Shawn Mendes,20,11,13,2018-06-23,2018,25
17,Perfect,Ed Sheeran,21,1,42,2018-06-23,2018,25
18,Look Alive,BlocBoy JB Featuring Drake,19,5,19,2018-06-23,2018,25
19,Never Be The Same,Camila Cabello,18,6,26,2018-06-23,2018,25
20,Better Now,Post Malone,34,7,7,2018-06-23,2018,25
21,Whatever It Takes,Imagine Dragons,22,12,20,2018-06-23,2018,25
22,Back To You,Selena Gomez,31,5,31,2018-06-23,2018,25
23,Be Careful,Cardi B,25,11,11,2018-06-23,2018,25
24,Rockstar,Post Malone Featuring 21 Savage,29,1,39,2018-06-23,2018,25
25,Delicate,Taylor Swift,37,14,37,2018-06-23,2018,25
26,Heaven,Kane Brown,30,15,25,2018-06-23,2018,25
27,Havana,Camila Cabello Featuring Young Thug,33,1,44,2018-06-23,2018,25
28,I'm Upset,Drake,32,19,3,2018-06-23,2018,25
29,Wait,Maroon 5,26,24,22,2018-06-23,2018,25
30,One Kiss,Calvin Harris & Dua Lipa,38,10,38,2018-06-23,2018,25
31,All Mine,Kanye West,11,11,2,2018-06-23,2018,25
32,Tequila,Dan + Shay,41,14,41,2018-06-23,2018,25
33,Plug Walk,Rich The Kid,35,13,18,2018-06-23,2018,25
34,Love Lies,Khalid & Normani,42,17,42,2018-06-23,2018,25
35,New Rules,Dua Lipa,40,6,46,2018-06-23,2018,25
36,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",43,8,43,2018-06-23,2018,25
37,Freaky Friday,Lil Dicky Featuring Chris Brown,39,8,13,2018-06-23,2018,25
38,Taste,Tyga Featuring Offset,59,3,59,2018-06-23,2018,25
39,Reborn,KIDS SEE GHOSTS,-,1,-,2018-06-23,2018,25
40,Yikes,Kanye West,8,8,2,2018-06-23,2018,25
41,All Girls Are The Same,Juice WRLD,49,5,49,2018-06-23,2018,25
42,4th Dimension,KIDS SEE GHOSTS Featuring Louis Prima,-,1,-,2018-06-23,2018,25
43,Chun-Li,Nicki Minaj,46,10,10,2018-06-23,2018,25
44,Pray For Me,The Weeknd & Kendrick Lamar,7,19,7,2018-06-23,2018,25
45,One Number Away,Luke Combs,34,13,34,2018-06-23,2018,25
46,I Like Me Better,Lauv,53,18,53,2018-06-23,2018,25
47,Feel The Love,KIDS SEE GHOSTS,-,1,-,2018-06-23,2018,25
48,Get Along,Kenny Chesney,56,10,56,2018-06-23,2018,25
49,Up Down,Morgan Wallen Featuring Florida Georgia Line,58,12,58,2018-06-23,2018,25
50,TATI,6ix9ine Featuring DJ SPINKING,47,46,3,2018-06-23,2018,25
51,IDGAF,Dua Lipa,54,49,22,2018-06-23,2018,25
52,Sad!,XXXTENTACION,51,7,15,2018-06-23,2018,25
53,"Woman, Amen",Dierks Bentley,69,10,69,2018-06-23,2018,25
54,Call Out My Name,The Weeknd,52,4,11,2018-06-23,2018,25
55,Done For Me,Charlie Puth Featuring Kehlani,61,53,6,2018-06-23,2018,25
56,Sit Next To Me,Foster The People,64,13,64,2018-06-23,2018,25
57,Simple,Florida Georgia Line,55,55,2,2018-06-23,2018,25
58,X,Nicky Jam x J Balvin,57,41,15,2018-06-23,2018,25
59,Ball For Me,Post Malone Featuring Nicki Minaj,63,16,7,2018-06-23,2018,25
60,Ghost Town,Kanye West Featuring PARTYNEXTDOOR,16,16,2,2018-06-23,2018,25
61,You Make It Easy,Jason Aldean,62,28,20,2018-06-23,2018,25
62,"Freeee (Ghost Town, Pt. 2)",KIDS SEE GHOSTS,-,1,-,2018-06-23,2018,25
63,Mercy,Brett Young,74,6,74,2018-06-23,2018,25
64,Dura,Daddy Yankee,65,43,19,2018-06-23,2018,25
65,KOD,J. Cole,60,10,8,2018-06-23,2018,25
66,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,71,8,71,2018-06-23,2018,25
67,Fire,KIDS SEE GHOSTS,-,1,-,2018-06-23,2018,25
68,Esskeetit,Lil Pump,66,24,9,2018-06-23,2018,25
69,Cudi Montage,KIDS SEE GHOSTS,-,1,-,2018-06-23,2018,25
70,Praise The Lord (Da Shine),A$AP Rocky Featuring Skepta,45,3,45,2018-06-23,2018,25
71,Fake Love,BTS,48,10,4,2018-06-23,2018,25
72,Japan,Famous Dex,68,28,12,2018-06-23,2018,25
73,KIDS SEE GHOSTS,KIDS SEE GHOSTS,-,1,-,2018-06-23,2018,25
74,Alone,Halsey Featuring Big Sean & Stefflon Don,73,70,9,2018-06-23,2018,25
75,Powerglide,Rae Sremmurd & Juicy J,67,28,15,2018-06-23,2018,25
76,I Lived It,Blake Shelton,64,15,64,2018-06-23,2018,25
77,Overdose,YoungBoy Never Broke Again,72,42,7,2018-06-23,2018,25
78,Lovely,Billie Eilish & Khalid,79,3,79,2018-06-23,2018,25
79,Youngblood,5 Seconds Of Summer,96,2,96,2018-06-23,2018,25
80,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,75,36,8,2018-06-23,2018,25
81,OTW,"Khalid, Ty Dolla $ign & 6LACK",80,57,8,2018-06-23,2018,25
82,Zombie,Bad Wolves,54,14,54,2018-06-23,2018,25
83,Me Niego,Reik Featuring Ozuna & Wisin,-,77,2,2018-06-23,2018,25
84,Lose It,Kane Brown,-,1,-,2018-06-23,2018,25
85,Violent Crimes,Kanye West,27,27,2,2018-06-23,2018,25
86,I Was Jack (You Were Diane),Jake Owen,3,3,0,2018-06-23,2018,25
87,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,83,74,14,2018-06-23,2018,25
88,Rich Sex,Nicki Minaj Featuring Lil Wayne,-,1,-,2018-06-23,2018,25
89,Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,92,74,4,2018-06-23,2018,25
90,I Know You,Lil Skies Featuring Yung Pinch,-,1,-,2018-06-23,2018,25
91,El Farsante,Ozuna & Romeo Santos,97,49,20,2018-06-23,2018,25
92,Wouldn't Leave,Kanye West Featuring PARTYNEXTDOOR,24,24,2,2018-06-23,2018,25
93,Beautiful Crazy,Luke Combs,77,58,4,2018-06-23,2018,25
94,Sin Pijama,Becky G + Natti Natasha,99,2,99,2018-06-23,2018,25
95,Babe,Sugarland Featuring Taylor Swift,-,72,2,2018-06-23,2018,25
96,Drip,Cardi B Featuring Migos,84,21,10,2018-06-23,2018,25
