rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,23,23,0,2019-08-17,2019,33
2,Bad Guy,Billie Eilish,19,19,0,2019-08-17,2019,33
3,Senorita,Shawn Mendes & Camila Cabello,2,7,2,2019-08-17,2019,33
4,Truth Hurts,Lizzo,14,14,0,2019-08-17,2019,33
5,Talk,Khalid,3,26,3,2019-08-17,2019,33
6,No Guidance,Chris Brown Featuring Drake,9,9,0,2019-08-17,2019,33
7,I Don't Care,Ed Sheeran & Justin Bieber,2,13,2,2019-08-17,2019,33
8,Boyfriend,Ariana Grande & Social House,-,1,-,2019-08-17,2019,33
9,Goodbyes,Post Malone Featuring Young Thug,8,3,5,2019-08-17,2019,33
10,Ran$om,Lil Tecca,N/A,N/A,0,2019-08-17,2019,33
11,If I Can't Have You,Shawn Mendes,12,2,14,2019-08-17,2019,33
12,Sucker,Jonas Brothers,9,1,23,2019-08-17,2019,33
13,Money In The Grave,Drake Featuring Rick Ross,7,8,7,2019-08-17,2019,33
14,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,11,1,42,2019-08-17,2019,33
15,Suge,DaBaby,14,7,19,2019-08-17,2019,33
16,The Git Up,Blanco Brown,15,14,9,2019-08-17,2019,33
17,Someone You Loved,Lewis Capaldi,18,13,18,2019-08-17,2019,33
18,You Need To Calm Down,Taylor Swift,16,2,8,2019-08-17,2019,33
19,"Hey Look Ma, I Made It",Panic! At The Disco,17,16,17,2019-08-17,2019,33
20,Dancing With A Stranger,Sam Smith & Normani,19,7,30,2019-08-17,2019,33
21,Beer Never Broke My Heart,Luke Combs,14,14,0,2019-08-17,2019,33
22,Beautiful People,Ed Sheeran Featuring Khalid,23,19,6,2019-08-17,2019,33
23,Wow.,Post Malone,20,2,33,2019-08-17,2019,33
24,Without Me,Halsey,22,1,44,2019-08-17,2019,33
25,Pop Out,Polo G Featuring Lil Tjay,27,11,20,2019-08-17,2019,33
26,Happier,Marshmello & Bastille,25,2,51,2019-08-17,2019,33
27,The London,"Young Thug, J. Cole & Travis Scott",28,12,11,2019-08-17,2019,33
28,Speechless,Dan + Shay,26,24,33,2019-08-17,2019,33
29,God's Country,Blake Shelton,24,17,19,2019-08-17,2019,33
30,7 Rings,Ariana Grande,1,29,1,2019-08-17,2019,33
31,Panini,Lil Nas X,16,7,16,2019-08-17,2019,33
32,Knockin' Boots,Luke Bryan,37,15,37,2019-08-17,2019,33
33,All To Myself,Dan + Shay,43,14,43,2019-08-17,2019,33
34,Sweet But Psycho,Ava Max,33,10,33,2019-08-17,2019,33
35,My Type,Saweetie,38,6,38,2019-08-17,2019,33
36,Whiskey Glasses,Morgan Wallen,35,17,23,2019-08-17,2019,33
37,How Do You Sleep?,Sam Smith,40,29,3,2019-08-17,2019,33
38,Never Really Over,Katy Perry,29,15,10,2019-08-17,2019,33
39,Shotta Flow,NLE Choppa,36,36,16,2019-08-17,2019,33
40,Rearview Town,Jason Aldean,46,11,46,2019-08-17,2019,33
41,Cash Shit,Megan Thee Stallion Featuring DaBaby,42,7,42,2019-08-17,2019,33
42,Better,Khalid,45,8,47,2019-08-17,2019,33
43,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",44,3,44,2019-08-17,2019,33
44,Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",34,34,9,2019-08-17,2019,33
