rank,name,singer,last_week,peak_pos,weeks_on_chart,chart_date,year,week
1,See You Again,Wiz Khalifa Featuring Charlie Puth,10,10,0,2015-05-30,2015,22
2,Trap Queen,Fetty Wap,17,17,0,2015-05-30,2015,22
3,Earned It (Fifty Shades Of Grey),The Weeknd,21,21,0,2015-05-30,2015,22
4,Shut Up And Dance,WALK THE MOON,5,27,5,2015-05-30,2015,22
5,Uptown Funk!,Mark Ronson Featuring Bruno Mars,4,1,27,2015-05-30,2015,22
6,Want To Want Me,Jason Derulo,8,10,8,2015-05-30,2015,22
7,Sugar,Maroon 5,6,2,18,2015-05-30,2015,22
8,Love Me Like You Do,Ellie Goulding,7,3,19,2015-05-30,2015,22
9,Nasty Freestyle,T-Wayne,11,5,11,2015-05-30,2015,22
10,Thinking Out Loud,Ed Sheeran,9,2,32,2015-05-30,2015,22
11,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",13,8,13,2015-05-30,2015,22
12,"Honey, I'm Good.",Andy Grammer,18,18,0,2015-05-30,2015,22
13,Talking Body,Tove Lo,15,16,15,2015-05-30,2015,22
14,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,10,8,27,2015-05-30,2015,22
15,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,14,13,19,2015-05-30,2015,22
16,Somebody,Natalie La Rose Featuring Jeremih,12,10,17,2015-05-30,2015,22
17,Dear Future Husband,Meghan Trainor,16,16,18,2015-05-30,2015,22
18,You Know You Like It,DJ Snake & AlunaGeorge,22,8,22,2015-05-30,2015,22
19,Worth It,Fifth Harmony Featuring Kid Ink,21,13,21,2015-05-30,2015,22
20,Style,Taylor Swift,17,6,23,2015-05-30,2015,22
21,Chains,Nick Jonas,20,13,16,2015-05-30,2015,22
22,Where Are U Now,Skrillex & Diplo With Justin Bieber,24,11,24,2015-05-30,2015,22
23,Girl Crush,Little Big Town,25,18,13,2015-05-30,2015,22
24,One Last Time,Ariana Grande,19,13,14,2015-05-30,2015,22
25,B**** Better Have My Money,Rihanna,23,17,8,2015-05-30,2015,22
26,Slow Motion,Trey Songz,27,14,27,2015-05-30,2015,22
27,Watch Me,Silento,33,12,33,2015-05-30,2015,22
28,Fight Song,Rachel Platten,53,5,53,2015-05-30,2015,22
29,Blank Space,Taylor Swift,26,1,26,2015-05-30,2015,22
30,Pretty Girls,Britney Spears & Iggy Azalea,29,29,2,2015-05-30,2015,22
31,Cheerleader,OMI,47,4,47,2015-05-30,2015,22
32,Budapest,George Ezra,34,16,34,2015-05-30,2015,22
33,Take Your Time,Sam Hunt,30,20,20,2015-05-30,2015,22
34,Shake It Off,Taylor Swift,35,1,39,2015-05-30,2015,22
35,Blessings,Big Sean Featuring Drake,32,28,15,2015-05-30,2015,22
36,Lean On,Major Lazer X DJ Snake Featuring MO,52,6,52,2015-05-30,2015,22
37,Time Of Our Lives,Pitbull & Ne-Yo,31,9,23,2015-05-30,2015,22
38,Lay Me Down,Sam Smith,28,8,15,2015-05-30,2015,22
39,Take Me To Church,Hozier,38,2,40,2015-05-30,2015,22
40,Sippin' On Fire,Florida Georgia Line,10,10,0,2015-05-30,2015,22
41,Nasty,Bandit Gang Marco Featuring Dro,60,4,60,2015-05-30,2015,22
42,Elastic Heart,Sia,41,17,19,2015-05-30,2015,22
43,Sangria,Blake Shelton,46,5,46,2015-05-30,2015,22
44,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,36,30,20,2015-05-30,2015,22
45,Bright,Echosmith,50,9,50,2015-05-30,2015,22
46,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,37,14,17,2015-05-30,2015,22
47,Smoke,A Thousand Horses,49,12,49,2015-05-30,2015,22
48,Don't It,Billy Currington,44,44,11,2015-05-30,2015,22
49,All About That Bass,Meghan Trainor,43,1,45,2015-05-30,2015,22
50,I'm Not The Only One,Sam Smith,42,5,37,2015-05-30,2015,22
51,Ayo,Chris Brown & Tyga,39,21,19,2015-05-30,2015,22
52,A Guy Walks Into A Bar,Tyler Farr,51,51,20,2015-05-30,2015,22
53,Bad Blood,Taylor Swift Featuring Kendrick Lamar,-,3,-,2015-05-30,2015,22
54,Geronimo,Sheppard,55,53,21,2015-05-30,2015,22
55,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",59,15,11,2015-05-30,2015,22
56,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,45,4,17,2015-05-30,2015,22
57,I'm Comin' Over,Chris Young,-,1,-,2015-05-30,2015,22
58,Be Real,Kid Ink Featuring DeJ Loaf,64,5,64,2015-05-30,2015,22
59,Homegrown,Zac Brown Band,57,35,18,2015-05-30,2015,22
60,Commas,Future,65,7,65,2015-05-30,2015,22
61,Heartbeat Song,Kelly Clarkson,58,21,18,2015-05-30,2015,22
62,Flex (Ooh Ooh Ooh),Rich Homie Quan,4,4,0,2015-05-30,2015,22
63,Believe,Mumford & Sons,54,31,10,2015-05-30,2015,22
64,Little Toy Guns,Carrie Underwood,69,9,69,2015-05-30,2015,22
65,Raise 'Em Up,Keith Urban Featuring Eric Church,56,56,12,2015-05-30,2015,22
66,The Night Is Still Young,Nicki Minaj,93,2,93,2015-05-30,2015,22
67,This Summer's Gonna Hurt...,Maroon 5,-,1,-,2015-05-30,2015,22
68,Wild Child,Kenny Chesney With Grace Potter,70,9,70,2015-05-30,2015,22
69,Love Me Like You Mean It,Kelsea Ballerini,73,7,73,2015-05-30,2015,22
70,Love You Like That,Canaan Smith,72,8,72,2015-05-30,2015,22
71,I Bet,Ciara,61,43,12,2015-05-30,2015,22
72,I Want You To Know,Zedd Featuring Selena Gomez,63,17,12,2015-05-30,2015,22
73,The Matrimony,Wale Featuring Usher,74,7,74,2015-05-30,2015,22
74,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",-,1,-,2015-05-30,2015,22
75,Know Yourself,Drake,68,53,13,2015-05-30,2015,22
76,I Really Like You,Carly Rae Jepsen,67,39,11,2015-05-30,2015,22
77,Fun,Pitbull Featuring Chris Brown,-,1,-,2015-05-30,2015,22
78,Energy,Drake,71,26,14,2015-05-30,2015,22
79,Like A Wrecking Ball,Eric Church,77,77,8,2015-05-30,2015,22
80,Say You Do,Dierks Bentley,66,52,18,2015-05-30,2015,22
81,Classic Man,Jidenna Featuring Roman GianArthur,89,2,89,2015-05-30,2015,22
82,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,75,75,9,2015-05-30,2015,22
83,King Kunta,Kendrick Lamar,80,58,9,2015-05-30,2015,22
